VBB,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.09519,-0.054218,-0.081748,-0.073028,-0.034398
-1.96,-0.094148,-0.053676,-0.080124,-0.072348,-0.033912
-1.92,-0.093076,-0.0532,-0.078932,-0.071826,-0.03341
-1.88,-0.091946,-0.052576,-0.077472,-0.071266,-0.03296
-1.84,-0.09096,-0.051398,-0.076066,-0.06989,-0.032478
-1.8,-0.089804,-0.050826,-0.075458,-0.068428,-0.032072
-1.76,-0.088646,-0.04943,-0.074394,-0.067032,-0.03189
-1.72,-0.087554,-0.048654,-0.072802,-0.065838,-0.031422
-1.68,-0.08632,-0.0476,-0.071582,-0.064648,-0.030936
-1.64,-0.08515,-0.04685,-0.070436,-0.063546,-0.030428
-1.6,-0.08391,-0.046216,-0.069262,-0.06272,-0.029978
-1.56,-0.08276,-0.045366,-0.06807,-0.061868,-0.029476
-1.52,-0.081626,-0.044498,-0.06687,-0.060948,-0.028978
-1.48,-0.080496,-0.043804,-0.06566,-0.059986,-0.028478
-1.44,-0.07935,-0.0431,-0.064448,-0.05876,-0.028006
-1.4,-0.078226,-0.042338,-0.063238,-0.057252,-0.027504
-1.36,-0.077084,-0.041556,-0.062026,-0.056114,-0.026956
-1.32,-0.075902,-0.040776,-0.06081,-0.05501,-0.026484
-1.28,-0.07479,-0.04002,-0.059592,-0.053906,-0.02597
-1.24,-0.073638,-0.03922,-0.058372,-0.052808,-0.025444
-1.2,-0.0725,-0.038422,-0.057154,-0.051702,-0.024948
-1.16,-0.071326,-0.037658,-0.055938,-0.05058,-0.024454
-1.12,-0.070204,-0.036882,-0.054716,-0.049466,-0.023926
-1.08,-0.06903,-0.03607,-0.053498,-0.048376,-0.023376
-1.04,-0.067892,-0.035252,-0.052276,-0.047286,-0.022882
-1.0,-0.066722,-0.03442,-0.051054,-0.046202,-0.02237
-0.96,-0.065576,-0.033598,-0.049832,-0.045116,-0.021836
-0.92,-0.064406,-0.032774,-0.048608,-0.044026,-0.021318
-0.88,-0.063252,-0.031936,-0.047388,-0.042944,-0.020804
-0.84,-0.062098,-0.031098,-0.046166,-0.041858,-0.020264
-0.8,-0.060936,-0.030246,-0.044944,-0.04077,-0.019684
-0.76,-0.059782,-0.0294,-0.043724,-0.039684,-0.01919
-0.72,-0.058598,-0.02855,-0.042506,-0.038596,-0.018654
-0.68,-0.057462,-0.0277,-0.041286,-0.037506,-0.018136
-0.64,-0.056284,-0.026836,-0.040066,-0.036416,-0.017588
-0.6,-0.05514,-0.025974,-0.038848,-0.035322,-0.017074
-0.56,-0.053974,-0.02511,-0.037634,-0.034224,-0.01655
-0.52,-0.052814,-0.02423,-0.036416,-0.033122,-0.015968
-0.48,-0.051652,-0.023368,-0.035204,-0.032018,-0.015446
-0.44,-0.050474,-0.02249,-0.033994,-0.030916,-0.014932
-0.4,-0.04932,-0.021622,-0.032786,-0.029814,-0.014382
-0.36,-0.048128,-0.020748,-0.03158,-0.028712,-0.01385
-0.32,-0.046982,-0.019878,-0.030374,-0.027612,-0.01332
-0.28,-0.045798,-0.01901,-0.029172,-0.026516,-0.012812
-0.24,-0.044642,-0.018142,-0.027976,-0.025426,-0.012276
-0.2,-0.043466,-0.017276,-0.026782,-0.024344,-0.01173
-0.16,-0.042304,-0.016406,-0.025592,-0.023264,-0.011198
-0.12,-0.041068,-0.015542,-0.024408,-0.022194,-0.010668
-0.08,-0.039898,-0.014682,-0.023224,-0.021132,-0.010156
-0.04,-0.03872,-0.013802,-0.022048,-0.02008,-0.009647
0.0,-0.037538,-0.012946,-0.020878,-0.01904,-0.0091172
0.04,-0.036392,-0.01205,-0.019712,-0.018008,-0.0085858
0.08,-0.03522,-0.011196,-0.01855,-0.016988,-0.0080562
0.12,-0.034064,-0.010342,-0.0174,-0.015978,-0.0075604
0.16,-0.032902,-0.0095146,-0.016254,-0.014972,-0.0070306
0.2,-0.031744,-0.008736,-0.015116,-0.013964,-0.0065168
0.24,-0.030562,-0.007947,-0.01399,-0.012954,-0.0059844
0.28,-0.029404,-0.0071096,-0.012868,-0.011934,-0.0054482
0.32,-0.028248,-0.0063166,-0.01176,-0.010898,-0.0048336
0.36,-0.02708,-0.0055568,-0.01066,-0.009873,-0.0041768
0.4,-0.025918,-0.0048678,-0.00958,-0.0088412,-0.0035108
0.44,-0.024744,-0.0042014,-0.0085088,-0.0078192,-0.00277
0.48,-0.023588,-0.00354,-0.0074542,-0.0068166,-0.002017
0.52,-0.022424,-0.0028858,-0.0064202,-0.005839,-0.0012608
0.56,-0.021262,-0.0022286,-0.0054138,-0.004896,-0.0004789
0.6,-0.020096,-0.001696,-0.0044396,-0.0039844,0.0002949
0.64,-0.018928,-0.0012354,-0.0035098,-0.0030984,0.00104304
0.68,-0.017766,-0.00087648,-0.0026418,-0.0022342,0.001729
0.72,-0.016598,-0.00059824,-0.0018596,-0.0013806,0.0023516
0.76,-0.015432,-0.00040458,-0.0011974,-0.00049624,0.0029066
0.8,-0.014268,-0.00027094,-0.00069306,0.00040724,0.003544
0.84,-0.0131,-0.00018164,-0.00034478,0.0012562,0.0042532
0.88,-0.011934,-0.00011872,-0.00019572,0.0021972,0.0050158
0.92,-0.010766,-7.9344e-05,-0.0001149,0.0032372,0.005802
0.96,-0.0096044,-5.0564e-05,-6.5876e-05,0.0043116,0.0065938
1.0,-0.0084372,-3.0704e-05,-4.1768e-05,0.0054418,0.0074338
1.04,-0.007277,-1.6454000000000002e-05,-2.395e-05,0.0065836,0.0083376
1.08,-0.0061434,-7.4354e-06,-9.5796e-06,0.0076902,0.0093022
1.12,-0.0049846,-9.939000000000001e-07,4.596500000000001e-06,0.0088552,0.0103126
1.16,-0.0038188,6.9998e-06,2.96e-05,0.010119,0.0113676
1.2,-0.0026566,1.8058e-05,7.6834e-05,0.0114412,0.012438
1.24,-0.0014894,3.9142e-05,0.00016616,0.012826,0.013524
1.28,-0.0003299,7.183000000000001e-05,0.00034378,0.014198,0.014626
1.32,0.0008432,0.00012,0.00065736,0.015692,0.015712
1.36,0.0020032,0.00022256,0.00112708,0.01723,0.016848
1.4,0.0031676,0.00039484,0.0017432,0.018762,0.017944
1.44,0.0043332,0.00065826,0.0024752,0.02044,0.019056
1.48,0.0055032,0.0010211,0.0033012,0.022294,0.020146
1.52,0.0066668,0.0014746,0.0041994,0.024266,0.021248
1.56,0.0078124,0.002016,0.0051528,0.026646,0.02232
1.6,0.0089996,0.0026196,0.0061508,0.028418,0.023394
1.64,0.010176,0.0032774,0.0071872,0.030938,0.02446
1.68,0.0113428,0.0039764,0.008249,0.03292,0.025504
1.72,0.012514,0.0047124,0.0093382,0.034886,0.026522
1.76,0.013682,0.0054774,0.0104438,0.037216,0.02755
1.8,0.014828,0.0062662,0.011578,0.039728,0.028526
1.84,0.016026,0.0070728,0.012718,0.041984,0.029496
1.88,0.01719,0.0078952,0.013872,0.043348,0.030448
1.92,0.018364,0.0087288,0.015038,0.045998,0.031408
1.96,0.019532,0.0095786,0.016216,0.050038,0.032666
2.0,0.020714,0.0104528,0.017406,0.052188,0.033578
