VBB,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-5.5845e-08,-0.023896,-0.059484,-0.056318,-0.063148
-1.96,4.91256e-08,-0.02345,-0.058442,-0.054862,-0.061968
-1.92,-3.93502e-08,-0.023048,-0.057408,-0.05347,-0.060748
-1.88,2.38296e-08,-0.022572,-0.056292,-0.052306,-0.05951
-1.84,-7.5042e-09,-0.022106,-0.055378,-0.051422,-0.058392
-1.8,-1.4213999999999999e-09,-0.021638,-0.054234,-0.050452,-0.05685
-1.76,1.3728199999999998e-08,-0.021234,-0.053142,-0.04935,-0.055634
-1.72,-2.83712e-08,-0.020718,-0.051972,-0.048328,-0.054452
-1.68,4.69044e-08,-0.020258,-0.050886,-0.04723,-0.05278
-1.64,-5.540719999999999e-08,-0.019734,-0.049754,-0.04617,-0.051388
-1.6,5.703079999999999e-08,-0.019334,-0.048662,-0.045056,-0.050012
-1.56,-5.93236e-08,-0.018898,-0.047508,-0.044,-0.048636
-1.52,6.023679999999999e-08,-0.01846,-0.04634,-0.042886,-0.047426
-1.48,-5.53072e-08,-0.018046,-0.045108,-0.041802,-0.04612
-1.44,4.52994e-08,-0.017566,-0.043946,-0.040684,-0.0447
-1.4,-3.53406e-08,-0.01711,-0.04284,-0.039614,-0.043396
-1.36,1.84976e-08,-0.016428,-0.041678,-0.038498,-0.041966
-1.32,-2.4012e-09,-0.016076,-0.04052,-0.037392,-0.04067
-1.28,-9.283599999999999e-09,-0.01562,-0.03929,-0.036282,-0.03942
-1.24,2.2213e-08,-0.015154,-0.038116,-0.035172,-0.03817
-1.2,-3.85794e-08,-0.014694,-0.036898,-0.034042,-0.036956
-1.16,5.48224e-08,-0.014224,-0.03571,-0.03294,-0.035706
-1.12,-5.67406e-08,-0.01375,-0.03453,-0.031816,-0.034524
-1.08,5.96654e-08,-0.013276,-0.033338,-0.030704,-0.03328
-1.04,-5.94586e-08,-0.012794,-0.032132,-0.029566,-0.032062
-1.0,4.536799999999999e-08,-0.01232,-0.030904,-0.02845,-0.0308
-0.96,-3.0095e-08,-0.011842,-0.029706,-0.027324,-0.029566
-0.92,5.52118e-08,-0.011366,-0.028486,-0.026198,-0.028336
-0.88,-5.6819e-08,-0.010884,-0.027282,-0.025066,-0.027112
-0.84,5.9781e-08,-0.010394,-0.026062,-0.023948,-0.02589
-0.8,-5.91844e-08,-0.009873,-0.024844,-0.022812,-0.02468
-0.76,5.990499999999999e-08,-0.0093994,-0.023622,-0.021688,-0.02343
-0.72,-5.25414e-08,-0.0088904,-0.022392,-0.020548,-0.02221
-0.68,4.38828e-08,-0.0084208,-0.021168,-0.019426,-0.020982
-0.64,-3.0963199999999995e-08,-0.0079302,-0.01994,-0.018296,-0.019762
-0.6,1.94818e-08,-0.0074116,-0.018714,-0.017164,-0.018544
-0.56,-1.3838799999999998e-08,-0.0069254,-0.017476,-0.016034,-0.017318
-0.52,1.1296e-09,-0.0064142,-0.016244,-0.0149,-0.016092
-0.48,1.4409999999999998e-08,-0.0059308,-0.015004,-0.01376,-0.014872
-0.44,-2.55808e-08,-0.005444,-0.013772,-0.012628,-0.013642
-0.4,4.3031e-08,-0.0049602,-0.012532,-0.011492,-0.01242
-0.36,-5.441839999999999e-08,-0.0044648,-0.011294,-0.010354,-0.011188
-0.32,-5.326e-08,-0.0039664,-0.010048,-0.0092206,-0.0099636
-0.28,-1.73446e-08,-0.0034616,-0.0088078,-0.0080766,-0.0087248
