VBB,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.054362,-0.046586,-0.074204,-0.074982,-0.071894
-1.96,-0.05393,-0.046048,-0.07313,-0.07359,-0.070112
-1.92,-0.053314,-0.045456,-0.0721,-0.072228,-0.068798
-1.88,-0.052558,-0.044852,-0.07106,-0.070708,-0.067432
-1.84,-0.052088,-0.04421,-0.069848,-0.069458,-0.0661
-1.8,-0.051102,-0.043576,-0.068618,-0.068124,-0.064516
-1.76,-0.051142,-0.042928,-0.067434,-0.066888,-0.063182
-1.72,-0.050266,-0.042262,-0.06623,-0.06559,-0.061888
-1.68,-0.049436,-0.041604,-0.065012,-0.064272,-0.060576
-1.64,-0.04912,-0.040916,-0.06379,-0.062942,-0.059258
-1.6,-0.048508,-0.040242,-0.062566,-0.06161,-0.057928
-1.56,-0.048018,-0.039554,-0.061274,-0.060256,-0.056594
-1.52,-0.047362,-0.038868,-0.05992,-0.05891,-0.055262
-1.48,-0.04666,-0.038172,-0.058706,-0.05756,-0.053946
-1.44,-0.046076,-0.03746,-0.05748,-0.056206,-0.05262
-1.4,-0.045578,-0.036742,-0.056222,-0.054856,-0.051276
-1.36,-0.045002,-0.03602,-0.05494,-0.053494,-0.04993
-1.32,-0.044426,-0.035316,-0.05366,-0.052138,-0.048598
-1.28,-0.043848,-0.034574,-0.052382,-0.050772,-0.047254
-1.24,-0.043262,-0.033842,-0.051084,-0.049416,-0.045926
-1.2,-0.042676,-0.033098,-0.049802,-0.048062,-0.044586
-1.16,-0.04209,-0.032356,-0.048534,-0.046702,-0.043256
-1.12,-0.041506,-0.031612,-0.047242,-0.045338,-0.041912
-1.08,-0.040922,-0.030858,-0.045862,-0.043984,-0.040574
-1.04,-0.040342,-0.030112,-0.04456,-0.042624,-0.03924
-1.0,-0.03976,-0.029356,-0.043292,-0.041268,-0.037906
-0.96,-0.039184,-0.028588,-0.041994,-0.039918,-0.036574
-0.92,-0.038614,-0.02782,-0.040684,-0.038562,-0.035242
-0.88,-0.038038,-0.027052,-0.039382,-0.037206,-0.033918
-0.84,-0.03746,-0.02628,-0.038088,-0.035856,-0.032592
-0.8,-0.036884,-0.025514,-0.03679,-0.034504,-0.03126
-0.76,-0.036314,-0.02473,-0.035476,-0.03316,-0.029936
-0.72,-0.035742,-0.023952,-0.034178,-0.031812,-0.0286
-0.68,-0.035168,-0.02317,-0.032868,-0.030472,-0.027282
-0.64,-0.0346,-0.022388,-0.03157,-0.029128,-0.025962
-0.6,-0.034034,-0.021606,-0.030252,-0.027792,-0.024642
-0.56,-0.033466,-0.020816,-0.028954,-0.026458,-0.023328
-0.52,-0.032902,-0.020036,-0.027648,-0.025128,-0.022016
-0.48,-0.032334,-0.019236,-0.026342,-0.023796,-0.020708
-0.44,-0.031772,-0.018452,-0.02502,-0.02247,-0.01939
-0.4,-0.031204,-0.017658,-0.02371,-0.021148,-0.018084
-0.36,-0.030644,-0.016868,-0.022398,-0.019828,-0.016778
-0.32,-0.030078,-0.016068,-0.021082,-0.018514,-0.015482
-0.28,-0.029512,-0.015266,-0.019772,-0.017192,-0.014174
-0.24,-0.02895,-0.014464,-0.018462,-0.015882,-0.012874
-0.2,-0.028388,-0.013656,-0.017156,-0.01457,-0.011576
-0.16,-0.027824,-0.012848,-0.015846,-0.013258,-0.010272
-0.12,-0.02726,-0.012056,-0.014536,-0.011946,-0.00897
-0.08,-0.026694,-0.011212,-0.013224,-0.010632,-0.0076676
-0.04,-0.026132,-0.010412,-0.011908,-0.0093268,-0.006362
0.0,-0.025566,-0.0096372,-0.010592,-0.0080122,-0.0050458
0.04,-0.024998,-0.0088066,-0.0092884,-0.0066958,-0.0037376
0.08,-0.024436,-0.0080154,-0.0079778,-0.005376,-0.002426
0.12,-0.023866,-0.007209,-0.0066646,-0.0040504,-0.0010858
0.16,-0.023302,-0.006418,-0.0053478,-0.0027246,0.00026258
0.2,-0.022736,-0.0056082,-0.0040334,-0.0013956,0.0016326
0.24,-0.02217,-0.004843,-0.0027172,-4.2078e-05,0.0029702
0.28,-0.021602,-0.0040482,-0.0014022,0.0012768,0.0043184
0.32,-0.021036,-0.003285,-5.2942e-05,0.0026216,0.0056544
0.36,-0.020468,-0.0024728,0.0012406,0.0039674,0.0070618
0.4,-0.0199,-0.0016844,0.0025586,0.0053168,0.008439
0.44,-0.019332,-0.0009345,0.0038748,0.0066732,0.0098556
0.48,-0.018764,-0.0001433,0.0051928,0.0080296,0.0112824
0.52,-0.018198,0.00062578,0.0065104,0.0093874,0.012888
0.56,-0.01763,0.001346,0.0078312,0.0107498,0.014346
0.6,-0.017064,0.0021082,0.0091524,0.012124,0.015856
0.64,-0.016494,0.0028426,0.0104838,0.013496,0.017532
0.68,-0.015926,0.0035482,0.011836,0.014866,0.018968
0.72,-0.015358,0.0042378,0.01316,0.016236,0.020484
0.76,-0.01479,0.0048888,0.014478,0.017612,0.021988
0.8,-0.014218,0.0055342,0.015802,0.018992,0.023436
0.84,-0.013652,0.0061602,0.017124,0.020368,0.02478
0.88,-0.013084,0.0067538,0.018446,0.021746,0.026318
0.92,-0.012514,0.0073222,0.019752,0.023126,0.02785
0.96,-0.011948,0.0078348,0.02102,0.024504,0.029274
1.0,-0.011378,0.0083708,0.022252,0.025878,0.030648
1.04,-0.01081,0.0088444,0.023736,0.027248,0.031964
1.08,-0.01024,0.0093212,0.025242,0.028626,0.033324
1.12,-0.009678,0.0097332,0.026674,0.029988,0.034618
1.16,-0.0091084,0.0102024,0.028174,0.031354,0.031334
1.2,-0.0085392,0.0106194,0.029636,0.032726,0.033412
1.24,-0.0079702,0.0110804,0.031094,0.034088,0.034562
1.28,-0.0074016,0.0114854,0.032618,0.035464,0.035962
1.32,-0.0068318,0.011952,0.034108,0.03684,0.037634
1.36,-0.0062632,0.012334,0.03559,0.038224,0.039456
1.4,-0.0056942,0.012798,0.037054,0.039606,0.041042
1.44,-0.0051262,0.013214,0.03848,0.041004,0.042666
1.48,-0.0045562,0.013646,0.039978,0.04245,0.04449
1.52,-0.0039872,0.013994,0.04139,0.044008,0.046364
1.56,-0.003418,0.014562,0.042782,0.045586,0.048354
1.6,-0.0028486,0.015008,0.044116,0.047242,0.050462
1.64,-0.0022788,0.015456,0.045482,0.04899,0.052648
1.68,-0.0017106,0.015836,0.046832,0.050846,0.05493
1.72,-0.0011412,0.016272,0.04818,0.052738,0.05684
1.76,-0.00057236,0.016588,0.049528,0.054636,0.05951
1.8,-2.5712000000000005e-06,0.017098,0.050952,0.05665,0.061804
1.84,0.00056706,0.017538,0.052336,0.05871,0.065298
1.88,0.0011363,0.018082,0.0538,0.060744,0.06782
1.92,0.001706,0.01846,0.055496,0.062898,0.070508
1.96,0.0022756,0.019046,0.0577,0.06519,0.073148
2.0,0.002845,0.019466,0.059844,0.067784,0.075138
