VBBSA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-5.98816e-08,4.98912e-08,-0.0041794,-0.0067068,-0.003858
-1.96,5.87416e-08,-5.73646e-08,-0.0038668,-0.0063186,-0.0035708
-1.92,-5.85632e-08,5.84178e-08,-0.0035598,-0.0059378,-0.0032912
-1.88,5.17582e-08,-5.902e-08,-0.00326,-0.0055668,-0.0030148
-1.84,-4.2313799999999993e-08,5.8542e-08,-0.0029662,-0.0052038,-0.0027426
-1.8,3.26554e-08,-6.26402e-08,-0.002682,-0.0048528,-0.0024758
-1.76,-2.65574e-08,6.1487e-08,-0.0024076,-0.004511,-0.0022192
-1.72,-3.00116e-08,-6.225759999999999e-08,-0.0021436,-0.0041806,-0.0019724
-1.68,4.87358e-08,6.012179999999999e-08,-0.0018922,-0.0038626,-0.0017372
-1.64,-5.59774e-08,-6.22626e-08,-0.001654,-0.0035556,-0.0015152
-1.6,5.7216e-08,5.6856799999999993e-08,-0.0014308,-0.0032622,-0.0013072
-1.56,-5.92404e-08,-6.1003e-08,-0.0012236,-0.0029816,-0.0011142
-1.52,5.9591599999999993e-08,6.20624e-08,-0.0010336,-0.0027146,-0.000938
-1.48,-5.44752e-08,-6.32032e-08,-0.00086206,-0.0024598,-0.00077898
-1.44,4.39114e-08,5.725939999999999e-08,-0.00070918,-0.0022184,-0.00063848
-1.4,-3.0754e-08,-4.57314e-08,-0.00057588,-0.0019908,-0.0005164
-1.36,-4.46716e-08,6.233559999999999e-08,-0.00046138,-0.001775,-0.00041178
-1.32,5.378359999999999e-08,-6.071979999999999e-08,-0.00036492,-0.0015716,-0.00032432
-1.28,-5.940419999999999e-08,5.542959999999999e-08,-0.00028526,-0.00138,-0.00025272
-1.24,5.85036e-08,-4.39016e-08,-0.00022092,-0.0012012,-0.00019482
-1.2,-6.022259999999999e-08,6.257799999999999e-08,-0.0001695,-0.0010352,-0.00014896
-1.16,5.2233e-08,-5.92764e-08,-0.00012906,-0.0008817,-0.00011316
-1.12,-5.36306e-08,4.43294e-08,-9.7766e-05,-0.00074078,-8.5374e-05
-1.08,4.81836e-08,-2.77594e-08,-7.3194e-05,-0.00061376,-6.352e-05
-1.04,-3.0099e-08,-3.0253999999999994e-08,-5.4178e-05,-0.00049964,-4.6954000000000005e-05
-1.0,3.4046e-08,4.98312e-08,-3.9672e-05,-0.00039904,-3.4108e-05
-0.96,-3.0452999999999995e-08,-5.81182e-08,-2.866e-05,-0.00031182,-2.4198e-05
-0.92,4.9828e-09,5.98116e-08,-2.0058e-05,-0.0002378,-1.6744e-05
-0.88,-7.963199999999997e-09,-6.275979999999999e-08,-1.3702e-05,-0.00017626,-1.1372e-05
-0.84,-4.69396e-08,6.32392e-08,-9.280000000000001e-06,-0.00012644,-7.3391e-06
-0.8,5.91796e-08,-5.8777e-08,-5.853100000000001e-06,-8.7702e-05,-4.674100000000001e-06
-0.76,-5.96956e-08,4.897119999999999e-08,-3.7329e-06,-5.8236e-05,-2.8760000000000005e-06
-0.72,4.16216e-08,-3.79906e-08,-2.3389e-06,-3.6912e-05,-1.6238000000000002e-06
-0.68,-4.26158e-08,6.32872e-08,-1.3442000000000002e-06,-2.2158e-05,-1.06236e-06
-0.64,5.95574e-08,-5.81094e-08,-9.9796e-07,-1.2318e-05,-7.4326e-07
-0.6,-5.63934e-08,5.1026e-08,-7.446999999999999e-07,-6.394300000000001e-06,-5.8246e-07
-0.56,4.937259999999999e-08,-2.76142e-08,-6.158e-07,-3.1425000000000004e-06,-4.4382e-07
-0.52,-4.02398e-08,-3.0473199999999995e-08,-5.5106e-07,-1.3720000000000002e-06,-3.0742e-07
-0.48,6.05018e-08,4.98656e-08,-4.4718e-07,-8.437e-07,-3.7364e-07
-0.44,-5.58444e-08,-5.874899999999999e-08,-3.109e-07,-6.1008e-07,-4.1836e-07
-0.4,4.575959999999999e-08,6.02756e-08,-2.6528e-07,-3.724e-07,-2.9086e-07
-0.36,-3.63884e-08,-6.22978e-08,-1.7872e-07,-4.1482e-07,-2.5104e-07
-0.32,6.016979999999999e-08,5.382899999999999e-08,-2.0818e-07,-4.1256e-07,-1.8364e-07
-0.28,-5.49142e-08,-5.918539999999999e-08,-1.7708e-07,-4.7532e-07,-2.7078e-07
-0.24,4.47138e-08,6.07852e-08,-2.3968e-07,-3.9216e-07,-9.316e-08
-0.2,-1.59402e-08,-6.20386e-08,-2.68e-07,-3.9214e-07,-1.8134e-07
-0.16,-4.00242e-08,6.0107e-08,-2.3726e-07,-2.177e-07,-2.2104e-07
-0.12,5.306219999999999e-08,-6.260559999999999e-08,-2.4682e-07,-4.8318e-07,-2.5732e-07
-0.08,-5.619959999999999e-08,5.76462e-08,-2.7076e-07,-3.6724e-07,-3.063e-07
-0.04,5.891079999999999e-08,-4.38962e-08,-1.3803999999999998e-07,-3.0316e-07,-2.5998e-07
0.0,-5.59482e-08,5.33544e-08,-6.32e-08,-2.7356e-07,-2.8842e-07
0.04,4.61428e-08,-5.9084e-08,-1.422e-08,-2.3454e-07,-1.924e-07
0.08,-3.55068e-08,6.08572e-08,-9.12e-09,-2.6738e-07,-1.5602e-07
0.12,5.99602e-08,-6.21414e-08,-7.1e-09,-2.578e-07,-1.4022e-07
0.16,-5.374199999999999e-08,5.515119999999999e-08,1.822e-08,-3.5066e-07,-9.354e-08
0.2,4.34126e-08,-5.9098e-08,-8.32e-08,-3.3602e-07,-1.592e-07
0.24,-2.97552e-08,6.14434e-08,5.99e-08,-1.8622e-07,-1.41422e-08
0.28,-2.59548e-08,-6.227979999999999e-08,5.4818e-07,2.1282e-07,3.7196e-07
0.32,4.45728e-08,5.52548e-08,1.8776e-06,1.54e-06,1.5776000000000002e-06
0.36,-5.52308e-08,-6.20932e-08,6.263000000000001e-06,5.4221e-06,5.3790000000000005e-06
0.4,5.6498e-08,5.4623999999999993e-08,1.4978e-05,1.3372e-05,1.2822e-05
0.44,-5.93956e-08,-5.915259999999999e-08,3.2434e-05,3.0654e-05,2.7854e-05
0.48,6.041499999999999e-08,6.191659999999999e-08,8.4194e-05,8.120000000000002e-05,7.6774e-05
0.52,-5.99636e-08,-6.25774e-08,0.00024262,0.00023448,0.00023042
0.56,6.03004e-08,5.68018e-08,0.00058224,0.0005749,0.00055478
0.6,-5.2269799999999993e-08,-6.103499999999999e-08,0.00109444,0.00110734,0.00103434
0.64,5.447859999999999e-08,6.22482e-08,0.0017282,0.001784,0.0016214
0.68,-5.1205e-08,-6.27962e-08,0.0024402,0.002559,0.0022716
0.72,3.1664e-08,6.34076e-08,0.0032118,0.003412,0.0029714
0.76,-3.46122e-08,-5.8819999999999993e-08,0.0040298,0.0043286,0.0037108
0.8,3.3723e-08,5.723099999999999e-08,0.0048864,0.0052986,0.0044816
0.84,-6.766199999999998e-09,-4.63226e-08,0.0057736,0.0063092,0.0052852
0.88,-4.98772e-08,4.00604e-08,0.0066858,0.0073542,0.0061072
0.92,4.66234e-08,-2.13154e-08,0.0076142,0.0084256,0.0069516
0.96,-4.30982e-08,-3.64906e-08,0.0085538,0.0095194,0.007817
1.0,4.5458e-08,5.344499999999999e-08,0.0095044,0.0106182,0.008682
1.04,-4.1256e-08,-5.92924e-08,0.0104592,0.011748,0.0095656
1.08,4.0277e-08,6.0773e-08,0.0114148,0.012874,0.0105358
1.12,-5.633959999999999e-08,-6.216259999999999e-08,0.012372,0.013994,0.0114368
1.16,5.51258e-08,5.446379999999999e-08,0.013324,0.01514,0.012414
1.2,-5.6272e-08,-6.214e-08,0.014268,0.01626,0.013332
1.24,5.95702e-08,5.44466e-08,0.015204,0.017388,0.014362
1.28,-5.9564e-08,-5.8961e-08,0.016132,0.018508,0.015392
1.32,5.93306e-08,6.254519999999999e-08,0.017048,0.01962,0.016458
1.36,-6.02666e-08,-5.91862e-08,0.01795,0.02073,0.017662
1.4,6.041379999999999e-08,5.05326e-08,0.018838,0.021814,0.018718
1.44,-2.8107e-08,-4.00232e-08,0.019714,0.022934,0.02003
1.48,-2.8727e-08,5.36204e-08,0.02057,0.023994,0.02148
1.52,4.68504e-08,-5.91068e-08,0.021412,0.025096,0.022844
1.56,-5.54696e-08,6.14644e-08,0.022236,0.026094,0.02437
1.6,5.69096e-08,-6.21972e-08,0.023046,0.027154,0.026994
1.64,-5.98062e-08,6.343559999999999e-08,0.023838,0.028116,0.02875
1.68,5.977079999999999e-08,-6.27734e-08,0.024618,0.029106,0.031402
1.72,-5.61408e-08,5.6792e-08,0.025398,0.030066,0.033538
1.76,4.71396e-08,-4.53104e-08,0.026132,0.031466,0.035
1.8,-3.81168e-08,6.2476e-08,0.026838,0.033254,0.036668
1.84,6.03914e-08,-5.99066e-08,0.02747,0.034966,0.03845
1.88,-5.433799999999999e-08,5.52564e-08,0.028192,0.036716,0.040096
1.92,4.38884e-08,-4.60504e-08,0.028872,0.038454,0.04194
1.96,-3.22326e-08,6.196479999999999e-08,0.029802,0.04004,0.043642
2.0,-4.15172e-08,-5.52952e-08,0.028798,0.04162,0.045314
