VBBSA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.057104,-0.024176,-0.07976,-0.062114,-0.0428
-1.96,-0.056396,-0.023726,-0.078484,-0.061346,-0.042244
-1.92,-0.05571,-0.023256,-0.07721,-0.060096,-0.041592
-1.88,-0.055004,-0.022892,-0.07594,-0.059304,-0.041134
-1.84,-0.054372,-0.022546,-0.07468,-0.058504,-0.040302
-1.8,-0.053654,-0.022262,-0.073404,-0.057896,-0.039574
-1.76,-0.052848,-0.021904,-0.072138,-0.057092,-0.038544
-1.72,-0.052118,-0.021532,-0.07087,-0.056298,-0.03782
-1.68,-0.051356,-0.021162,-0.069576,-0.055478,-0.03715
-1.64,-0.050644,-0.020802,-0.0683,-0.054614,-0.03652
-1.6,-0.049908,-0.020454,-0.06701,-0.053758,-0.035874
-1.56,-0.049198,-0.020108,-0.065728,-0.052946,-0.035218
-1.52,-0.048474,-0.019748,-0.064438,-0.052088,-0.034574
-1.48,-0.047762,-0.019314,-0.063142,-0.051202,-0.033906
-1.44,-0.047046,-0.018942,-0.061836,-0.050216,-0.033272
-1.4,-0.046326,-0.018594,-0.060526,-0.049264,-0.032604
-1.36,-0.045582,-0.018244,-0.059216,-0.048276,-0.0319
-1.32,-0.044844,-0.017884,-0.057896,-0.047228,-0.031204
-1.28,-0.04413,-0.017506,-0.056586,-0.046284,-0.030558
-1.24,-0.043426,-0.017156,-0.055266,-0.04528,-0.029854
-1.2,-0.04269,-0.016786,-0.053946,-0.0443,-0.029138
-1.16,-0.041966,-0.016436,-0.052618,-0.04328,-0.028434
-1.12,-0.041156,-0.01607,-0.05129,-0.042312,-0.027746
-1.08,-0.040312,-0.0157,-0.049966,-0.04131,-0.027046
-1.04,-0.039604,-0.015346,-0.04864,-0.04031,-0.026326
-1.0,-0.038952,-0.014992,-0.047316,-0.039298,-0.025626
-0.96,-0.03821,-0.014624,-0.045994,-0.038284,-0.024938
-0.92,-0.037454,-0.014266,-0.044672,-0.037288,-0.024246
-0.88,-0.03673,-0.013908,-0.043358,-0.03627,-0.02354
-0.84,-0.035928,-0.013548,-0.042046,-0.035292,-0.022832
-0.8,-0.035224,-0.013194,-0.040732,-0.03428,-0.02214
-0.76,-0.034496,-0.012822,-0.039426,-0.033292,-0.021448
-0.72,-0.033768,-0.012464,-0.038124,-0.032258,-0.020692
