VBBSA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,4.570819999999999e-08,-0.013778,-0.040062,-0.055214,-0.041282
-1.96,-5.36394e-08,-0.013678,-0.039252,-0.051032,-0.041002
-1.92,5.610379999999999e-08,-0.013436,-0.038592,-0.0512,-0.040452
-1.88,-5.96792e-08,-0.013146,-0.03815,-0.050144,-0.039716
-1.84,5.976539999999999e-08,-0.01286,-0.037426,-0.047918,-0.038924
-1.8,-5.63738e-08,-0.012578,-0.036566,-0.047908,-0.038096
-1.76,4.813459999999999e-08,-0.012344,-0.03557,-0.046824,-0.037242
-1.72,-3.78288e-08,-0.01202,-0.034534,-0.045626,-0.03636
-1.68,6.031319999999999e-08,-0.011722,-0.03359,-0.044412,-0.035476
-1.64,-4.22174e-08,-0.011486,-0.03275,-0.043202,-0.034584
-1.6,5.9643e-08,-0.011194,-0.031914,-0.041994,-0.033684
-1.56,-5.629859999999999e-08,-0.010914,-0.031062,-0.040784,-0.032772
-1.52,4.77426e-08,-0.010624,-0.030194,-0.039556,-0.031854
-1.48,-3.8457e-08,-0.01035,-0.029322,-0.038332,-0.030928
-1.44,6.04764e-08,-0.010012,-0.028444,-0.037106,-0.02999
-1.4,-5.5716e-08,-0.0097132,-0.027556,-0.035876,-0.02905
-1.36,4.526139999999999e-08,-0.00944,-0.026656,-0.034636,-0.028108
-1.32,-3.53088e-08,-0.0091192,-0.02576,-0.033394,-0.02715
-1.28,5.974779999999999e-08,-0.0088142,-0.024842,-0.032152,-0.02619
-1.24,-5.32408e-08,-0.0085494,-0.023926,-0.030902,-0.025216
-1.2,4.28166e-08,-0.0079298,-0.022994,-0.029652,-0.024248
-1.16,-2.8084e-08,-0.0077462,-0.02206,-0.028398,-0.023266
-1.12,-2.88122e-08,-0.0073662,-0.021122,-0.027146,-0.022282
-1.08,4.76826e-08,-0.007161,-0.020178,-0.025892,-0.021292
-1.04,-5.56168e-08,-0.00669,-0.01923,-0.02464,-0.020302
-1.0,5.720579999999999e-08,-0.0065446,-0.018276,-0.023386,-0.019298
-0.96,-5.94852e-08,-0.0061848,-0.017326,-0.022134,-0.018298
-0.92,6.05104e-08,-0.005969,-0.016366,-0.02088,-0.017292
-0.88,-5.54916e-08,-0.005484,-0.01541,-0.019634,-0.016288
-0.84,4.83816e-08,-0.005161,-0.014452,-0.018386,-0.015278
-0.8,-2.86004e-08,-0.0049804,-0.01349,-0.017148,-0.014266
-0.76,-2.69714e-08,-0.0045708,-0.012536,-0.015912,-0.01326
-0.72,4.54264e-08,-0.0044334,-0.011576,-0.01468,-0.012252
-0.68,-5.50866e-08,-0.0041694,-0.01063,-0.01346,-0.011244
-0.64,5.65152e-08,-0.0037888,-0.0096906,-0.012248,-0.010244
-0.6,-5.941779999999999e-08,-0.0035766,-0.008753,-0.011052,-0.0092586
-0.56,5.36624e-08,-0.0030644,-0.0078288,-0.0098766,-0.0082724
-0.52,-4.2155e-08,-0.0029382,-0.0069144,-0.0087078,-0.0072964
-0.48,5.973439999999999e-08,-0.0026738,-0.0060172,-0.0075666,-0.0063374
-0.44,-5.65136e-08,-0.0024976,-0.0051412,-0.0064536,-0.0053992
