VBBSA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.045244,-0.026112,-0.073634,-0.074504,-0.057026
-1.96,-0.044744,-0.025712,-0.072412,-0.073678,-0.055838
-1.92,-0.044246,-0.025332,-0.07111,-0.07315,-0.054692
-1.88,-0.043772,-0.024924,-0.069902,-0.071382,-0.054562
-1.84,-0.043286,-0.02451,-0.068612,-0.070654,-0.053356
-1.8,-0.042798,-0.024114,-0.067266,-0.068928,-0.052082
-1.76,-0.042318,-0.023704,-0.06588,-0.067762,-0.050368
-1.72,-0.041818,-0.02329,-0.064492,-0.066538,-0.049688
-1.68,-0.041354,-0.02288,-0.063086,-0.065078,-0.048472
-1.64,-0.04087,-0.02247,-0.061674,-0.063646,-0.047234
-1.6,-0.040398,-0.02206,-0.060258,-0.062708,-0.046014
-1.56,-0.039906,-0.021656,-0.058832,-0.061666,-0.044824
-1.52,-0.039436,-0.02124,-0.057392,-0.060572,-0.043596
-1.48,-0.03894,-0.020824,-0.055944,-0.059452,-0.0424
-1.44,-0.038462,-0.020412,-0.054492,-0.058328,-0.041208
-1.4,-0.037972,-0.019996,-0.053032,-0.057194,-0.039968
-1.36,-0.037496,-0.019574,-0.05156,-0.056044,-0.03855
-1.32,-0.037006,-0.019156,-0.050084,-0.054888,-0.03731
-1.28,-0.036524,-0.018742,-0.048602,-0.053726,-0.035946
-1.24,-0.036044,-0.018322,-0.047108,-0.05256,-0.034744
-1.2,-0.035564,-0.0179,-0.045632,-0.051378,-0.033584
-1.16,-0.035074,-0.017476,-0.044134,-0.050204,-0.032312
-1.12,-0.034598,-0.017056,-0.042634,-0.049016,-0.031146
-1.08,-0.034112,-0.016632,-0.041128,-0.047832,-0.029986
-1.04,-0.03363,-0.016204,-0.03962,-0.046642,-0.028784
-1.0,-0.033152,-0.015782,-0.038116,-0.04545,-0.027552
-0.96,-0.032672,-0.015354,-0.036598,-0.044252,-0.026328
-0.92,-0.032186,-0.014922,-0.035084,-0.043048,-0.025174
-0.88,-0.031706,-0.014492,-0.03358,-0.04185,-0.02399
-0.84,-0.031224,-0.014064,-0.032064,-0.040648,-0.022796
-0.8,-0.030742,-0.013618,-0.03056,-0.039446,-0.021606
-0.76,-0.030256,-0.013198,-0.02906,-0.038238,-0.020524
-0.72,-0.029774,-0.012764,-0.02756,-0.037034,-0.019336
-0.68,-0.029296,-0.012324,-0.02607,-0.035826,-0.018562
-0.64,-0.02881,-0.01187,-0.024586,-0.034622,-0.017092
