VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,5.13596e-08,4.17436e-08,-8.079999999999997e-09,-0.0074054,-0.003604
-1.96,-5.606119999999999e-08,-3.4842599999999995e-08,-8.928e-08,-0.0069732,-0.003333
-1.92,5.76294e-08,2.15384e-08,-1.0504e-07,-0.0065492,-0.0030642
-1.88,-5.897319999999999e-08,-7.423399999999999e-09,-1.2718e-07,-0.0061396,-0.0028024
-1.84,5.18552e-08,-2.218e-10,-2.198e-08,-0.0057358,-0.0025464
-1.8,-5.59014e-08,8.5382e-09,-4.76e-09,-0.005347,-0.0023004
-1.76,6.020139999999999e-08,-6.2528e-09,-1.3116e-07,-0.004971,-0.0020594
-1.72,-5.62392e-08,1.4892199999999998e-08,-7.992e-08,-0.0046072,-0.0018292
-1.68,4.85634e-08,-2.70652e-08,-1.24582e-08,-0.0042562,-0.0016052
-1.64,-3.8512e-08,2.80092e-08,-7.748e-08,-0.0039202,-0.0013994
-1.6,6.02708e-08,-4.24612e-08,-8.8562e-09,-0.003597,-0.001209
-1.56,-5.53764e-08,4.6603e-08,-7.2e-08,-0.0032882,-0.0010304
-1.52,4.8459e-08,-4.88502e-08,-1.046e-07,-0.0029932,-0.00086736
-1.48,-2.9551e-08,5.07094e-08,-7.145999999999999e-08,-0.0027126,-0.00072118
-1.44,-2.71958e-08,-5.13906e-08,-1.942e-08,-0.0024466,-0.00059166
-1.4,4.37842e-08,4.78658e-08,3.614e-08,-0.0021946,-0.00047902
-1.36,-5.441519999999999e-08,-3.88736e-08,-1.113e-07,-0.0019558,-0.00038298
-1.32,5.26042e-08,1.62326e-08,-4.44188e-08,-0.001731,-0.00030232
-1.28,-5.6108e-08,-1.97866e-08,-1.4996e-07,-0.0015194,-0.00023582
-1.24,5.95078e-08,-8.692e-10,2.022e-08,-0.0013212,-0.00018206
-1.2,-5.968859999999999e-08,1.17642e-08,-1.0192e-07,-0.0011372,-0.00013948
-1.16,5.633839999999999e-08,-2.41666e-08,8.034e-08,-0.00096672,-0.0001057
-1.12,-4.54228e-08,3.89506e-08,1.5947999999999998e-08,-0.00081054,-7.975e-05
-1.08,3.74476e-08,-4.71944e-08,1.2886e-07,-0.00066884,-5.9278e-05
-1.04,-1.92034e-08,4.81352e-08,-5.72e-08,-0.00054204,-4.3474e-05
-1.0,-3.4374999999999995e-08,-5.05656e-08,8.341999999999998e-10,-0.00043034,-3.1474000000000004e-05
-0.96,5.01998e-08,4.98078e-08,-9.356e-08,-0.00033364,-2.2462e-05
-0.92,-5.532459999999999e-08,-5.037999999999999e-08,-2.188e-08,-0.00025172,-1.5608e-05
-0.88,5.3792e-08,5.0837e-08,-1.604e-08,-0.00018458,-1.052e-05
-0.84,-5.606559999999999e-08,-4.5488e-08,6.286e-08,-0.00013106,-7.1100000000000005e-06
-0.8,5.86906e-08,3.767759999999999e-08,-7.836e-08,-8.973000000000001e-05,-4.402900000000001e-06
-0.76,-5.816819999999999e-08,-2.77708e-08,-2.84458e-08,-5.9314e-05,-2.7132e-06
-0.72,5.90074e-08,1.21472e-08,-1.0754e-07,-3.7658e-05,-1.7774e-06
-0.68,-5.85328e-08,-1.137e-09,8.14e-09,-2.2878e-05,-1.1573e-06
-0.64,5.292659999999999e-08,-9.048599999999997e-09,-8.456e-08,-1.3294e-05,-8.2636e-07
-0.6,-4.22726e-08,1.86646e-08,9.422e-08,-7.368e-06,-6.1242e-07
-0.56,5.93876e-08,-3.14568e-08,3.1377799999999994e-08,-3.7704e-06,-3.8506e-07
-0.52,-5.63102e-08,4.80236e-08,-8.324e-08,-1.9908e-06,-3.5194e-07
-0.48,4.35254e-08,-4.793819999999999e-08,8.414e-08,-1.0507000000000002e-06,-3.7276e-07
-0.44,-3.4017e-08,4.758659999999999e-08,2.31614e-08,-6.6674e-07,-2.9886e-07
-0.4,-2.38246e-08,-4.79834e-08,8.788e-08,-6.9994e-07,-1.987e-07
-0.36,3.98524e-08,4.9209e-08,-4.972e-08,-4.723e-07,-2.9276e-07
-0.32,-5.33278e-08,-5.04766e-08,7.735199999999997e-09,-3.8334e-07,-3.1108e-07
-0.28,5.584299999999999e-08,5.163499999999999e-08,-1.20766e-08,-4.1782e-07,-3.8474e-07
-0.24,-5.96586e-08,-4.71056e-08,-3.95038e-08,-3.04e-07,-4.0212e-07
-0.2,5.96332e-08,3.82884e-08,-1.4122e-07,-3.0116e-07,-2.3894e-07
-0.16,-5.58552e-08,-2.84484e-08,2.508e-08,-3.7712e-07,-2.7e-07
-0.12,4.201139999999999e-08,1.44116e-08,-7.846e-08,-3.2146e-07,-2.414e-07
-0.08,-3.1490399999999995e-08,-4.4674e-09,7.864e-08,-3.594e-08,-3.5296e-07
