VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.1,-0.039182,-0.084406,-0.083856,-0.056554
-1.96,-0.100002,-0.038472,-0.08312,-0.082478,-0.056112
-1.92,-0.100002,-0.037912,-0.08158,-0.081456,-0.053918
-1.88,-0.100004,-0.0363,-0.080648,-0.080514,-0.053152
-1.84,-0.1,-0.035212,-0.0791,-0.079174,-0.05156
-1.8,-0.100002,-0.034612,-0.077368,-0.078938,-0.050156
-1.76,-0.100002,-0.033824,-0.075956,-0.076574,-0.048032
-1.72,-0.099502,-0.033184,-0.074546,-0.07535,-0.048018
-1.68,-0.097952,-0.032416,-0.073106,-0.07441,-0.047312
-1.64,-0.096278,-0.03164,-0.071522,-0.073182,-0.047278
-1.6,-0.094774,-0.030856,-0.070062,-0.071952,-0.04496
-1.56,-0.093034,-0.030058,-0.068598,-0.07076,-0.042362
-1.52,-0.09141,-0.02926,-0.06696,-0.069564,-0.042392
-1.48,-0.089722,-0.028442,-0.06527,-0.068552,-0.040488
-1.44,-0.088158,-0.027648,-0.063838,-0.067396,-0.039284
-1.4,-0.08649,-0.026852,-0.061938,-0.065632,-0.038564
-1.36,-0.08486,-0.02605,-0.060438,-0.06342,-0.03823
-1.32,-0.08328,-0.025236,-0.058932,-0.06195,-0.036026
-1.28,-0.081726,-0.024436,-0.057554,-0.060528,-0.03341
-1.24,-0.080108,-0.023636,-0.056038,-0.059036,-0.03228
-1.2,-0.078558,-0.022836,-0.054568,-0.057672,-0.031752
-1.16,-0.07698,-0.022032,-0.053086,-0.055344,-0.032238
-1.12,-0.075396,-0.02124,-0.051666,-0.053924,-0.03085
-1.08,-0.073816,-0.020426,-0.050262,-0.052498,-0.027566
-1.04,-0.072262,-0.019646,-0.048858,-0.051138,-0.025506
-1.0,-0.070716,-0.018878,-0.04747,-0.049536,-0.026976
-0.96,-0.06912,-0.018088,-0.04608,-0.048156,-0.025166
-0.92,-0.067558,-0.017296,-0.044694,-0.046758,-0.02373
-0.88,-0.065964,-0.016528,-0.043252,-0.04535,-0.021352
-0.84,-0.064416,-0.015808,-0.041886,-0.043952,-0.017968
-0.8,-0.062816,-0.015094,-0.040554,-0.04254,-0.017706
-0.76,-0.061272,-0.014386,-0.039226,-0.041132,-0.017578
-0.72,-0.059686,-0.013702,-0.037896,-0.039708,-0.016768
-0.68,-0.058122,-0.013066,-0.036584,-0.038308,-0.01572
-0.64,-0.056544,-0.012522,-0.035252,-0.036918,-0.01366
-0.6,-0.054964,-0.011988,-0.033948,-0.035536,-0.013588
-0.56,-0.053438,-0.011274,-0.032636,-0.034152,-0.01268
-0.52,-0.05189,-0.010696,-0.031308,-0.032782,-0.011518
-0.48,-0.050366,-0.010286,-0.029976,-0.031428,-0.010736
-0.44,-0.048784,-0.0096738,-0.028638,-0.03009,-0.01021
-0.4,-0.047148,-0.0091802,-0.027286,-0.028746,-0.008747
-0.36,-0.045626,-0.0086632,-0.025926,-0.027416,-0.0082116
-0.32,-0.044026,-0.0082666,-0.024578,-0.026112,-0.007587
-0.28,-0.042552,-0.007752,-0.023206,-0.024784,-0.0071544
-0.24,-0.04106,-0.0071846,-0.02189,-0.02351,-0.0065718
