VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-3.4059999999999995e-08,-0.011692,-0.083624,-0.082046,-0.058554
-1.96,-2.81902e-08,-0.011402,-0.081458,-0.079812,-0.05784
-1.92,3.62964e-08,-0.01112,-0.079274,-0.07761,-0.056466
-1.88,-5.87832e-08,-0.010856,-0.07711,-0.075438,-0.055434
-1.84,5.346959999999999e-08,-0.010532,-0.074952,-0.073284,-0.055522
-1.8,-6.33496e-08,-0.010226,-0.072798,-0.071124,-0.054888
-1.76,5.7619e-08,-0.009919,-0.070646,-0.068988,-0.053732
-1.72,-5.88648e-08,-0.0096194,-0.068486,-0.06686,-0.051962
-1.68,3.54604e-08,-0.0093224,-0.066336,-0.064738,-0.049748
-1.64,-2.31972e-08,-0.009018,-0.064188,-0.062632,-0.048238
-1.6,-3.5923799999999994e-08,-0.008707,-0.062052,-0.060532,-0.046764
-1.56,4.84828e-08,-0.0083336,-0.059922,-0.058448,-0.045276
-1.52,-5.83264e-08,-0.0080728,-0.0578,-0.056368,-0.043832
-1.48,5.52624e-08,-0.007777,-0.055686,-0.054298,-0.042384
-1.44,-6.1674e-08,-0.007468,-0.05359,-0.052246,-0.040928
-1.4,5.923e-08,-0.0071616,-0.051504,-0.05021,-0.039474
-1.36,-5.690559999999999e-08,-0.006886,-0.049432,-0.048188,-0.038014
-1.32,4.44678e-08,-0.0066166,-0.047372,-0.046174,-0.036554
-1.28,-3.5418e-08,-0.0063338,-0.045326,-0.044178,-0.035086
-1.24,5.863899999999999e-08,-0.0060602,-0.043294,-0.042198,-0.033614
-1.2,-5.40976e-08,-0.0057874,-0.041278,-0.040236,-0.03214
-1.16,4.25956e-08,-0.0055168,-0.039274,-0.038286,-0.030664
-1.12,-3.1237799999999994e-08,-0.0052134,-0.03728,-0.036346,-0.029188
-1.08,-2.60618e-08,-0.004945,-0.035304,-0.034426,-0.027714
-1.04,4.15554e-08,-0.0046904,-0.033338,-0.032518,-0.026242
-1.0,-5.41524e-08,-0.004429,-0.031386,-0.030628,-0.024774
-0.96,5.550179999999999e-08,-0.0041586,-0.029448,-0.02875,-0.023314
-0.92,-5.990939999999999e-08,-0.0039008,-0.027528,-0.026886,-0.021854
-0.88,5.89906e-08,-0.0036454,-0.025626,-0.025046,-0.020406
-0.84,-6.0574e-08,-0.0033926,-0.023744,-0.023228,-0.01897
-0.8,5.18824e-08,-0.0031418,-0.021886,-0.021422,-0.017546
-0.76,-5.525e-08,-0.0028966,-0.020056,-0.019642,-0.016136
-0.72,5.2795e-08,-0.0026564,-0.018252,-0.01789,-0.014746
-0.68,-5.444959999999999e-08,-0.0024184,-0.016488,-0.01617,-0.013376
-0.64,5.69184e-08,-0.0021862,-0.01476,-0.014484,-0.012032
-0.6,-5.6664e-08,-0.0019528,-0.013084,-0.01284,-0.010718
-0.56,5.79296e-08,-0.0017238,-0.011454,-0.011246,-0.0094408
-0.52,-5.95932e-08,-0.0015066,-0.009886,-0.0097086,-0.0081938
-0.48,5.926299999999999e-08,-0.001292,-0.008378,-0.008231,-0.0069924
-0.44,-5.957319999999999e-08,-0.0010824,-0.0069468,-0.0068268,-0.0058398
-0.4,5.559919999999999e-08,-0.00088478,-0.0056006,-0.005505,-0.0047482
-0.36,-5.61418e-08,-0.00069554,-0.0043534,-0.004279,-0.0037276
-0.32,5.545799999999999e-08,-0.00051942,-0.0032204,-0.0031702,-0.0027934
-0.28,-4.04376e-08,-0.0003624,-0.0022292,-0.0021996,-0.001961
-0.24,4.294159999999999e-08,-0.00022952,-0.0014058,-0.001397,-0.0012586
-0.2,-4.09774e-08,-0.0001288,-0.0007812,-0.00078674,-0.00071344
-0.16,1.5708799999999998e-08,-6.324e-05,-0.00037232,-0.00037836,-0.00034362
-0.12,-1.94628e-08,-2.5408e-05,-0.00015378,-0.00015088,-0.00014212
-0.08,-4.932119999999999e-08,-7.891000000000001e-06,-5.6862e-05,-4.9262e-05,-5.219e-05
-0.04,5.55454e-08,-1.0856e-06,-1.5354e-05,-1.216e-05,-1.3596e-05
0.0,-5.921599999999999e-08,7.514e-07,6.14762e-08,-1.1454e-09,2.6888e-07
0.04,5.2824e-08,1.3435e-06,5.5017e-06,3.6725e-06,4.723900000000001e-06
0.08,-5.64354e-08,1.7048000000000002e-06,7.075800000000001e-06,4.6936e-06,6.059100000000001e-06
0.12,5.96182e-08,2.0229e-06,7.5586e-06,5.059e-06,6.4815000000000005e-06
0.16,-5.98728e-08,2.4317000000000004e-06,7.882400000000001e-06,5.2669e-06,6.6928000000000005e-06
0.2,5.686459999999999e-08,3.0413000000000004e-06,8.126600000000001e-06,5.45e-06,6.870300000000001e-06
0.24,-4.64458e-08,4.13e-06,8.5294e-06,5.754300000000001e-06,7.115200000000001e-06
0.28,8.646399999999997e-09,6.2365e-06,9.6337e-06,6.436100000000001e-06,7.579900000000002e-06
0.32,3.7675999999999984e-09,1.09472e-05,1.2992e-05,8.601100000000001e-06,8.832900000000001e-06
0.36,3.88596e-08,1.9676e-05,2.4674e-05,1.5942e-05,1.304e-05
