VBL_E,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.1,-0.028914,-0.100002,-0.08468,-0.09453
-1.96,-0.100002,-0.028296,-0.100002,-0.082438,-0.089794
-1.92,-0.100004,-0.027292,-0.100002,-0.080198,-0.088178
-1.88,-0.1,-0.026736,-0.099922,-0.077998,-0.086898
-1.84,-0.100002,-0.026162,-0.097608,-0.075792,-0.085818
-1.8,-0.100002,-0.02558,-0.095328,-0.073596,-0.083804
-1.76,-0.099636,-0.025006,-0.09299,-0.071416,-0.081376
-1.72,-0.097716,-0.024432,-0.09066,-0.069234,-0.07917
-1.68,-0.09574,-0.02384,-0.088286,-0.067066,-0.076908
-1.64,-0.093796,-0.023248,-0.085814,-0.064896,-0.074674
-1.6,-0.09181,-0.022654,-0.083452,-0.062742,-0.072476
-1.56,-0.089794,-0.02206,-0.081124,-0.060596,-0.070166
-1.52,-0.087782,-0.02146,-0.078734,-0.058458,-0.068056
-1.48,-0.085762,-0.020862,-0.07635,-0.056334,-0.065742
-1.44,-0.083772,-0.020256,-0.07397,-0.054222,-0.06353
-1.4,-0.08176,-0.019656,-0.07158,-0.052128,-0.060714
-1.36,-0.079746,-0.01904,-0.06913,-0.050052,-0.058782
-1.32,-0.077718,-0.018442,-0.066802,-0.047986,-0.05698
-1.28,-0.07569,-0.017834,-0.064474,-0.045942,-0.052612
-1.24,-0.073704,-0.01723,-0.062144,-0.043912,-0.05045
-1.2,-0.071766,-0.016628,-0.059828,-0.0419,-0.049048
-1.16,-0.06972,-0.016034,-0.057512,-0.03991,-0.046738
-1.12,-0.067752,-0.015446,-0.055192,-0.037932,-0.044616
-1.08,-0.067274,-0.01486,-0.052884,-0.035976,-0.041922
-1.04,-0.066816,-0.014278,-0.050556,-0.034034,-0.04013
-1.0,-0.064548,-0.013714,-0.048258,-0.03211,-0.039512
-0.96,-0.06155,-0.013146,-0.045964,-0.030204,-0.035264
-0.92,-0.05853,-0.012658,-0.04368,-0.028312,-0.033254
-0.88,-0.056314,-0.012082,-0.041366,-0.026444,-0.030854
-0.84,-0.05416,-0.011564,-0.039094,-0.024592,-0.02985
-0.8,-0.052084,-0.011096,-0.036804,-0.022762,-0.02934
-0.76,-0.050088,-0.010616,-0.034544,-0.02096,-0.026664
-0.72,-0.048082,-0.010114,-0.032308,-0.019184,-0.024708
-0.68,-0.04614,-0.0096196,-0.030096,-0.017442,-0.022748
-0.64,-0.044134,-0.0091596,-0.027774,-0.01574,-0.020778
-0.6,-0.041926,-0.0087076,-0.025612,-0.014088,-0.019006
-0.56,-0.03921,-0.0082454,-0.023468,-0.012484,-0.017122
-0.52,-0.037404,-0.007797,-0.02134,-0.010934,-0.01536
-0.48,-0.03492,-0.0073286,-0.01927,-0.0094646,-0.013598
-0.44,-0.033058,-0.006893,-0.017246,-0.0080648,-0.011758
-0.4,-0.030702,-0.0064434,-0.015298,-0.0067478,-0.010116
-0.36,-0.028992,-0.0060214,-0.013414,-0.005523,-0.0077156
