VBL_O,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100004,-0.03546,-0.09447,-0.084036,-0.041134
-1.96,-0.1,-0.035032,-0.092782,-0.084544,-0.04086
-1.92,-0.100002,-0.03432,-0.09152,-0.083626,-0.040416
-1.88,-0.100002,-0.033228,-0.090144,-0.08258,-0.03986
-1.84,-0.100002,-0.032562,-0.088784,-0.08146,-0.03919
-1.8,-0.100002,-0.03188,-0.087416,-0.08026,-0.038632
-1.76,-0.100004,-0.031784,-0.085548,-0.079072,-0.03798
-1.72,-0.100002,-0.03094,-0.083598,-0.077718,-0.037286
-1.68,-0.099876,-0.030082,-0.081928,-0.076734,-0.036642
-1.64,-0.098628,-0.029148,-0.080484,-0.075916,-0.036016
-1.6,-0.09712,-0.028182,-0.07849,-0.074688,-0.035366
-1.56,-0.09566,-0.027266,-0.076634,-0.071574,-0.034718
-1.52,-0.094146,-0.026556,-0.074762,-0.069386,-0.034044
-1.48,-0.092652,-0.02585,-0.07285,-0.068166,-0.03339
-1.44,-0.0911,-0.025158,-0.070918,-0.066522,-0.032724
-1.4,-0.08951,-0.024456,-0.068984,-0.06534,-0.032078
-1.36,-0.087916,-0.023752,-0.066996,-0.063986,-0.031446
-1.32,-0.086306,-0.023048,-0.06543,-0.062428,-0.03081
-1.28,-0.084756,-0.022342,-0.06393,-0.06078,-0.030172
-1.24,-0.08305,-0.021626,-0.062418,-0.059258,-0.029538
-1.2,-0.08134,-0.020926,-0.060898,-0.058092,-0.028928
-1.16,-0.07964,-0.02023,-0.059374,-0.056734,-0.0283
-1.12,-0.07801,-0.019484,-0.057864,-0.055324,-0.027684
-1.08,-0.07641,-0.018826,-0.05619,-0.053902,-0.02706
-1.04,-0.074818,-0.018136,-0.054674,-0.052482,-0.026432
-1.0,-0.073086,-0.017418,-0.05316,-0.05106,-0.02579
-0.96,-0.071516,-0.016758,-0.051642,-0.049632,-0.025122
-0.92,-0.069692,-0.016072,-0.05013,-0.048194,-0.024458
-0.88,-0.068094,-0.015422,-0.048616,-0.046768,-0.023778
-0.84,-0.066348,-0.014776,-0.047104,-0.04533,-0.023086
-0.8,-0.06468,-0.014162,-0.045586,-0.04389,-0.022376
-0.76,-0.062942,-0.013562,-0.044066,-0.042452,-0.021666
-0.72,-0.061366,-0.012932,-0.042548,-0.041018,-0.02093
-0.68,-0.059524,-0.012356,-0.041034,-0.03958,-0.020202
-0.64,-0.05802,-0.011826,-0.039522,-0.03814,-0.019454
-0.6,-0.055966,-0.011294,-0.038008,-0.036708,-0.018712
-0.56,-0.05422,-0.010806,-0.036498,-0.035272,-0.017976
-0.52,-0.052656,-0.01029,-0.034988,-0.03384,-0.017238
-0.48,-0.051054,-0.0097096,-0.03348,-0.032416,-0.01651
-0.44,-0.049076,-0.0092028,-0.031982,-0.031,-0.015786
-0.4,-0.047352,-0.008679,-0.030482,-0.029586,-0.015072
-0.36,-0.045794,-0.008223,-0.028986,-0.028174,-0.014326
-0.32,-0.044156,-0.0078174,-0.02751,-0.026764,-0.01363
-0.28,-0.04268,-0.007364,-0.026034,-0.02535,-0.01294
-0.24,-0.041022,-0.0069384,-0.024552,-0.023936,-0.012262
-0.2,-0.039514,-0.0064326,-0.023098,-0.022508,-0.011596
-0.16,-0.037468,-0.0059376,-0.021654,-0.021068,-0.010942
-0.12,-0.036038,-0.0054848,-0.020232,-0.01962,-0.010294
-0.08,-0.034608,-0.0050862,-0.018824,-0.018174,-0.0096584
-0.04,-0.033182,-0.0046618,-0.017442,-0.016746,-0.0090332
0.0,-0.031746,-0.004231,-0.016086,-0.015344,-0.0084198
0.04,-0.030332,-0.0038876,-0.014758,-0.01398,-0.0078056
0.08,-0.028916,-0.0034638,-0.013458,-0.012662,-0.0072136
0.12,-0.027524,-0.0031128,-0.012194,-0.011396,-0.0066332
0.16,-0.026128,-0.0027276,-0.010972,-0.010188,-0.006063
0.2,-0.02475,-0.0023924,-0.0097988,-0.0090548,-0.005499
0.24,-0.023374,-0.002109,-0.0086664,-0.0079816,-0.0049574
0.28,-0.022,-0.0017716,-0.0075858,-0.0069538,-0.0044156
0.32,-0.02066,-0.0014808,-0.0065622,-0.006009,-0.0038726
0.36,-0.019332,-0.0012292,-0.0056,-0.0051182,-0.0033256
0.4,-0.018014,-0.0009954,-0.0047066,-0.0042892,-0.0027772
0.44,-0.016714,-0.00078922,-0.0038862,-0.0035142,-0.002246
0.48,-0.015446,-0.00061962,-0.0031448,-0.0027898,-0.0017452
0.52,-0.014206,-0.00046988,-0.0024872,-0.0021284,-0.0012868
0.56,-0.013004,-0.0003511,-0.0019188,-0.001664,-0.00087724
0.6,-0.011822,-0.000257,-0.001439,-0.001128,-0.00053234
0.64,-0.010676,-0.00018662,-0.0010488,-0.00066518,-0.0002629
0.68,-0.0095806,-0.00012728,-0.00071152,-0.00031126,-8.5656e-05
0.72,-0.008523,-8.7864e-05,-0.00046564,-9.4996e-05,2.1092e-05
0.76,-0.0075188,-6.0228e-05,-0.00036198,1.9497e-06,7.5694e-05
0.8,-0.0065616,-4.2254e-05,-0.000253,3.2896e-05,0.00010471
0.84,-0.0056972,-2.9976e-05,-0.00016662,4.1504e-05,9.7136e-05
0.88,-0.0049178,-2.0806e-05,-0.00010746,4.5096e-05,0.0001029
0.92,-0.004218,-1.3888e-05,-7.3922e-05,4.7382e-05,0.0001233
0.96,-0.0036032,-9.3796e-06,-5.0018e-05,4.9334e-05,0.00014676
1.0,-0.003042,-4.796200000000001e-06,-3.1734e-05,5.125e-05,0.00017838
1.04,-0.0025276,-1.8975000000000005e-06,-1.8204e-05,5.3156e-05,0.00022216
1.08,-0.0020386,-4.013e-07,-6.3964e-06,5.498e-05,0.00027792
1.12,-0.0015704,7.11e-07,2.6922e-06,5.7174000000000005e-05,0.0003413
1.16,-0.0011122,1.10808e-06,8.3095e-06,6.0518e-05,0.00041238
1.2,-0.00066426,1.4897e-06,1.06761e-05,6.7074e-05,0.0004931
1.24,-0.00020944,1.7814000000000002e-06,1.1598e-05,8.290000000000001e-05,0.00058672
1.28,0.00023788,2.1575e-06,1.2136e-05,0.00012044,0.00069542
1.32,0.00069036,2.7508000000000004e-06,1.269e-05,0.00019154,0.00082198
1.36,0.00113662,3.7706e-06,1.3482e-05,0.00030852,0.0009687
1.4,0.0015854,5.7436e-06,1.5418e-05,0.0004927,0.00113288
1.44,0.002035,9.9053e-06,1.9342e-05,0.00067134,0.001332
1.48,0.0024838,1.7292e-05,3.0938e-05,0.00087844,0.00153
1.52,0.0029344,3.21e-05,5.1944e-05,0.00109484,0.0017342
1.56,0.0033822,5.6958e-05,8.0908e-05,0.0013654,0.0019038
1.6,0.0038322,9.631800000000002e-05,0.00011746,0.0016578,0.0021182
1.64,0.0042816,0.0001491,0.00016628,0.0019094,0.0024166
1.68,0.0047296,0.00022956,0.00023578,0.002257,0.0026696
1.72,0.0051776,0.00033212,0.00033544,0.0025794,0.0029234
1.76,0.005629,0.00045526,0.00047076,0.0029312,0.0032196
1.8,0.0060794,0.00059658,0.00064206,0.0032782,0.0034986
1.84,0.006532,0.00075244,0.00084456,0.0036198,0.0039362
1.88,0.0069858,0.00091664,0.00107142,0.003973,0.0043062
1.92,0.0074408,0.00109134,0.001318,0.0043324,0.0045938
1.96,0.0078968,0.0012718,0.0015794,0.0046996,0.0049234
2.0,0.008354,0.001472,0.001855,0.0050846,0.0052132
