VBL_O,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-5.666719999999999e-08,-0.013078,-0.085412,-0.044812,-0.06705
-1.96,5.388959999999999e-08,-0.012826,-0.08314,-0.04554,-0.065098
-1.92,-5.69638e-08,-0.01247,-0.080886,-0.044252,-0.063638
-1.88,5.96146e-08,-0.012152,-0.078634,-0.043886,-0.06282
-1.84,-5.9888e-08,-0.011722,-0.076408,-0.043732,-0.061362
-1.8,5.716919999999999e-08,-0.011436,-0.07418,-0.04238,-0.05983
-1.76,-4.95108e-08,-0.011056,-0.071944,-0.040648,-0.058254
-1.72,4.27592e-08,-0.01074,-0.069698,-0.039,-0.056668
-1.68,-1.42538e-08,-0.01038,-0.06747,-0.037426,-0.05506
-1.64,5.655339999999999e-08,-0.010048,-0.065242,-0.03629,-0.053314
-1.6,-6.00848e-08,-0.009714,-0.063026,-0.035284,-0.051662
-1.56,6.011099999999999e-08,-0.0093884,-0.060818,-0.03448,-0.049886
-1.52,-5.05028e-08,-0.0090612,-0.058618,-0.033514,-0.048214
-1.48,4.04532e-08,-0.0087254,-0.056428,-0.03251,-0.04656
-1.44,-2.44676e-08,-0.0083912,-0.054256,-0.031496,-0.044904
-1.4,-3.18476e-08,-0.008088,-0.052106,-0.030464,-0.043256
-1.36,5.035099999999999e-08,-0.0077714,-0.049966,-0.029416,-0.041616
-1.32,-5.6586e-08,-0.0074594,-0.04784,-0.028364,-0.039964
-1.28,5.81494e-08,-0.0071424,-0.045728,-0.027306,-0.038314
-1.24,-5.95694e-08,-0.0068302,-0.043636,-0.026236,-0.036672
-1.2,5.199259999999999e-08,-0.0065232,-0.041556,-0.025148,-0.03503
-1.16,-5.6536e-08,-0.0062162,-0.039502,-0.024064,-0.033394
-1.12,5.91062e-08,-0.0059094,-0.037456,-0.02297,-0.031752
-1.08,-5.96672e-08,-0.005598,-0.03544,-0.021872,-0.030112
-1.04,5.80144e-08,-0.0052966,-0.03343,-0.02077,-0.02848
-1.0,-5.19972e-08,-0.0049918,-0.031442,-0.01966,-0.026828
-0.96,5.9573e-08,-0.0046902,-0.029468,-0.01855,-0.025216
-0.92,-5.27706e-08,-0.004394,-0.027512,-0.017434,-0.023606
-0.88,4.26672e-08,-0.004104,-0.025578,-0.016328,-0.022006
