VBL_O,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100002,-0.026432,-0.100002,-0.1,-0.095998
-1.96,-0.100002,-0.025952,-0.100002,-0.100002,-0.092654
-1.92,-0.1,-0.025476,-0.100006,-0.100002,-0.091742
-1.88,-0.100002,-0.024978,-0.100002,-0.100002,-0.090734
-1.84,-0.100002,-0.024478,-0.100002,-0.100002,-0.08824
-1.8,-0.100002,-0.02394,-0.1,-0.100004,-0.085314
-1.76,-0.1,-0.02343,-0.09896,-0.100002,-0.08391
-1.72,-0.1,-0.02292,-0.09645,-0.100002,-0.081248
-1.68,-0.100002,-0.022422,-0.093946,-0.0994,-0.07806
-1.64,-0.100002,-0.02191,-0.091418,-0.096902,-0.07619
-1.6,-0.100002,-0.021382,-0.088916,-0.094408,-0.07428
-1.56,-0.100002,-0.020868,-0.086436,-0.09191,-0.072152
-1.52,-0.1,-0.020324,-0.083922,-0.089408,-0.069938
-1.48,-0.099216,-0.019812,-0.081414,-0.086902,-0.067752
-1.44,-0.097534,-0.019266,-0.078894,-0.084398,-0.06555
-1.4,-0.095636,-0.018742,-0.076418,-0.081902,-0.06319
-1.36,-0.094002,-0.018232,-0.073914,-0.079408,-0.060984
-1.32,-0.092168,-0.017698,-0.071374,-0.076922,-0.05889
-1.28,-0.090416,-0.017182,-0.068898,-0.074438,-0.056788
-1.24,-0.088598,-0.016618,-0.066438,-0.07197,-0.054666
-1.2,-0.08679,-0.016128,-0.063982,-0.069514,-0.052594
-1.16,-0.084856,-0.015568,-0.061532,-0.06707,-0.050528
-1.12,-0.083148,-0.01507,-0.059154,-0.064626,-0.04844
-1.08,-0.081394,-0.014584,-0.056726,-0.062202,-0.046276
-1.04,-0.079572,-0.014034,-0.05429,-0.059786,-0.044142
-1.0,-0.07777,-0.013554,-0.051888,-0.057378,-0.04207
-0.96,-0.076076,-0.013036,-0.049512,-0.05498,-0.040054
-0.92,-0.07426,-0.01253,-0.047136,-0.052592,-0.038028
-0.88,-0.072508,-0.01204,-0.044764,-0.05022,-0.036004
-0.84,-0.07068,-0.011652,-0.04238,-0.047856,-0.034016
-0.8,-0.068982,-0.011148,-0.040026,-0.045504,-0.031988
-0.76,-0.067174,-0.010652,-0.037664,-0.043164,-0.029954
-0.72,-0.065416,-0.01018,-0.035326,-0.040834,-0.027934
-0.68,-0.06362,-0.0097488,-0.033004,-0.03851,-0.025972
-0.64,-0.06193,-0.0093208,-0.030682,-0.03621,-0.023984
-0.6,-0.060084,-0.0088696,-0.02837,-0.033926,-0.021336
-0.56,-0.058356,-0.0084102,-0.026092,-0.031664,-0.019204
-0.52,-0.056572,-0.0079744,-0.023834,-0.029408,-0.01735
-0.48,-0.05489,-0.0075476,-0.021594,-0.027192,-0.015548
-0.44,-0.053116,-0.0071088,-0.019392,-0.025006,-0.013202
-0.4,-0.051422,-0.0066996,-0.01726,-0.022862,-0.010812
-0.36,-0.049698,-0.0062638,-0.015212,-0.020758,-0.0092814
-0.32,-0.048012,-0.0058526,-0.013264,-0.018694,-0.007847
-0.28,-0.046294,-0.0053854,-0.011428,-0.016684,-0.006508
-0.24,-0.044602,-0.0050538,-0.0097172,-0.014748,-0.0052226
-0.2,-0.042926,-0.0046044,-0.0081338,-0.012902,-0.0036004
-0.16,-0.041262,-0.0042096,-0.0067018,-0.01116,-0.0026742
-0.12,-0.039622,-0.003764,-0.0054142,-0.0095436,-0.0019374
-0.08,-0.037986,-0.0033798,-0.0042716,-0.0080544,-0.0013586
-0.04,-0.036382,-0.002924,-0.0032578,-0.0066998,-0.00089114
0.0,-0.034752,-0.0026306,-0.0023902,-0.005484,-0.00052906
0.04,-0.033156,-0.0022744,-0.0016862,-0.004395,-0.00026778
0.08,-0.031564,-0.0019236,-0.0011614,-0.0034284,3.0184e-05
0.12,-0.030012,-0.0015758,-0.00078418,-0.0025848,0.000111364
0.16,-0.028456,-0.0012334,-0.00050218,-0.0018806,0.00015514
0.2,-0.026908,-0.0010004,-0.00027982,-0.0013254,0.00018598
0.24,-0.025382,-0.00075732,-0.00010488,-0.00090814,0.00020632
0.28,-0.023882,-0.00049604,2.3016e-05,-0.00059358,0.00022156
0.32,-0.022386,-0.00036912,0.000106898,-0.00035754,0.00023422
0.36,-0.020914,-0.00023554,0.00015482,-0.00018758,0.00024734
0.4,-0.019468,-0.0001538,0.00019962,-7.3504e-05,0.00026128
0.44,-0.01805,-8.0906e-05,0.0002308,-1.4172000000000002e-06,0.00028242
0.48,-0.016652,-2.175e-05,0.00024884,3.2446e-05,0.00031316
0.52,-0.01529,2.142e-05,0.00026226,4.64e-05,0.00036354
0.56,-0.013964,5.0612e-05,0.0002757,5.2534e-05,0.00044778
0.6,-0.012674,6.370800000000001e-05,0.00029472,5.585e-05,0.00057526
0.64,-0.011418,7.644e-05,0.00032786,5.8896e-05,0.00074794
0.68,-0.01022,7.901e-05,0.00038732,6.3742e-05,0.00096072
0.72,-0.0090736,8.633000000000002e-05,0.00048488,7.7304e-05,0.0011854
0.76,-0.0079814,9.145400000000002e-05,0.00062712,0.000108536,0.001437
0.8,-0.006964,9.4232e-05,0.00081272,0.00017206,0.0016832
0.84,-0.0060262,9.2954e-05,0.00103292,0.0002784,0.0019402
0.88,-0.0051692,0.000104812,0.0012778,0.00042866,0.0021938
0.92,-0.0044142,0.000110804,0.0015402,0.00061844,0.0024238
0.96,-0.003751,0.00013044,0.0018118,0.00083788,0.0026454
1.0,-0.0031556,0.0001554,0.0020868,0.0010804,0.002855
1.04,-0.0026214,0.0001798,0.0023586,0.0013386,0.0030524
1.08,-0.0021136,0.00022978,0.0026232,0.0016036,0.0032476
1.12,-0.001633,0.00028238,0.0028762,0.0018666,0.0034316
1.16,-0.0011554,0.0003457,0.0031186,0.0021274,0.0036124
