VCP,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,5.43886e-08,4.5406e-09,5.572e-08,-0.001905,-0.001047
-1.96,-5.685899999999999e-08,-1.2402e-08,-1.1814e-07,-0.0016914,-0.00065058
-1.92,5.860799999999999e-08,2.63296e-08,-4.4077399999999993e-08,-0.0014958,-0.00052774
-1.88,-5.984179999999999e-08,-2.36844e-08,-9.318e-08,-0.00131,-0.00044778
-1.84,5.575659999999999e-08,2.13798e-08,-3.17822e-08,-0.0011344,-0.00038748
-1.8,-4.05928e-08,-3.59274e-08,8.004e-08,-0.00096998,-0.00034474
-1.76,5.93094e-08,3.12166e-08,-1.308e-07,-0.00081634,-0.00030176
-1.72,-5.58606e-08,-2.88872e-08,-3.88034e-08,-0.00067516,-0.00026558
-1.68,4.67512e-08,3.8864799999999993e-08,-8.316e-08,-0.0005473,-0.00023716
-1.64,-3.71108e-08,-3.5382e-08,-2.1355e-08,-0.00043368,-0.00020706
-1.6,5.977399999999999e-08,3.1103799999999994e-08,-8.597999999999998e-08,-0.00033486,-0.00018642
-1.56,-5.52252e-08,-4.5803e-08,-2.758e-08,-0.00025144,-0.000161
-1.52,4.4269e-08,4.80776e-08,-4.32e-08,-0.00018288,-0.00013852
-1.48,-3.37016e-08,-5.107339999999999e-08,1.2664e-07,-0.00012858,-0.0001204
-1.44,-2.2809e-08,4.52102e-08,3.6936e-08,-8.8564e-05,-0.0001026
-1.4,3.823539999999999e-08,-3.5613199999999994e-08,7.986e-08,-5.8108e-05,-9.9242e-05
-1.36,-5.4217e-08,2.27742e-08,2.12488e-08,-3.716e-05,-8.1634e-05
-1.32,5.87416e-08,-7.1285999999999996e-09,1.3936e-07,-2.32e-05,-6.6958e-05
-1.28,-5.95828e-08,-3.7595999999999985e-09,3.758e-08,-1.4148e-05,-5.5654e-05
-1.24,5.43122e-08,1.43826e-08,-5.62868e-08,-8.796400000000001e-06,-4.4846e-05
-1.2,-1.9248e-08,-2.9054e-08,-2.1982e-08,-5.4149000000000005e-06,-3.5864e-05
-1.16,-3.0923e-08,4.31794e-08,-1.3728e-07,-3.3019000000000005e-06,-2.8878e-05
-1.12,4.8439e-08,-4.80072e-08,-4.51338e-08,-2.1035000000000003e-06,-2.2336e-05
-1.08,-5.568939999999999e-08,5.0016e-08,-9.058e-08,-1.7348e-06,-1.6882000000000002e-05
-1.04,5.71794e-08,-5.06778e-08,-3.1642e-08,-1.4509000000000002e-06,-1.2888e-05
-1.0,-5.91538e-08,5.1638e-08,-9.474e-08,-1.2057000000000002e-06,-1.0407e-05
-0.96,5.957359999999999e-08,-5.12884e-08,6.817999999999999e-08,-1.2786e-06,-7.5307e-06
-0.92,-5.91754e-08,4.627579999999999e-08,2.70656e-08,-1.236e-06,-5.324300000000001e-06
-0.88,5.669659999999999e-08,-3.6917e-08,1.0852e-07,-1.0058000000000002e-06,-3.4897e-06
-0.84,-4.8615e-08,2.55532e-08,9.92e-09,-1.132e-06,-2.2486000000000004e-06
-0.8,3.96278e-08,-8.906799999999997e-09,5.34e-08,-1.1506e-06,-1.583e-06
-0.76,-2.43738e-08,-1.1478e-09,-1.0874e-07,-1.0579e-06,-1.0867e-06
-0.72,-3.0374799999999995e-08,1.18074e-08,-3.3202599999999995e-08,-1.1911e-06,-9.7102e-07
-0.68,4.801859999999999e-08,-2.46444e-08,-9.466e-08,-1.0106e-06,-8.4258e-07
-0.64,-5.3928399999999993e-08,4.11066e-08,9.158e-08,-1.0141000000000002e-06,-6.8632e-07
-0.6,5.66144e-08,-4.77142e-08,3.778e-08,-1.0858e-06,-6.0224e-07
-0.56,-5.922579999999999e-08,4.80322e-08,-5.58948e-08,-1.07362e-06,-5.5354e-07
-0.52,6.022579999999999e-08,-5.0671e-08,-2.13408e-08,-9.3498e-07,-5.4098e-07
-0.48,-5.553999999999999e-08,5.16212e-08,-8.538e-08,-8.8872e-07,-4.6848e-07
-0.44,5.97678e-08,-4.808039999999999e-08,5.456e-08,-7.7228e-07,-3.4864e-07
-0.4,-5.33282e-08,3.9216e-08,1.0783e-08,-5.0784e-07,-3.0632e-07
-0.36,4.32168e-08,-2.9289e-08,8.616e-08,-3.8414e-07,-2.3678e-07
-0.32,-2.98988e-08,1.5708799999999998e-08,2.77302e-08,-3.2404e-07,-2.8656e-07
-0.28,-2.5942e-08,9.0252e-09,9.212e-08,-1.6198e-07,-2.924e-07
-0.24,4.1512e-08,-9.9808e-09,3.79788e-08,1.8036e-07,-3.689e-07
-0.2,-5.58314e-08,2.2091e-08,8.058e-08,6.0352e-07,-3.9462e-07
-0.16,5.72786e-08,-3.85032e-08,2.2256e-08,1.3187000000000002e-06,-4.3196e-07
-0.12,-5.88406e-08,4.6026e-08,1.3704e-07,2.5767e-06,-3.4786e-07
-0.08,5.16934e-08,-4.87278e-08,4.45422e-08,3.3249e-06,-3.9238e-07
-0.04,-5.587479999999999e-08,5.11194e-08,8.856e-08,3.6365e-06,-2.6838e-07
0.0,5.95182e-08,-4.7106e-08,3.788e-08,3.5871000000000004e-06,-2.4202e-07
0.04,-5.58478e-08,3.85076e-08,-5.63464e-08,3.729500000000001e-06,-1.634e-07
0.08,4.73474e-08,-3.2626e-08,-2.05956e-08,3.8081e-06,-2.74e-07
0.12,-3.74848e-08,1.4156399999999998e-08,-1.373e-07,3.8361e-06,-3.14e-07
0.16,6.02352e-08,-1.1656e-09,9.062e-08,3.839300000000001e-06,-3.2254e-07
0.2,-5.52756e-08,-9.935e-09,-7.922e-08,3.9325e-06,-3.4696e-07
