VCP,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.045212,-0.016722,-0.03176,-0.0013752,-0.018394
-1.96,-0.044604,-0.016456,-0.031086,-0.0012316,-0.01807
-1.92,-0.04412,-0.016168,-0.03044,-0.0010974,-0.017768
-1.88,-0.043648,-0.015876,-0.029966,-0.000967,-0.017532
-1.84,-0.043156,-0.015542,-0.029152,-0.00084484,-0.017152
-1.8,-0.042624,-0.015234,-0.028542,-0.0007285,-0.016754
-1.76,-0.042096,-0.01492,-0.027898,-0.00061926,-0.016354
-1.72,-0.041564,-0.014606,-0.027358,-0.00051788,-0.015966
-1.68,-0.041018,-0.014284,-0.026634,-0.00042456,-0.015562
-1.64,-0.0405,-0.013954,-0.026186,-0.00034078,-0.015164
-1.6,-0.03996,-0.013634,-0.025092,-0.00026682,-0.01476
-1.56,-0.039422,-0.01331,-0.0245,-0.00020302,-0.014372
-1.52,-0.038896,-0.012998,-0.023802,-0.00014992,-0.013972
-1.48,-0.038364,-0.012642,-0.02311,-0.00010698,-0.013556
-1.44,-0.037818,-0.012302,-0.022424,-7.4604e-05,-0.013166
-1.4,-0.037258,-0.011968,-0.021734,-4.9752e-05,-0.012776
-1.36,-0.036724,-0.011624,-0.021054,-3.2152e-05,-0.012378
-1.32,-0.036184,-0.011284,-0.020372,-2.0194e-05,-0.011974
-1.28,-0.035646,-0.010936,-0.019678,-1.2308e-05,-0.011586
-1.24,-0.035106,-0.01059,-0.018988,-7.774400000000001e-06,-0.01119
-1.2,-0.034562,-0.010234,-0.018298,-4.5452e-06,-0.010794
-1.16,-0.034008,-0.009896,-0.017616,-3.0087e-06,-0.0104
-1.12,-0.03346,-0.0095426,-0.016926,-2.1094e-06,-0.0100044
-1.08,-0.032904,-0.0091796,-0.01626,-1.5104000000000002e-06,-0.009586
-1.04,-0.032358,-0.0088174,-0.015584,-1.3063e-06,-0.0091956
-1.0,-0.031802,-0.0084654,-0.014914,-1.3667000000000002e-06,-0.008806
-0.96,-0.031256,-0.0081074,-0.014248,-1.1565e-06,-0.0084232
-0.92,-0.030704,-0.0077498,-0.013574,-1.1011e-06,-0.0080292
-0.88,-0.030136,-0.0073936,-0.012874,-1.2214e-06,-0.0076438
-0.84,-0.02957,-0.0070392,-0.012278,-1.0528e-06,-0.0072558
-0.8,-0.029026,-0.0066794,-0.011652,-1.1024e-06,-0.006872
-0.76,-0.028464,-0.0063318,-0.011006,-1.1764e-06,-0.0064758
-0.72,-0.027908,-0.00597,-0.010364,-1.0615e-06,-0.0060724
-0.68,-0.027356,-0.0056228,-0.0097494,-1.0816000000000002e-06,-0.0056506
-0.64,-0.026796,-0.0052832,-0.00911,-1.0473e-06,-0.0052164
-0.6,-0.02624,-0.0049472,-0.0084832,-1.058e-06,-0.0047666
