VCP,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,2.64956e-08,-7.4408e-05,-0.020642,-0.020138,-0.018484
-1.96,-4.20622e-08,-7.1248e-05,-0.01987,-0.019404,-0.017818
-1.92,5.37e-08,-6.8724e-05,-0.019134,-0.018692,-0.017178
-1.88,-5.683939999999999e-08,-6.6472e-05,-0.018404,-0.017986,-0.016536
-1.84,5.979159999999999e-08,-6.268200000000001e-05,-0.017676,-0.017268,-0.0159
-1.8,-6.050119999999999e-08,-5.903e-05,-0.016952,-0.016556,-0.015264
-1.76,5.774119999999999e-08,-5.6056e-05,-0.01623,-0.01586,-0.014626
-1.72,-4.4564e-08,-5.5514e-05,-0.015508,-0.015146,-0.01399
-1.68,3.3494599999999995e-08,-5.326e-05,-0.014786,-0.01444,-0.013356
-1.64,-1.5755599999999997e-08,-5.1222e-05,-0.01407,-0.01374,-0.01272
-1.6,-3.9207e-08,-4.94e-05,-0.013354,-0.013036,-0.012086
-1.56,5.40976e-08,-4.7734e-05,-0.012638,-0.012334,-0.011454
-1.52,-5.656259999999999e-08,-4.5544e-05,-0.011924,-0.01164,-0.010822
-1.48,5.629479999999999e-08,-4.4376e-05,-0.01121,-0.01094,-0.01019
-1.44,-5.6552e-08,-4.235e-05,-0.0105,-0.010248,-0.0095714
-1.4,5.67418e-08,-4.059e-05,-0.0098054,-0.00958,-0.0089428
-1.36,-6.0422e-08,-3.8418e-05,-0.0090984,-0.0088788,-0.0083186
-1.32,6.009979999999999e-08,-3.6414e-05,-0.0083976,-0.0081934,-0.0076944
-1.28,-4.52096e-08,-3.4888e-05,-0.0076988,-0.0075094,-0.0070734
-1.24,8.676e-09,-3.309e-05,-0.0070042,-0.0068302,-0.0064554
-1.2,-1.0914e-08,-3.1464e-05,-0.0063144,-0.0061574,-0.0058404
-1.16,4.92598e-08,-2.9832e-05,-0.0056258,-0.0054856,-0.0052296
-1.12,-3.87448e-08,-2.8032e-05,-0.0049434,-0.0048196,-0.0046268
-1.08,6.11386e-08,-2.6182e-05,-0.0042714,-0.004164,-0.0040328
-1.04,5.414e-08,-2.4552e-05,-0.0036106,-0.0035184,-0.0034532
-1.0,5.6405e-08,-2.2838e-05,-0.0029658,-0.0028884,-0.0028914
-0.96,-5.872979999999999e-08,-2.129e-05,-0.0023442,-0.0022802,-0.0023534
-0.92,5.95372e-08,-1.9732e-05,-0.0017528,-0.001701,-0.0018526
-0.88,-6.02086e-08,-1.8198e-05,-0.0012122,-0.0011696,-0.0014108
-0.84,5.4389399999999993e-08,-1.6930000000000002e-05,-0.0007463,-0.00070826,-0.0010474
-0.8,-4.39518e-08,-1.5244e-05,-0.0003929,-0.00035568,-0.00080768
-0.76,3.29484e-08,-1.3774e-05,-0.00017866,-0.00014324,-0.0006283
-0.72,-3.802599999999999e-09,-1.2422e-05,-8.4862e-05,-5.4104e-05,-0.0005203
-0.68,5.129039999999999e-08,-1.0744e-05,-3.782e-05,-1.8212e-05,-0.00044202
-0.64,-4.0976e-08,-9.4809e-06,-1.7576e-05,-6.854300000000001e-06,-0.00037436
-0.6,6.082299999999999e-08,-8.542e-06,-9.2072e-06,-2.0248e-06,-0.0003166
