VDD1,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.02672,-0.0056074,-0.0025728,-4.1606e-07,-1.905e-10
-1.96,-0.027408,-0.0053304,-0.002326,-3.9052e-07,-6.994e-11
-1.92,-0.02741,-0.0050618,-0.0020878,-3.6714e-07,-1.2913e-10
-1.88,-0.026788,-0.004803,-0.0018592,-3.5954e-07,-7.579e-11
-1.84,-0.026124,-0.0045522,-0.0016394,-3.4638e-07,-9.734e-11
-1.8,-0.026062,-0.0043102,-0.0014312,-3.2526e-07,-1.3979000000000002e-10
-1.76,-0.025358,-0.0040764,-0.0012344,-3.1568e-07,-7.116e-11
-1.72,-0.024622,-0.0038514,-0.0010504,-3.0966e-07,-1.136e-10
-1.68,-0.023876,-0.0036346,-0.00088048,-2.9696e-07,-4.3210000000000005e-11
-1.64,-0.023138,-0.003426,-0.00072494,-2.8194e-07,-1.3389000000000002e-10
-1.6,-0.022406,-0.0032256,-0.00058566,-2.7816e-07,-1.639e-11
-1.56,-0.021668,-0.003031,-0.0004621,-2.7484e-07,-1.6015e-10
-1.52,-0.020944,-0.002846,-0.00035552,-2.614e-07,3.4910000000000005e-11
-1.48,-0.020216,-0.0026674,-0.00026606,-2.498e-07,-1.7298e-10
-1.44,-0.019546,-0.0024956,-0.00019292,-2.4904e-07,3.095e-11
-1.4,-0.01888,-0.0023302,-0.00013562,-2.4498e-07,-1.6438e-10
-1.36,-0.018228,-0.0021696,-9.2872e-05,-2.3348e-07,3.3450000000000005e-11
-1.32,-0.01761,-0.0020134,-6.208e-05,-2.2638e-07,-1.565e-10
-1.28,-0.01701,-0.0018606,-4.077e-05,-2.257e-07,3.379e-11
-1.24,-0.016444,-0.0017102,-2.661e-05,-2.1922e-07,-1.476e-10
-1.2,-0.015882,-0.0015616,-1.7232e-05,-2.0854e-07,4.09e-11
-1.16,-0.015342,-0.0014148,-1.105e-05,-2.0426e-07,-1.4078e-10
-1.12,-0.01481,-0.00127,-7.2233e-06,-2.0254e-07,4.1430000000000006e-11
-1.08,-0.014288,-0.0011266,-4.692e-06,-1.9298e-07,-1.3584000000000002e-10
-1.04,-0.013756,-0.00098656,-3.0207e-06,-1.8258e-07,4.2850000000000006e-11
-1.0,-0.013242,-0.00084764,-2.1173e-06,-1.7916e-07,-1.3583e-10
-0.96,-0.01271,-0.00071238,-1.4712000000000002e-06,-1.719e-07,4.8570000000000007e-11
