VDD2,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.09995,-0.015632,8.76e-08,-0.099978,-0.099978
-1.96,-0.099976,-0.015248,2.6912e-08,-0.09999,-0.099976
-1.92,-0.099978,-0.014846,1.088e-07,-0.099978,-0.099978
-1.88,-0.09998,-0.01443,-1.44222e-08,-0.099976,-0.09998
-1.84,-0.09998,-0.014028,-2.1662e-09,-0.099976,-0.099978
-1.8,-0.099976,-0.013616,-1.9762e-09,-0.098338,-0.099648
-1.76,-0.099976,-0.013198,-1.41608e-08,-0.095452,-0.09664
-1.72,-0.099978,-0.012784,1.0787e-08,-0.09241,-0.093622
-1.68,-0.099978,-0.012372,-3.4709199999999994e-08,-0.089376,-0.090636
-1.64,-0.098706,-0.011966,-5.382e-08,-0.086362,-0.087652
-1.6,-0.09593,-0.011548,2.35782e-08,-0.083346,-0.084696
-1.56,-0.093136,-0.011142,3.2346e-08,-0.080374,-0.08175
-1.52,-0.090568,-0.01071,8.504e-08,-0.077406,-0.078838
-1.48,-0.087832,-0.010308,4.66906e-08,-0.074476,-0.075962
-1.44,-0.08557,-0.0099082,4.846e-08,-0.07155,-0.073104
-1.4,-0.083692,-0.009492,-3.94952e-08,-0.068662,-0.070274
-1.36,-0.081456,-0.0090744,-5.0491999999999995e-09,-0.065796,-0.06748
-1.32,-0.079178,-0.008681,-5.566e-08,-0.062978,-0.064706
-1.28,-0.076898,-0.0082636,4.69996e-08,-0.060194,-0.061964
-1.24,-0.074608,-0.0078766,1.3016e-09,-0.057436,-0.059238
-1.2,-0.072302,-0.0074656,-4.06398e-08,-0.054708,-0.056536
-1.16,-0.069992,-0.0070778,-9.124e-08,-0.052002,-0.053856
-1.12,-0.067666,-0.0066736,-2.30184e-08,-0.04933,-0.05118
-1.08,-0.065344,-0.0062972,-4.804e-08,-0.04668,-0.048524
-1.04,-0.06299,-0.0059098,2.5591e-08,-0.044068,-0.04588
-1.0,-0.060658,-0.0055378,-3.7683999999999995e-09,-0.041486,-0.043246
-0.96,-0.058276,-0.0051634,-3.46668e-08,-0.038924,-0.040622
-0.92,-0.055926,-0.0047998,1.976e-08,-0.036386,-0.038008
-0.88,-0.05355,-0.0044356,9.032e-08,-0.033874,-0.03541
-0.84,-0.051172,-0.004075,3.95854e-08,-0.03139,-0.032828
-0.8,-0.04878,-0.003733,-3.748e-08,-0.028934,-0.03026
-0.76,-0.046374,-0.003394,-8.246e-08,-0.02652,-0.027716
-0.72,-0.043972,-0.003058,-4.12374e-08,-0.024142,-0.02519
-0.68,-0.041562,-0.0027308,-1.2588e-07,-0.021818,-0.022704
-0.64,-0.039154,-0.0024124,-5.666399999999999e-09,-0.019554,-0.020252
-0.6,-0.036728,-0.0021044,2.07086e-08,-0.01736,-0.017846
-0.56,-0.034306,-0.0018024,4.518e-08,-0.015256,-0.015498
-0.52,-0.031866,-0.0015164,-2.53398e-08,-0.013254,-0.013214
-0.48,-0.029436,-0.0012418,-1.33764e-08,-0.011382,-0.011012
-0.44,-0.02699,-0.00098476,-6.76e-08,-0.0096762,-0.0089322
-0.4,-0.024556,-0.00074984,-5.4568e-09,-0.0081318,-0.0069664
-0.36,-0.022106,-0.00054038,-5.562e-08,-0.0067824,-0.0051642
-0.32,-0.019656,-0.00036472,4.77454e-08,-0.005636,-0.003577
-0.28,-0.017204,-0.0002284,8.224e-10,-0.0046764,-0.0022646
-0.24,-0.014746,-0.00013426,-3.87468e-08,-0.0038612,-0.001281
-0.2,-0.012292,-7.803e-05,-5.6e-08,-0.0031434,-0.00064088
-0.16,-0.0098496,-4.2908e-05,5.0998e-08,-0.0024808,-0.0002894
