VDDQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100002,-0.1,-0.100002,-0.0918,-0.100002
-1.96,-0.1,-0.1,-0.100002,-0.091446,-0.100002
-1.92,-0.1,-0.100002,-0.100002,-0.089426,-0.100002
-1.88,-0.100002,-0.100002,-0.100002,-0.088014,-0.100002
-1.84,-0.100002,-0.100002,-0.1,-0.08633,-0.100002
-1.8,-0.100002,-0.1,-0.1,-0.084644,-0.099424
-1.76,-0.100002,-0.100002,-0.100002,-0.083052,-0.097532
-1.72,-0.100002,-0.1,-0.100002,-0.081222,-0.095106
-1.68,-0.100002,-0.100004,-0.100002,-0.07992,-0.092742
-1.64,-0.1,-0.100002,-0.1,-0.078306,-0.090704
-1.6,-0.100002,-0.100002,-0.100002,-0.07676,-0.089048
-1.56,-0.1,-0.1,-0.100002,-0.075114,-0.088076
-1.52,-0.1,-0.100002,-0.1,-0.072798,-0.086798
-1.48,-0.098916,-0.100002,-0.100002,-0.071226,-0.085228
-1.44,-0.097036,-0.100002,-0.098746,-0.069604,-0.082798
-1.4,-0.095052,-0.098398,-0.096088,-0.067954,-0.080162
-1.36,-0.092824,-0.095316,-0.093402,-0.066258,-0.077468
-1.32,-0.090902,-0.092218,-0.090682,-0.06456,-0.075118
-1.28,-0.088944,-0.089128,-0.087938,-0.06283,-0.072242
-1.24,-0.08705,-0.086034,-0.08518,-0.061092,-0.069788
-1.2,-0.084878,-0.082952,-0.082402,-0.059328,-0.067626
-1.16,-0.082878,-0.079862,-0.079602,-0.057558,-0.0655
-1.12,-0.080916,-0.076782,-0.076794,-0.055772,-0.063344
-1.08,-0.078736,-0.073584,-0.07397,-0.053972,-0.061182
-1.04,-0.076652,-0.070544,-0.071152,-0.05216,-0.05901
-1.0,-0.07466,-0.067472,-0.068324,-0.050336,-0.05683
-0.96,-0.072554,-0.064462,-0.065496,-0.0485,-0.054688
-0.92,-0.07024,-0.06143,-0.062658,-0.046658,-0.052492
-0.88,-0.068296,-0.058444,-0.059832,-0.044812,-0.050306
-0.84,-0.066206,-0.055452,-0.057018,-0.042954,-0.048108
-0.8,-0.064206,-0.052472,-0.054174,-0.041096,-0.0459
-0.76,-0.061964,-0.049548,-0.051382,-0.039236,-0.043694
-0.72,-0.060026,-0.046606,-0.048614,-0.037376,-0.041494
-0.68,-0.057836,-0.043728,-0.045866,-0.035518,-0.039298
-0.64,-0.05578,-0.040822,-0.04314,-0.033662,-0.037098
-0.6,-0.053574,-0.037962,-0.040438,-0.031796,-0.034914
-0.56,-0.051636,-0.03514,-0.037752,-0.029918,-0.032744
-0.52,-0.049474,-0.032344,-0.035082,-0.02803,-0.03059
-0.48,-0.047212,-0.02958,-0.032436,-0.026148,-0.028438
