VDDQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-1.54796e-08,-0.08502,-5.89254e-08,-0.08718,-9.388e-08
-1.96,-3.4919199999999994e-08,-0.082762,-1.1778e-07,-0.086204,8.294e-08
-1.92,5.10732e-08,-0.080362,-2.21e-08,-0.081618,1.6812e-08
-1.88,-5.619579999999999e-08,-0.078112,-7.874e-08,-0.07805,4.954e-08
-1.84,5.88974e-08,-0.075846,8.325999999999998e-08,-0.075288,3.424599999999999e-09
-1.8,-5.983059999999999e-08,-0.07355,-6.056e-10,-0.072776,9.882e-08
-1.76,5.77052e-08,-0.07128,8.576e-08,-0.068914,4.40052e-08
-1.72,-5.06882e-08,-0.068978,3.3728599999999995e-08,-0.065472,9.454e-08
-1.68,4.08786e-08,-0.066648,9.55e-08,-0.062688,-4.334e-08
-1.64,-2.41768e-08,-0.064262,-4.954e-08,-0.060434,9.189999999999999e-10
-1.6,-3.1754599999999994e-08,-0.061864,3.2939999999999996e-09,-0.058144,-5.1515999999999995e-09
-1.56,4.89432e-08,-0.05946,-5.956e-09,-0.05581,-8.372e-08
-1.52,-5.48282e-08,-0.057016,1.71e-08,-0.053454,4.212e-08
-1.48,5.2824e-08,-0.054546,5.589819999999999e-08,-0.051074,2.4052e-09
-1.44,-5.6732e-08,-0.05206,7.754e-08,-0.048658,-3.952e-08
-1.4,5.99798e-08,-0.049558,3.25356e-08,-0.046236,-7.756e-08
-1.36,-5.9955e-08,-0.047038,4.314e-08,-0.043788,8.264e-08
-1.32,4.8407e-08,-0.044486,-1.2074e-07,-0.041324,2.4468e-09
-1.28,-3.68888e-08,-0.041932,-2.892e-08,-0.038834,-1.3626e-07
-1.24,1.9673e-08,-0.039366,5.96226e-08,-0.036354,1.616e-08
-1.2,-4.3499999999999984e-09,-0.03679,3.17946e-08,-0.03386,-8.358e-08
-1.16,5.918919999999999e-08,-0.034212,9.706e-08,-0.03137,4.738e-08
-1.12,-5.9711e-08,-0.031626,3.0175e-08,-0.02888,8.348599999999997e-09
-1.08,5.38408e-08,-0.02906,-8.339999999999998e-08,-0.02641,8.656e-08
-1.04,-5.6976e-08,-0.026506,5.494e-08,-0.02395,3.044e-08
-1.0,6.00248e-08,-0.023966,9.475399999999999e-09,-0.021518,4.392e-08
-0.96,-6.01442e-08,-0.021452,8.206e-08,-0.019116,-9.616e-08
-0.92,5.6778e-08,-0.018978,2.7555e-08,-0.01676,5.276e-08
-0.88,-4.62872e-08,-0.016554,1.1648e-07,-0.014462,-5.1295999999999985e-09
-0.84,3.8759e-08,-0.014186,1.4e-09,-0.012232,4.82e-08
-0.8,6.552399999999999e-09,-0.011904,-2.96878e-08,-0.010098,-3.1575999999999995e-09
-0.76,-1.88372e-08,-0.0097312,-4.54624e-08,-0.0080996,-2.5484e-08
-0.72,3.35404e-08,-0.0076952,-9.306e-08,-0.0062666,8.793999999999999e-08
-0.68,-5.03634e-08,-0.005845,7.948e-08,-0.0046628,1.332e-08
-0.64,5.969319999999999e-08,-0.0042338,-2.266e-08,-0.0033584,1.126e-08
-0.6,-6.060399999999999e-08,-0.0029272,4.705399999999999e-08,-0.0024168,-8.174e-08
-0.56,6.075079999999999e-08,-0.001969,3.4680799999999994e-08,-0.001819,5.038e-08
-0.52,-5.60846e-08,-0.0013544,8.394e-08,-0.0014572,3.2909999999999995e-08
-0.48,4.8931e-08,-0.00099878,1.9317e-08,-0.001212,8.224e-08
-0.44,-5.10122e-08,-0.00078202,9.658e-08,-0.0010184,2.00326e-08
-0.4,4.1644999999999993e-08,-0.00062254,-9.508e-08,-0.00084822,1.2712e-07
-0.36,-2.54582e-08,-0.00048872,-3.826e-08,-0.00068822,8e-09
-0.32,-2.97846e-08,-0.00036774,5.73664e-08,-0.00053918,5.156e-08
-0.28,4.7847e-08,-0.0002614,3.43714e-08,-0.00040018,-1.132e-07
-0.24,-5.419259999999999e-08,-0.00017176,8.622e-08,-0.00027124,7.748e-08
-0.2,5.556079999999999e-08,-0.000102044,1.87464e-08,-0.00016088,-8.378e-08
-0.16,-5.828e-08,-4.9872e-05,8.47e-08,-7.7772e-05,-2.09144e-08
-0.12,5.95e-08,-2.0372e-05,-4.792e-08,-2.8606e-05,7.75e-08
-0.08,-5.99766e-08,-7.757400000000001e-06,-6.7103999999999995e-09,-8.2066e-06,-7.526e-08
-0.04,5.49676e-08,-2.2071000000000004e-06,-7.85e-08,-1.9053e-06,-2.40002e-08
0.0,-3.29616e-08,3.5109999999999996e-09,-2.824e-08,4.5678e-09,-4.59894e-08
0.04,-3.34232e-08,1.0637e-06,4.8090199999999993e-08,8.2854e-07,-3.30958e-08
0.08,5.059379999999999e-08,1.7328000000000002e-06,3.50392e-08,1.4331e-06,6.932799999999998e-09
0.12,-5.619959999999999e-08,2.3489e-06,8.314e-08,2.0341e-06,8.884e-08
0.16,5.832519999999999e-08,2.8970000000000004e-06,2.0118e-08,2.5572000000000003e-06,4.52638e-08
0.2,-5.949659999999999e-08,3.4479000000000005e-06,1.3428e-07,3.1752e-06,8.902e-08
0.24,5.18262e-08,4.0489e-06,4.06248e-08,4.1945e-06,3.07014e-08
0.28,-5.6154e-08,4.7601e-06,8.008e-08,6.5162e-06,9.562e-08
0.32,5.79308e-08,5.6691000000000005e-06,2.49464e-08,1.1816e-05,-4.444e-08
0.36,-5.963279999999999e-08,6.636900000000001e-06,1.282e-07,2.0314e-05,-1.0739999999999996e-09
0.4,5.15188e-08,7.9229e-06,-1.3432e-07,2.6146e-05,1.71882e-08
0.44,-5.62572e-08,9.2179e-06,-4.50502e-08,3.0122e-05,1.4278e-07
0.48,5.923519999999999e-08,1.0914e-05,-8.213999999999998e-08,3.3912e-05,1.98166e-08
0.52,-5.969759999999999e-08,1.3714e-05,-3.92572e-08,3.8184e-05,7.716e-08
0.56,5.8088e-08,1.8068e-05,-7.822e-08,4.3354e-05,-1.05e-07
0.6,-5.96522e-08,2.4276e-05,-2.3066e-08,4.974e-05,-5.02836e-08
0.64,5.1871e-08,3.18e-05,-9.072e-08,5.7916e-05,-2.072e-08
0.68,-5.64934e-08,3.9934e-05,4.324e-08,6.922200000000001e-05,-4.31e-08
0.72,5.91468e-08,4.8682e-05,1.97818e-08,8.715200000000002e-05,8.534e-08
0.76,-6.03452e-08,5.9442e-05,8.736e-08,0.0001185,-8.442e-08
0.8,6.085439999999999e-08,7.377e-05,-4.884e-08,0.000179,-1.86872e-08
0.84,-5.61538e-08,9.195e-05,-6.3738e-09,0.0002879,-1.2508e-07
0.88,4.61192e-08,0.00011322,3.482e-08,0.00044902,-2.874e-08
0.92,-3.70702e-08,0.00014308,-5.72542e-08,0.00065226,-4.434e-08
0.96,1.99084e-08,0.00018078,-2.0329e-08,0.00088654,1.2678e-07
1.0,-4.3987999999999985e-09,0.00022914,-8.848e-08,0.0011447,3.67424e-08
1.04,5.903819999999999e-08,0.00028822,-9.38e-09,0.0014228,9.472e-08
1.08,-5.947519999999999e-08,0.00036176,-4.616e-08,0.0017178,2.92382e-08
1.12,6.055919999999999e-08,0.00045168,1.083e-07,0.0020268,9.444e-08
1.16,-5.62382e-08,0.00055946,3.22148e-08,0.002351,-4.442e-08
1.2,4.30656e-08,0.00069128,8.652e-08,0.002688,4.416e-09
1.24,-2.67402e-08,0.00084438,2.33638e-08,0.003037,2.04458e-08
1.28,-2.79426e-08,0.00102416,4.4136999999999993e-08,0.0033968,-1.2982e-07
1.32,4.50122e-08,0.001246,3.5351199999999994e-08,0.0037684,-4.7619e-08
1.36,-5.50844e-08,0.0014908,8.318e-08,0.0041538,-5.402419999999999e-08
1.4,5.5296e-08,0.001766,1.492e-08,0.0045468,-9.424e-08
1.44,-5.64366e-08,0.0020698,4.76e-08,0.0049534,5.276e-08
1.48,5.97518e-08,0.0024126,-1.064e-07,0.0053778,9.286e-08
1.52,-5.997419999999999e-08,0.0027902,-3.23504e-08,0.005814,2.174e-08
1.56,5.68762e-08,0.0032206,3.59388e-08,0.0062658,-5.884259999999999e-08
1.6,-4.72788e-08,0.0036928,1.408e-07,0.0067338,-3.14328e-08
1.64,3.04636e-08,0.0042236,2.684e-08,0.007236,5.855199999999999e-09
1.68,-1.6402799999999997e-08,0.0048106,-5.790799999999999e-08,0.0077728,-1.007e-07
1.72,5.60178e-08,0.0054624,-1.854e-08,0.0083508,-2.55074e-08
1.76,-5.96326e-08,0.0061814,-4.498e-08,0.0089804,-9.392e-08
1.8,5.35382e-08,0.0069532,1.0914e-07,0.0096706,8.19e-08
1.84,-5.64034e-08,0.007786,3.20928e-08,0.0104256,1.77258e-08
1.88,5.99188e-08,0.0086984,6.256e-08,0.0112492,6.752e-08
1.92,-5.668399999999999e-08,0.0096554,-1.0814e-07,0.012152,-8.958e-08
1.96,4.92492e-08,0.0106636,-5.17402e-08,0.013116,-1.662e-08
2.0,-3.97112e-08,0.011712,2.20904e-08,0.014146,-4.606e-08
