VDDQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.1,-0.1,-0.100002,-0.1,-0.100034
-1.96,-0.1,-0.1,-0.1,-0.100002,-0.100022
-1.92,-0.100002,-0.100002,-0.100002,-0.100002,-0.100004
-1.88,-0.100002,-0.100002,-0.1,-0.100002,-0.100002
-1.84,-0.100002,-0.100002,-0.100002,-0.100002,-0.100006
-1.8,-0.100002,-0.100002,-0.100002,-0.100002,-0.100002
-1.76,-0.100002,-0.100002,-0.100002,-0.100002,-0.1
-1.72,-0.1,-0.100002,-0.100002,-0.100002,-0.099994
-1.68,-0.100002,-0.100002,-0.100002,-0.100002,-0.100002
-1.64,-0.100002,-0.100004,-0.100002,-0.100002,-0.100002
-1.6,-0.100002,-0.100002,-0.100002,-0.100002,-0.094268
-1.56,-0.1,-0.100002,-0.100002,-0.1,-0.094278
-1.52,-0.100002,-0.100002,-0.100002,-0.098322,-0.092816
-1.48,-0.1,-0.100002,-0.1,-0.095792,-0.090486
-1.44,-0.100002,-0.09889,-0.100002,-0.093218,-0.088034
-1.4,-0.100002,-0.095466,-0.100002,-0.090652,-0.085512
-1.36,-0.100002,-0.091964,-0.099608,-0.088052,-0.083472
-1.32,-0.100002,-0.088402,-0.096724,-0.08545,-0.081174
-1.28,-0.100002,-0.084756,-0.093838,-0.082828,-0.07882
-1.24,-0.098378,-0.081068,-0.090942,-0.080206,-0.076436
-1.2,-0.096358,-0.077346,-0.088022,-0.077564,-0.074032
-1.16,-0.094302,-0.073554,-0.085086,-0.074922,-0.071622
-1.12,-0.09224,-0.069714,-0.082148,-0.072274,-0.0692
-1.08,-0.090168,-0.065876,-0.079202,-0.06963,-0.066772
-1.04,-0.088098,-0.06199,-0.076246,-0.066984,-0.06432
-1.0,-0.08599,-0.058086,-0.073288,-0.064328,-0.06187
-0.96,-0.083932,-0.05415,-0.07032,-0.061674,-0.05944
-0.92,-0.081814,-0.05023,-0.067348,-0.059022,-0.056984
-0.88,-0.079698,-0.046344,-0.064376,-0.056378,-0.05453
-0.84,-0.077548,-0.042406,-0.06141,-0.053732,-0.052072
-0.8,-0.075428,-0.038068,-0.05845,-0.05111,-0.049614
-0.76,-0.073288,-0.03429,-0.0555,-0.04852,-0.047166
-0.72,-0.07115,-0.030502,-0.052556,-0.04587,-0.044724
-0.68,-0.068988,-0.026838,-0.049632,-0.04327,-0.04229
-0.64,-0.06683,-0.023286,-0.046716,-0.040698,-0.039868
-0.6,-0.064618,-0.01988,-0.04383,-0.038152,-0.037462
-0.56,-0.06247,-0.016534,-0.04096,-0.035578,-0.035072
-0.52,-0.06027,-0.013408,-0.038114,-0.033018,-0.032698
-0.48,-0.058092,-0.010508,-0.035304,-0.030464,-0.030352
-0.44,-0.055888,-0.0078958,-0.032536,-0.02784,-0.028036
-0.4,-0.05371,-0.005658,-0.029806,-0.02502,-0.02575
-0.36,-0.0515,-0.0038504,-0.027134,-0.02255,-0.023514
-0.32,-0.049302,-0.0025606,-0.02451,-0.017674,-0.02131
-0.28,-0.047056,-0.0017354,-0.021956,-0.014904,-0.01915
-0.24,-0.044876,-0.0012528,-0.019478,-0.012626,-0.017054
-0.2,-0.04265,-0.00096732,-0.017094,-0.010146,-0.015024
-0.16,-0.040464,-0.00075716,-0.014806,-0.0078942,-0.013076
-0.12,-0.038274,-0.00056976,-0.012638,-0.0060158,-0.01121
-0.08,-0.036074,-0.00042862,-0.010606,-0.0043388,-0.009456
-0.04,-0.033876,-0.00030902,-0.0087544,-0.0030332,-0.0078218
0.0,-0.031704,-0.00020782,-0.007069,-0.0021908,-0.0063362
0.04,-0.029542,-0.00012714,-0.0055898,-0.001723,-0.0050212
0.08,-0.027382,-6.8304e-05,-0.0043442,-0.0014536,-0.0039042
0.12,-0.025248,-2.9454e-05,-0.0033442,-0.0012486,-0.0030076
0.16,-0.023128,-1.116e-05,-0.0026318,-0.0010652,-0.0023472
0.2,-0.021014,-3.9226e-06,-0.0020832,-0.00090156,-0.0019122
0.24,-0.018944,-6.2064e-07,-0.0017244,-0.00074532,-0.0016102
0.28,-0.016904,9.4958e-07,-0.0014722,-0.00059482,-0.0013906
0.32,-0.014914,1.9076e-06,-0.0012788,-0.00044906,-0.001213
0.36,-0.012962,2.6854e-06,-0.0011164,-0.0002999,-0.001056
0.4,-0.011076,3.4039e-06,-0.00097022,-0.00015582,-0.00091132
0.44,-0.0092744,4.0863e-06,-0.00083426,-7.6844e-05,-0.00079632
0.48,-0.0075636,4.736e-06,-0.00071086,-4.0106e-05,-0.00067902
0.52,-0.0059852,5.1541e-06,-0.00056034,-2.2222e-05,-0.00053808
0.56,-0.0045818,5.704000000000001e-06,-0.0004322,-1.5458e-05,-0.00038262
0.6,-0.0034042,6.221200000000001e-06,-0.00033568,-1.1522e-05,-0.00028132
0.64,-0.0025034,7.172800000000001e-06,-0.00025984,-7.7579e-06,-0.00020178
0.68,-0.001892,8.177000000000002e-06,-0.00020378,-2.9027e-06,-0.0001466
0.72,-0.0015046,9.0552e-06,-0.00015644,8.807399999999999e-07,-0.0001071
0.76,-0.0012468,9.9157e-06,-0.00012012,2.3285e-06,-8.0902e-05
0.8,-0.0010506,1.0836e-05,-9.0906e-05,3.1388000000000003e-06,-6.1498e-05
0.84,-0.00088146,1.1912e-05,-6.396200000000001e-05,3.7018e-06,-4.0848e-05
0.88,-0.00072052,1.3248e-05,-4.2592e-05,4.4568e-06,-2.7038e-05
0.92,-0.00057044,1.4902e-05,-2.8814e-05,5.9139e-06,-1.8896e-05
0.96,-0.00043054,1.6974e-05,-1.8416e-05,8.822100000000001e-06,-1.2214e-05
1.0,-0.00030032,1.9524e-05,-1.0414e-05,1.3278e-05,-7.684000000000001e-06
1.04,-0.00018546,2.2528e-05,-4.7758e-06,1.701e-05,-3.3655e-06
1.08,-9.5524e-05,2.5932e-05,-1.2724e-06,2.024e-05,-9.3644e-07
1.12,-3.792e-05,2.9718e-05,3.6034e-07,2.3234e-05,3.9586e-07
1.16,-1.1432e-05,3.425e-05,1.1111e-06,2.6156e-05,1.1331000000000002e-06
1.2,-2.7417000000000004e-06,3.969e-05,1.7693000000000002e-06,2.9084e-05,1.7429e-06
1.24,-1.7188e-07,4.682e-05,2.3779e-06,3.2116e-05,2.3486000000000003e-06
1.28,8.0734e-07,5.6806000000000005e-05,2.9268000000000005e-06,3.539e-05,2.8883000000000004e-06
1.32,1.4926e-06,7.1368e-05,3.6785e-06,3.919400000000001e-05,3.5569e-06
1.36,2.0976e-06,9.3504e-05,5.074700000000001e-06,4.4442e-05,4.698500000000001e-06
1.4,2.6734e-06,0.00012348,8.1657e-06,5.0864e-05,7.238500000000002e-06
1.44,3.4613e-06,0.00016068,1.4144e-05,5.7438e-05,1.2438e-05
1.48,4.983200000000001e-06,0.00019652,2.196e-05,6.4206e-05,2.0428e-05
1.52,8.4818e-06,0.00023416,2.7094e-05,8.0742e-05,2.646e-05
1.56,1.527e-05,0.00027412,3.1002e-05,9.7054e-05,3.0514e-05
1.6,2.2774000000000003e-05,0.00031728,3.5014e-05,0.00011972,3.4372e-05
1.64,2.7372e-05,0.0003658,4.007e-05,0.00014728,3.8968e-05
1.68,3.118e-05,0.00042798,4.7358e-05,0.00018028,4.5188e-05
1.72,3.5292e-05,0.0005219,5.8712e-05,0.0002218,5.4614e-05
1.76,4.0528e-05,0.00066792,7.7322e-05,0.00027934,6.9554e-05
1.8,4.7622e-05,0.00088214,0.00010882,0.00037372,9.4462e-05
1.84,5.71e-05,0.0011694,0.0001637,0.00053092,0.00013788
1.88,6.9832e-05,0.0014934,0.00026422,0.00075454,0.00021874
1.92,8.8462e-05,0.0018462,0.00045478,0.00103082,0.00037402
1.96,0.00011894,0.0022306,0.00078446,0.0013496,0.00064124
2.0,0.00017262,0.0026574,0.0012746,0.0017056,0.00103246
