VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.041062,-5.1114e-08,-3.6845e-08,-0.004762,-0.0027376
-1.96,-0.039902,4.92136e-08,3.544e-08,-0.0043564,-0.0023944
-1.92,-0.038766,-4.2859e-08,-4.024e-08,-0.003967,-0.0020702
-1.88,-0.037648,1.1678e-08,4.97316e-08,-0.003594,-0.0017678
-1.84,-0.036546,9.689999999999999e-10,3.1014e-08,-0.0032376,-0.0014886
-1.8,-0.035462,-1.2131399999999998e-08,1.1484e-07,-0.0028984,-0.001237
-1.76,-0.034402,2.32486e-08,3.72596e-08,-0.0025772,-0.0010132
-1.72,-0.033374,-3.44862e-08,8.952e-08,-0.0022716,-0.00081732
-1.68,-0.032374,2.9804e-08,-1.1464e-07,-0.0019834,-0.00064878
-1.64,-0.031398,-2.92696e-08,-3.79582e-08,-0.0017132,-0.00050686
-1.6,-0.030448,2.57368e-08,2.42898e-08,-0.0014606,-0.00038984
-1.56,-0.029536,-3.95206e-08,5.024e-08,-0.0012282,-0.00029578
-1.52,-0.028628,4.69868e-08,-9.066e-08,-0.0010156,-0.0002211
-1.48,-0.027732,-4.92486e-08,7.18e-08,-0.00082484,-0.00016246
-1.44,-0.026888,5.07046e-08,1.88576e-08,-0.00065588,-0.00011772
-1.4,-0.026052,-5.155619999999999e-08,1.2801999999999998e-09,-0.00051034,-8.4484e-05
-1.36,-0.025248,4.75288e-08,1.2622999999999998e-08,-0.00038682,-5.916e-05
-1.32,-0.02446,-4.07302e-08,9.966e-08,-0.00028478,-4.131400000000001e-05
-1.28,-0.023692,3.23874e-08,-4.11e-08,-0.00020352,-2.837e-05
-1.24,-0.022934,-1.82914e-08,7.3699999999999975e-09,-0.00014108,-1.8992e-05
-1.2,-0.02218,3.8835999999999985e-09,3.5947999999999996e-09,-9.4466e-05,-1.2536e-05
-1.16,-0.021444,6.250799999999998e-09,6.936e-08,-6.151e-05,-8.517800000000002e-06
-1.12,-0.020704,-1.7356199999999998e-08,1.53392e-08,-3.9022e-05,-5.381000000000001e-06
-1.08,-0.019968,3.11468e-08,-7.514e-08,-2.3894e-05,-3.6481e-06
-1.04,-0.01923,-4.6601e-08,6.372e-08,-1.4326e-05,-2.6053000000000003e-06
-1.0,-0.018488,4.80478e-08,1.0861e-08,-8.6989e-06,-1.5703000000000002e-06
-0.96,-0.017754,-5.04798e-08,-2.03052e-08,-5.0472000000000006e-06,-1.36e-06
-0.92,-0.017012,4.962799999999999e-08,-3.6973999999999997e-09,-3.1070000000000005e-06,-8.7088e-07
