VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100002,-0.04694,-0.089876,-0.0041878,-0.060028
-1.96,-0.100002,-0.045252,-0.088196,-0.0038608,-0.059052
-1.92,-0.100002,-0.045292,-0.086432,-0.0035454,-0.058022
-1.88,-0.100002,-0.043644,-0.08468,-0.0032368,-0.057026
-1.84,-0.099138,-0.042736,-0.08295,-0.0029392,-0.055984
-1.8,-0.097218,-0.04167,-0.081188,-0.0026478,-0.054906
-1.76,-0.095298,-0.039926,-0.07945,-0.00237,-0.05384
-1.72,-0.093332,-0.03734,-0.07771,-0.0021034,-0.05272
-1.68,-0.09128,-0.038692,-0.075964,-0.001848,-0.051558
-1.64,-0.08889,-0.036634,-0.074208,-0.0016042,-0.050426
-1.6,-0.086534,-0.034322,-0.072464,-0.0013752,-0.04923
-1.56,-0.08455,-0.033644,-0.07071,-0.0011616,-0.048018
-1.52,-0.082466,-0.032302,-0.068944,-0.00096582,-0.046768
-1.48,-0.08044,-0.03269,-0.067192,-0.00078804,-0.045562
-1.44,-0.078408,-0.028956,-0.06544,-0.00062864,-0.044296
-1.4,-0.076376,-0.02647,-0.06365,-0.0015772,-0.04304
-1.36,-0.074336,-0.027026,-0.061902,-0.0013574,-0.041762
-1.32,-0.07227,-0.036908,-0.060148,-0.0010948,-0.040548
-1.28,-0.070226,-0.036144,-0.058404,-0.00079032,-0.039284
-1.24,-0.068174,-0.035124,-0.056614,-0.00013718,-0.038064
-1.2,-0.06612,-0.034082,-0.05489,-9.22e-05,-0.036854
-1.16,-0.06406,-0.032988,-0.053142,-6.0846e-05,-0.035658
-1.12,-0.062002,-0.03187,-0.051422,-3.853e-05,-0.034468
-1.08,-0.059956,-0.030814,-0.049682,-2.4836e-05,-0.03315
-1.04,-0.057902,-0.029688,-0.04796,-1.5086e-05,-0.032038
-1.0,-0.055862,-0.028556,-0.046236,-9.8566e-06,-0.030902
-0.96,-0.053828,-0.027418,-0.044368,-5.929300000000001e-06,-0.02981
-0.92,-0.051802,-0.026286,-0.042684,-3.9317e-06,-0.028746
-0.88,-0.04979,-0.025084,-0.041016,-3.811200000000001e-06,-0.027706
-0.84,-0.047804,-0.02395,-0.039362,-3.3847000000000004e-06,-0.026694
-0.8,-0.045834,-0.02283,-0.037698,-2.741e-06,-0.025674
-0.76,-0.0439,-0.021756,-0.036082,-2.0047e-06,-0.024724
-0.72,-0.04196,-0.020648,-0.034478,-1.3765e-06,-0.023802
-0.68,-0.040096,-0.019536,-0.032904,-1.2528e-06,-0.022936
-0.64,-0.038276,-0.01847,-0.031352,-9.499000000000001e-07,-0.022094
-0.6,-0.03653,-0.017378,-0.029834,-1.1394e-06,-0.021352
-0.56,-0.034872,-0.0163,-0.028344,-1.0255000000000002e-06,-0.020702
-0.52,-0.033302,-0.015242,-0.026902,-1.05142e-06,-0.020126
-0.48,-0.031824,-0.014238,-0.025514,-9.497e-07,-0.01952
-0.44,-0.030422,-0.013166,-0.024174,-9.9926e-07,-0.01867
-0.4,-0.029116,-0.012178,-0.022882,-8.980000000000002e-07,-0.017536
-0.36,-0.027866,-0.011206,-0.021562,-6.4616e-07,-0.01619
-0.32,-0.026688,-0.010268,-0.020336,-6.4294e-07,-0.014754
-0.28,-0.025552,-0.0093698,-0.01919,-5.4878e-07,-0.013266
-0.24,-0.024484,-0.0085228,-0.018002,-6.4586e-07,-0.011766
-0.2,-0.023462,-0.007749,-0.016698,-6.1966e-07,-0.010272
-0.16,-0.022466,-0.0071478,-0.01539,-6.3874e-07,-0.0088084
-0.12,-0.021486,-0.0065442,-0.013884,-4.85e-07,-0.0074226
-0.08,-0.020514,-0.0060356,-0.012408,-3.1598e-07,-0.0060746
-0.04,-0.019548,-0.0056044,-0.011142,-1.4248e-07,-0.0047836
0.0,-0.018584,-0.0052094,-0.009912,-7.927999999999998e-08,-0.0035778
0.04,-0.017616,-0.0048508,-0.008845,1.668e-08,-0.0024658
0.08,-0.01665,-0.0044732,-0.0077156,-1.002082e-07,-0.0014826
0.12,-0.01569,-0.004137,-0.0061844,-9.542e-08,-0.00069284
0.16,-0.01472,-0.0037636,-0.0038728,5.050899999999999e-08,-0.00015632
0.2,-0.013754,-0.0034242,-0.0028148,-2.39156e-08,0.00011012
0.24,-0.012788,-0.003094,-0.0020096,-2.60386e-08,0.00020444
0.28,-0.011822,-0.0027668,-0.0013376,2.80372e-08,0.00023466
0.32,-0.010854,-0.0024456,-0.00093052,2.3396e-07,0.00024742
0.36,-0.0098914,-0.0021372,-0.00059932,4.2164e-07,0.0002555
0.4,-0.0089252,-0.0018352,-0.00030856,6.4934e-07,0.00026334
0.44,-0.007956,-0.0015466,-0.00022018,1.0698e-06,0.00027032
0.48,-0.0069896,-0.001271,-0.00014852,2.284e-06,0.00027488
0.52,-0.0060172,-0.0010118,-0.000101886,6.457000000000001e-06,0.00028016
0.56,-0.0050518,-0.00077502,-5.1384e-05,1.9488e-05,0.00028702
0.6,-0.0040812,-0.00056702,-6.0906e-05,6.1252e-05,0.00029446
0.64,-0.0031134,-0.00038842,-2.0996e-05,0.00016504,0.00030188
0.68,-0.0021444,-0.00023658,-1.1726e-05,0.0003953,0.00031142
0.72,-0.001169,-0.00014684,-4.814400000000001e-06,0.00080124,0.00032554
0.76,-0.00018904,-8.2582e-05,-1.4603000000000002e-06,0.0013722,0.0003578
0.8,0.00079338,-4.6936e-05,-3.2718e-07,0.0020644,0.00045982
0.84,0.0017664,-2.911e-05,-9.482e-08,0.0028452,0.00074358
0.88,0.002735,-1.9758e-05,-3.376e-08,0.0036956,0.001291
0.92,0.003706,-1.4894e-05,-3.2129599999999995e-08,0.00459,0.002044
0.96,0.0046708,-1.0616100000000002e-05,-1.6064799999999998e-08,0.0055208,0.0029236
1.0,0.0056388,-6.6870000000000005e-06,-8.1182e-09,0.0064962,0.0038476
1.04,0.0066082,-3.5602e-06,-2.1546e-09,0.0074866,0.0047924
1.08,0.0075784,-1.3767e-06,3.9463999999999995e-09,0.0084972,0.0058232
1.12,0.0085442,1.383e-06,1.3803799999999998e-08,0.0095182,0.006949
1.16,0.009514,3.7012e-06,4.29628e-08,0.0105614,0.0081306
1.2,0.0104818,5.9847000000000005e-06,9.996e-08,0.01162,0.0093628
