VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-5.21122e-08,-0.017092,-0.078262,-0.051176,-0.03762
-1.96,4.67728e-08,-0.016616,-0.075538,-0.049246,-0.036306
-1.92,-6.44274e-08,-0.01613,-0.07282,-0.047806,-0.035192
-1.88,5.415819999999999e-08,-0.015644,-0.07012,-0.045736,-0.034122
-1.84,-6.48064e-08,-0.015178,-0.067426,-0.045866,-0.033066
-1.8,5.11732e-08,-0.014696,-0.06474,-0.04435,-0.031954
-1.76,-5.0791e-08,-0.014214,-0.062066,-0.042572,-0.030826
-1.72,3.67048e-08,-0.013754,-0.059392,-0.041052,-0.029712
-1.68,-4.698119999999999e-08,-0.01328,-0.056736,-0.039566,-0.028616
-1.64,1.00188e-08,-0.012808,-0.054088,-0.038066,-0.027486
-1.6,-4.2187999999999995e-09,-0.012332,-0.051454,-0.036554,-0.026358
-1.56,3.86668e-08,-0.011856,-0.048834,-0.034994,-0.025242
-1.52,-2.9833399999999995e-08,-0.011374,-0.04623,-0.03343,-0.024118
-1.48,-3.2529e-08,-0.010888,-0.04365,-0.031838,-0.02301
-1.44,4.4257e-08,-0.010376,-0.041096,-0.030254,-0.021904
-1.4,-5.91048e-08,-0.0099034,-0.038572,-0.028654,-0.020806
-1.36,5.44996e-08,-0.0094282,-0.036082,-0.027064,-0.019718
-1.32,-6.29996e-08,-0.0089526,-0.033626,-0.025472,-0.018652
-1.28,5.67818e-08,-0.0084734,-0.031224,-0.0239,-0.017588
-1.24,-5.75742e-08,-0.0079988,-0.028876,-0.022352,-0.01654
-1.2,4.20692e-08,-0.0074972,-0.026602,-0.02083,-0.015502
-1.16,-3.35038e-08,-0.0070264,-0.024412,-0.019346,-0.014466
-1.12,-2.72316e-08,-0.0065628,-0.022312,-0.017894,-0.013436
-1.08,3.71364e-08,-0.0061052,-0.020324,-0.016472,-0.012414
-1.04,-5.275759999999999e-08,-0.0056406,-0.018438,-0.01507,-0.011398
-1.0,5.38282e-08,-0.0051892,-0.016638,-0.013694,-0.010394
-0.96,-6.132259999999999e-08,-0.0047524,-0.014906,-0.012334,-0.0093936
-0.92,5.73514e-08,-0.004319,-0.013222,-0.010984,-0.0084012
-0.88,-6.10234e-08,-0.003901,-0.01158,-0.009666,-0.0074198
-0.84,5.79082e-08,-0.003491,-0.0099804,-0.0083638,-0.0064518
-0.8,-6.15608e-08,-0.003097,-0.0084148,-0.007085,-0.0054994
-0.76,5.97152e-08,-0.0027292,-0.0068968,-0.0058464,-0.0045726
-0.72,-4.68296e-08,-0.002386,-0.0054428,-0.0046532,-0.003673
-0.68,4.86802e-08,-0.0020704,-0.0040688,-0.0035254,-0.0028138
-0.64,-4.9084e-08,-0.001792,-0.002812,-0.002481,-0.0020142
-0.6,3.05056e-08,-0.0015402,-0.0017232,-0.0015616,-0.001298
-0.56,-3.5183799999999995e-08,-0.0013004,-0.00087304,-0.00082068,-0.00070778
-0.52,-9.946e-08,-0.0010886,-0.00033474,-0.00032784,-0.00029752
-0.48,-6.046519999999999e-08,-0.00089002,-9.6902e-05,-9.683e-05,-9.2328e-05
-0.44,5.96594e-08,-0.00070502,-2.4384e-05,-2.3944e-05,-2.3626e-05
-0.4,-5.72384e-08,-0.00053532,-6.0759000000000006e-06,-5.735000000000001e-06,-5.791600000000001e-06
-0.36,4.88256e-08,-0.00038664,-1.6154000000000002e-06,-1.4374000000000002e-06,-1.4892e-06
-0.32,-3.96334e-08,-0.0002634,-4.7684e-07,-4.1058e-07,-4.2338e-07
-0.28,6.066519999999999e-08,-0.00016862,-1.879e-07,-1.4166e-07,-1.5958e-07
-0.24,-5.60418e-08,-0.0001032,-1.0456e-07,-6.36574e-08,-7.746339999999998e-08
-0.2,4.60852e-08,-6.2772e-05,-6.350899999999999e-08,-3.32788e-08,-2.52952e-08
-0.16,-3.5640999999999995e-08,-3.7542e-05,-3.50284e-08,-1.8015e-08,-1.98538e-08
-0.12,5.2438e-08,-2.1774e-05,-2.27252e-08,-9.5171e-09,1.3597999999999996e-09
-0.08,-5.98326e-08,-1.1354e-05,-2.02528e-08,-1.6335e-09,-7.487199999999997e-09
-0.04,6.023319999999999e-08,-4.503700000000001e-06,-8.9706e-09,8.8533e-09,2.16336e-08
0.0,-4.554519999999999e-08,2.989e-07,1.65828e-08,3.4909e-08,3.30104e-08
0.04,3.7637e-08,3.9912e-06,1.1378e-07,1.2866e-07,1.3088e-07
0.08,-1.93238e-08,7.5422e-06,4.8624e-07,3.931e-07,4.7804e-07
0.12,-3.5205799999999994e-08,1.0721e-05,9.1944e-07,6.5268e-07,8.1588e-07
0.16,5.11512e-08,1.2448e-05,1.8758e-06,1.4002000000000002e-06,1.6064000000000002e-06
0.2,-5.61212e-08,1.4178e-05,1.2878000000000002e-06,1.2939000000000002e-06,1.5814000000000002e-06
0.24,5.74312e-08,1.5802000000000002e-05,1.4222e-06,1.5892000000000002e-06,1.7881e-06
0.28,-6.0005e-08,2.9572e-05,1.9817e-06,1.7929000000000002e-06,2.1268e-06
0.32,6.149739999999999e-08,5.0218e-05,2.4986e-06,2.1006000000000003e-06,2.5801e-06
0.36,-5.57146e-08,8.529e-05,3.1303000000000003e-06,2.5523e-06,3.1054000000000004e-06
0.4,4.65464e-08,0.00013564,4.1359000000000005e-06,3.3104000000000005e-06,3.9179e-06
0.44,-3.4039799999999995e-08,0.00020134,5.724400000000001e-06,4.518800000000001e-06,5.2518e-06
0.48,-2.14828e-08,0.00028024,7.997000000000002e-06,6.309700000000001e-06,7.13e-06
0.52,3.79544e-08,0.00037174,1.10428e-05,8.7304e-06,9.6749e-06
0.56,-5.6066599999999993e-08,0.00047438,1.4772e-05,1.1876e-05,1.2754e-05
0.6,6.19958e-08,0.00059046,1.9594e-05,1.5910000000000002e-05,1.6786e-05
0.64,-5.83546e-08,0.00072018,2.4774e-05,2.0176e-05,2.081e-05
0.68,5.88264e-08,0.00086392,3.0422e-05,2.4986e-05,2.5108e-05
0.72,-4.11304e-08,0.00101772,3.6642e-05,3.0606e-05,2.9854e-05
0.76,6.15224e-08,0.0011754,4.4184e-05,3.723e-05,3.5288e-05
0.8,-5.51592e-08,0.0013642,5.295e-05,4.557e-05,4.1454e-05
0.84,6.0062e-08,0.0015634,0.0002151,5.576e-05,4.9096e-05
0.88,-3.9995e-08,0.0017652,0.00026454,0.00022278,5.8048e-05
0.92,6.43824e-08,0.0019814,0.00052998,0.00044614,6.9622e-05
0.96,-5.30762e-08,0.0022234,0.00062822,0.00053496,0.00029488
1.0,5.42778e-08,0.002484,0.00073554,0.0006378,0.00059292
1.04,-3.88326e-08,0.0027494,0.00084798,0.00076218,0.00069044
1.08,6.067519999999999e-08,0.003012,0.00019366,0.00092234,0.0008063
1.12,-4.61452e-08,0.0032964,0.00111816,0.00114186,0.00095288
1.16,4.58988e-08,0.003589,0.00039474,0.001385,0.00108474
1.2,-2.1601e-08,0.003896,0.0006002,0.0017698,0.0007603
1.24,-4.56742e-08,0.0042034,0.00090658,0.0022716,0.00112256
1.28,-5.888e-08,0.0045292,0.0013216,0.0028722,0.001563
1.32,-3.42928e-08,0.0048614,0.0018384,0.0036052,0.0020732
1.36,5.92738e-08,0.005203,0.0024434,0.0043786,0.0026378
