VEQ,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100002,-0.04979,-0.100002,-0.088254,-0.063898
-1.96,-0.09961,-0.048788,-0.100002,-0.087288,-0.06256
-1.92,-0.098596,-0.047298,-0.100002,-0.085296,-0.061134
-1.88,-0.097436,-0.046234,-0.099888,-0.082992,-0.059712
-1.84,-0.096072,-0.044444,-0.096802,-0.080862,-0.057922
-1.8,-0.094684,-0.042376,-0.093716,-0.078854,-0.056964
-1.76,-0.09324,-0.041458,-0.090622,-0.076866,-0.055342
-1.72,-0.091794,-0.040642,-0.087518,-0.074378,-0.053922
-1.68,-0.090352,-0.039306,-0.084408,-0.072122,-0.052422
-1.64,-0.088972,-0.037936,-0.08129,-0.06984,-0.050914
-1.6,-0.087418,-0.035378,-0.078172,-0.06741,-0.049258
-1.56,-0.085998,-0.03447,-0.07505,-0.065114,-0.047536
-1.52,-0.084524,-0.033214,-0.071918,-0.062768,-0.046038
-1.48,-0.083084,-0.032524,-0.068796,-0.0604,-0.044684
-1.44,-0.081584,-0.031762,-0.065668,-0.058018,-0.042946
-1.4,-0.080052,-0.030782,-0.06256,-0.05563,-0.041408
-1.36,-0.078586,-0.029888,-0.05945,-0.053206,-0.039752
-1.32,-0.076992,-0.02905,-0.056352,-0.050768,-0.038156
-1.28,-0.075578,-0.028168,-0.053276,-0.04831,-0.036566
-1.24,-0.074012,-0.02727,-0.050216,-0.045852,-0.035012
-1.2,-0.072506,-0.026412,-0.04718,-0.043386,-0.03339
-1.16,-0.07089,-0.0255,-0.044188,-0.040932,-0.031756
-1.12,-0.069358,-0.024618,-0.041206,-0.038472,-0.03011
-1.08,-0.067788,-0.023668,-0.038258,-0.03604,-0.028286
-1.04,-0.066236,-0.022768,-0.035372,-0.033618,-0.02662
-1.0,-0.064628,-0.021828,-0.03255,-0.031234,-0.02504
-0.96,-0.063054,-0.020924,-0.02982,-0.028894,-0.02348
-0.92,-0.061432,-0.020006,-0.027178,-0.026598,-0.021946
-0.88,-0.059836,-0.019072,-0.024658,-0.024382,-0.020446
-0.84,-0.05825,-0.018158,-0.02221,-0.022254,-0.019
-0.8,-0.056654,-0.017202,-0.019764,-0.020236,-0.01754
-0.76,-0.05501,-0.016232,-0.017654,-0.018326,-0.016138
-0.72,-0.053404,-0.015288,-0.015672,-0.016488,-0.014516
-0.68,-0.051802,-0.01436,-0.013764,-0.014652,-0.01295
-0.64,-0.050216,-0.013456,-0.011904,-0.012874,-0.011554
-0.6,-0.04862,-0.012534,-0.010092,-0.01116,-0.010206
-0.56,-0.047018,-0.011626,-0.0083412,-0.0095098,-0.0088662
-0.52,-0.045452,-0.01077,-0.0066536,-0.0079024,-0.0075556
-0.48,-0.043862,-0.0098782,-0.0050654,-0.0063616,-0.0062794
-0.44,-0.042318,-0.0090458,-0.0036078,-0.0048986,-0.005053
-0.4,-0.040748,-0.0083378,-0.0023394,-0.0035426,-0.0038594
-0.36,-0.039264,-0.0076422,-0.0013288,-0.0023338,-0.0027596
-0.32,-0.037788,-0.0068688,-0.00063868,-0.0013364,-0.001803
-0.28,-0.03636,-0.0063464,-0.00026156,-0.0006272,-0.0010232
-0.24,-0.03497,-0.0059702,-9.7156e-05,-0.0002357,-0.00046788
-0.2,-0.033642,-0.0053928,-3.4992e-05,-7.61e-05,-0.0001818
-0.16,-0.032354,-0.005275,-1.2568e-05,-2.3394e-05,-6.2136e-05
-0.12,-0.031142,-0.0048876,-4.591800000000001e-06,-7.252000000000001e-06,-2.0816e-05
-0.08,-0.029976,-0.0045148,-1.7203e-06,-2.3345000000000003e-06,-6.9423e-06
-0.04,-0.028862,-0.0041726,-5.4908e-07,-6.5792e-07,-2.4067e-06
0.0,-0.027776,-0.0036544,-1.9904e-07,-2.071e-07,-6.893e-07
0.04,-0.026736,-0.0034644,-8.756e-08,-7.75e-08,-3.1282e-07
0.08,-0.025734,-0.0031166,-4.572e-08,-7.397879999999998e-08,-8.486e-08
0.12,-0.02477,-0.0027734,-2.704e-08,-4.47808e-08,-4.712e-08
