VINTA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,3.89608e-08,3.84456e-08,1.4975799999999997e-08,-0.0066646,-0.0033398
-1.96,-3.4068e-08,-3.28376e-08,-3.0054399999999994e-08,-0.0062482,-0.003071
-1.92,2.38972e-08,2.93878e-08,-1.14024e-08,-0.0058382,-0.0028188
-1.88,-8.4552e-09,-3.12376e-08,-4.34094e-08,-0.005442,-0.0025678
-1.84,-9.84e-10,3.2483999999999995e-08,4.10142e-08,-0.0050542,-0.0023244
-1.8,1.15892e-08,-1.4761599999999998e-08,-3.5794599999999995e-08,-0.0046808,-0.0020854
-1.76,-2.2882e-08,1.89978e-08,2.48094e-08,-0.00432,-0.0018598
-1.72,3.8827e-08,-6.72e-10,-2.89792e-08,-0.0039726,-0.0016444
-1.68,-4.404079999999999e-08,-8.6068e-09,-4.45318e-08,-0.003639,-0.0014396
-1.64,4.61214e-08,1.93402e-08,4.86122e-08,-0.0033212,-0.0012464
-1.6,-4.68906e-08,-3.381e-08,6.532e-08,-0.003019,-0.0010682
-1.56,4.89006e-08,4.11776e-08,5.412759999999999e-08,-0.0027312,-0.00090408
-1.52,-4.354099999999999e-08,-4.27622e-08,3.952e-08,-0.0024592,-0.00075556
-1.48,3.6689e-08,4.50064e-08,-6.515799999999999e-09,-0.0022022,-0.00062308
-1.44,-2.53866e-08,-4.502619999999999e-08,-3.68242e-08,-0.0019602,-0.00050648
-1.4,1.65686e-08,4.33946e-08,3.93884e-08,-0.0017328,-0.00040792
-1.36,-3.1401999999999996e-09,-4.4512e-08,-3.82362e-08,-0.001519,-0.00032452
-1.32,4.446e-08,4.0772e-08,1.51474e-08,-0.0013192,-0.00025552
-1.28,-4.35422e-08,-1.15496e-08,2.27606e-08,-0.0011336,-0.0001994
-1.24,4.2609e-08,1.6451999999999999e-09,-5.4615999999999994e-09,-0.00096162,-0.00015456
-1.2,-4.23142e-08,8.558e-09,-9.596e-08,-0.0008052,-0.00011904
-1.16,4.32376e-08,-1.80126e-08,4.154e-08,-0.000664,-9.1174e-05
