VINTA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100002,-0.01008,-0.100002,-0.1,-0.056428
-1.96,-0.100002,-0.0098374,-0.100002,-0.100008,-0.057388
-1.92,-0.100002,-0.0096088,-0.100002,-0.100002,-0.054268
-1.88,-0.100002,-0.0093778,-0.100002,-0.09986,-0.05303
-1.84,-0.1,-0.0091254,-0.1,-0.095866,-0.05138
-1.8,-0.100002,-0.008874,-0.100002,-0.094582,-0.05124
-1.76,-0.100002,-0.0086384,-0.100002,-0.092414,-0.04969
-1.72,-0.1,-0.0084208,-0.100002,-0.091282,-0.047224
-1.68,-0.1,-0.0081824,-0.100002,-0.0899,-0.045848
-1.64,-0.100004,-0.007948,-0.097684,-0.088222,-0.042742
-1.6,-0.100002,-0.007704,-0.095352,-0.08602,-0.04067
-1.56,-0.100002,-0.007472,-0.092992,-0.083566,-0.039594
-1.52,-0.099636,-0.0072564,-0.090646,-0.081382,-0.036968
-1.48,-0.097816,-0.007026,-0.088314,-0.08005,-0.035252
-1.44,-0.096128,-0.006792,-0.085978,-0.078246,-0.034682
-1.4,-0.094262,-0.006553,-0.083642,-0.076374,-0.03233
-1.36,-0.09249,-0.006317,-0.081316,-0.074448,-0.030464
-1.32,-0.090574,-0.0060816,-0.07899,-0.07247,-0.02745
-1.28,-0.08889,-0.005845,-0.076664,-0.07048,-0.026202
-1.24,-0.087064,-0.0056136,-0.07434,-0.068458,-0.023696
-1.2,-0.085218,-0.0053786,-0.072016,-0.066428,-0.023972
-1.16,-0.083344,-0.0051524,-0.069708,-0.064386,-0.02244
-1.12,-0.081604,-0.0049252,-0.067396,-0.06233,-0.021294
-1.08,-0.079692,-0.0047006,-0.065086,-0.06028,-0.021036
-1.04,-0.077914,-0.0044774,-0.062778,-0.058218,-0.020228
-1.0,-0.07606,-0.0042564,-0.060476,-0.056162,-0.019022
-0.96,-0.07418,-0.004045,-0.05818,-0.054104,-0.017262
-0.92,-0.072166,-0.0038274,-0.055884,-0.05203,-0.015918
-0.88,-0.070396,-0.0036198,-0.0536,-0.049932,-0.013614
-0.84,-0.068484,-0.0034124,-0.051318,-0.047762,-0.012694
-0.8,-0.066618,-0.0032114,-0.04905,-0.045556,-0.01114
-0.76,-0.064668,-0.0030132,-0.046796,-0.043322,-0.010356
-0.72,-0.062902,-0.002813,-0.044546,-0.04105,-0.009314
-0.68,-0.060932,-0.0026232,-0.04231,-0.038842,-0.0087544
-0.64,-0.059124,-0.0024438,-0.040088,-0.036662,-0.0079552
-0.6,-0.057216,-0.0022608,-0.037876,-0.034508,-0.007932
-0.56,-0.05534,-0.0020858,-0.035686,-0.03239,-0.0073458
-0.52,-0.052366,-0.0019152,-0.033514,-0.030294,-0.0066444
-0.48,-0.050812,-0.001749,-0.031366,-0.028216,-0.0066496
-0.44,-0.048924,-0.0015904,-0.029238,-0.026198,-0.0063956
-0.4,-0.04709,-0.0014402,-0.027136,-0.024202,-0.0058938
-0.36,-0.045144,-0.001295,-0.025068,-0.02224,-0.005481
-0.32,-0.04337,-0.001158,-0.023028,-0.020342,-0.0048464
-0.28,-0.041398,-0.0010302,-0.02098,-0.01847,-0.0042724
-0.24,-0.03947,-0.0009099,-0.019032,-0.016644,-0.0039436
-0.2,-0.037622,-0.00079714,-0.01712,-0.014874,-0.0036126
-0.16,-0.035838,-0.00069086,-0.015254,-0.013142,-0.0032962
-0.12,-0.033858,-0.00059472,-0.013448,-0.011462,-0.0029856
-0.08,-0.032062,-0.00050504,-0.011708,-0.0098718,-0.002669
-0.04,-0.030224,-0.00042424,-0.010044,-0.008376,-0.0020708
0.0,-0.028446,-0.0003511,-0.0084758,-0.0069682,-0.001721
0.04,-0.026624,-0.00028676,-0.0070034,-0.0056908,-0.0013818
0.08,-0.024864,-0.00022988,-0.0056482,-0.0045408,-0.0010766
0.12,-0.0231,-0.00018252,-0.0044298,-0.0035022,-0.00084216
0.16,-0.021342,-0.00014256,-0.0033672,-0.0026096,-0.00066374
0.2,-0.019608,-0.00011056,-0.002479,-0.0019098,-0.00051704
0.24,-0.017886,-8.659000000000001e-05,-0.0017752,-0.001423,-0.00038774
0.28,-0.01619,-6.7156e-05,-0.001253,-0.0011012,-0.0002733
0.32,-0.014516,-5.243000000000001e-05,-0.00088688,-0.00088226,-0.00017272
0.36,-0.01288,-4.1578e-05,-0.00063902,-0.00070872,-9.405000000000001e-05
0.4,-0.011272,-3.2726e-05,-0.0004621,-0.00057302,-4.1724e-05
0.44,-0.009663,-2.5684e-05,-0.00034042,-0.00043038,-1.4156e-05
0.48,-0.008176,-2.007e-05,-0.00025456,-0.00030042,-3.988800000000001e-06
0.52,-0.0067448,-1.5254e-05,-0.00019368,-0.00018812,-9.940000000000001e-07
0.56,-0.0054088,-1.1536e-05,-0.00014478,-0.000100326,-1.9318e-07
0.6,-0.0041696,-8.459000000000002e-06,-0.00010876,-4.2488e-05,1.38128e-08
0.64,-0.0031024,-5.8661000000000005e-06,-8.0348e-05,-1.3998e-05,6.5358e-08
0.68,-0.002156,-3.895e-06,-5.795e-05,-3.703e-06,3.5147e-08
0.72,-0.001446,-2.476e-06,-4.2348e-05,-6.5334e-07,4.10472e-08
0.76,-0.00091398,-1.4633000000000005e-06,-2.8982e-05,2.03e-07,4.8454e-08
0.8,-0.00060302,-8.91e-07,-1.884e-05,4.52e-07,6.11656e-08
0.84,-0.00040746,-4.1792e-07,-1.1032e-05,5.2626e-07,7.88914e-08
0.88,-0.00026368,-2.14e-07,-5.5439e-06,5.4874e-07,9.055779999999999e-08
0.92,-0.0001508,-1.3004e-07,-1.9297000000000003e-06,5.5776e-07,2.44e-07
0.96,-7.6162e-05,-5.98464e-08,-5.3236e-07,5.648e-07,8.7526e-07
1.0,-2.8804e-05,-2.58962e-08,-1.1976e-07,5.739e-07,3.5249000000000003e-06
1.04,-8.5503e-06,-9.354999999999997e-09,-2.537e-08,6.0326e-07,1.4628e-05
1.08,-2.2138000000000003e-06,-2.3834e-09,-4.144e-09,7.1734e-07,4.7714e-05
1.12,-5.4574e-07,1.0291e-09,1.1663e-09,1.2146000000000002e-06,6.398000000000001e-05
1.16,-1.2222e-07,4.1198e-09,4.3501e-09,3.43e-06,0.00012242
1.2,-2.61604e-08,9.0221e-09,1.3513399999999998e-08,1.3114e-05,0.00023066
1.24,-6.0827e-09,2.05308e-08,5.01696e-08,5.197e-05,0.0003844
1.28,1.575e-09,5.637779999999999e-08,2.0964e-07,0.00018806,0.00054828
1.32,2.1505e-09,1.8036e-07,9.014e-07,0.00053818,0.000709
1.36,9.1924e-09,6.3584e-07,3.7178e-06,0.0011808,0.0009375
1.4,3.5642599999999995e-08,2.1855e-06,1.4082e-05,0.002096,0.0012374
1.44,1.4756e-07,7.542900000000002e-06,4.8256e-05,0.0032152,0.0016044
1.48,6.4674e-07,2.3524e-05,0.0001432,0.0044772,0.0020316
1.52,2.7783e-06,6.671200000000001e-05,0.00037206,0.0058418,0.002522
1.56,1.1742e-05,0.0001474,0.0008001,0.00727,0.0030646
1.6,4.634e-05,0.00026734,0.0014372,0.0087702,0.0036578
1.64,0.00016586,0.00041608,0.0022564,0.010294,0.0042944
1.68,0.00046622,0.00058514,0.00322,0.011862,0.0049644
1.72,0.00100846,0.00077042,0.0043022,0.01344,0.0056666
1.76,0.0017398,0.00096714,0.0054772,0.015018,0.0063834
1.8,0.0026198,0.0011686,0.0067252,0.016664,0.0071286
1.84,0.0036026,0.0013864,0.0080344,0.018442,0.0078964
1.88,0.0046456,0.001613,0.0093872,0.020214,0.0087224
1.92,0.0057374,0.001848,0.0107796,0.022156,0.009528
1.96,0.0068636,0.0020942,0.012206,0.023964,0.0103408
