VINTA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,4.31622e-08,-0.005991,-0.099994,-0.089828,-0.095762
-1.96,-4.48708e-08,-0.005756,-0.097472,-0.087058,-0.092742
-1.92,4.77464e-08,-0.0055274,-0.094332,-0.08429,-0.08974
-1.88,-4.782719999999999e-08,-0.0052944,-0.09121,-0.081508,-0.086716
-1.84,4.6616e-08,-0.0050648,-0.088074,-0.07876,-0.083706
-1.8,-3.89326e-08,-0.0048246,-0.084934,-0.075972,-0.08071
-1.76,3.36916e-08,-0.0045976,-0.081794,-0.073174,-0.077712
-1.72,-2.30308e-08,-0.0043786,-0.078642,-0.070346,-0.074694
-1.68,2.78296e-08,-0.0041598,-0.07548,-0.067526,-0.071684
-1.64,-2.86034e-08,-0.0039236,-0.072312,-0.064674,-0.068662
-1.6,1.23956e-08,-0.003715,-0.069138,-0.06182,-0.06564
-1.56,-1.3506e-08,-0.0035014,-0.06595,-0.058948,-0.06261
-1.52,-1.3874599999999998e-08,-0.0032912,-0.062762,-0.056072,-0.059584
-1.48,2.87338e-08,-0.003081,-0.059568,-0.053182,-0.056552
-1.44,-4.27414e-08,-0.0028802,-0.056376,-0.050296,-0.05353
-1.4,4.54248e-08,-0.002679,-0.053198,-0.047418,-0.050518
-1.36,-4.76088e-08,-0.0024824,-0.050012,-0.044538,-0.047508
-1.32,4.93646e-08,-0.0022866,-0.046846,-0.041664,-0.044518
-1.28,-4.5045e-08,-0.0021012,-0.043692,-0.03879,-0.041532
-1.24,3.12056e-08,-0.0019166,-0.040566,-0.035942,-0.03857
-1.2,-1.4985599999999998e-08,-0.0017366,-0.037468,-0.03311,-0.035636
-1.16,4.468119999999999e-08,-0.0015656,-0.0344,-0.030304,-0.032734
-1.12,-3.5369e-08,-0.0013992,-0.031374,-0.027522,-0.029866
-1.08,2.5927e-08,-0.0012404,-0.028406,-0.024782,-0.027046
-1.04,-1.08238e-08,-0.0010896,-0.025496,-0.0221,-0.02428
-1.0,1.6878e-09,-0.00094562,-0.022666,-0.019476,-0.021586
-0.96,3.04774e-08,-0.0008101,-0.019912,-0.016934,-0.018968
-0.92,-4.33986e-08,-0.00068452,-0.017266,-0.014484,-0.016436
-0.88,4.59344e-08,-0.00056718,-0.014758,-0.01216,-0.014018
-0.84,-4.774e-08,-0.00045924,-0.012336,-0.0100092,-0.01174
-0.8,4.466419999999999e-08,-0.00036152,-0.01009,-0.0079764,-0.009673
-0.76,-3.50004e-08,-0.00027446,-0.0081272,-0.0061796,-0.0076528
-0.72,2.5898e-08,-0.00019922,-0.0061958,-0.0046338,-0.0058702
-0.68,-9.4536e-09,-0.00013904,-0.0045504,-0.0033486,-0.0043324
-0.64,-2.56e-11,-9.2642e-05,-0.0032028,-0.0023532,-0.0030622
-0.6,1.17622e-08,-6.0204e-05,-0.0021514,-0.0016344,-0.0020754
-0.56,-2.3049e-08,-3.8086e-05,-0.0014156,-0.0011426,-0.0013778
-0.52,3.94518e-08,-2.337e-05,-0.00093968,-0.00081892,-0.00093308
-0.48,-4.45464e-08,-1.3794e-05,-0.00064786,-0.0005964,-0.00065182
-0.44,4.695659999999999e-08,-7.997700000000001e-06,-0.00044936,-0.00042252,-0.00045354
-0.4,-4.73304e-08,-4.3586e-06,-0.00030056,-0.0002812,-0.00030202
-0.36,4.89782e-08,-2.4038e-06,-0.0001846,-0.0001666,-0.00018166
-0.32,-4.27984e-08,-1.2283000000000002e-06,-9.7324e-05,-8.2412e-05,-9.2046e-05
-0.28,3.62452e-08,-6.6792e-07,-4.0894e-05,-3.196e-05,-3.6608e-05
-0.24,-2.33868e-08,-2.9088e-07,-1.327e-05,-9.6949e-06,-1.127e-05
-0.2,3.5943e-08,-1.4618e-07,-3.5340000000000004e-06,-2.4856000000000004e-06,-2.8953000000000005e-06
-0.16,-2.51246e-08,-8.28294e-08,-8.3442e-07,-5.774e-07,-6.7264e-07
-0.12,4.6708e-08,-3.68566e-08,-1.851e-07,-1.2742e-07,-1.4876e-07
-0.08,-4.16686e-08,-1.4505399999999998e-08,-3.92402e-08,-2.70328e-08,-3.14348e-08
-0.04,3.65202e-08,-4.5165e-09,-7.3011e-09,-4.9845e-09,-5.7536e-09
0.0,-8.7184e-09,1.0753e-10,8.93e-12,-1.683e-11,-1.4210000000000002e-11
0.04,-7.005999999999999e-10,3.245e-09,3.0977e-09,1.9532e-09,2.1647e-09
0.08,1.1978399999999998e-08,7.1542e-09,9.178e-09,5.5511e-09,6.0592e-09
0.12,-2.34034e-08,1.5465e-08,3.35118e-08,2.03214e-08,2.16456e-08
0.16,3.885e-08,3.85858e-08,1.3747999999999998e-07,8.497379999999998e-08,8.902319999999999e-08
0.2,-4.292359999999999e-08,1.1444e-07,5.8324e-07,3.739e-07,3.802e-07
0.24,4.52874e-08,3.8644e-07,2.3624e-06,1.6543000000000002e-06,1.5726000000000002e-06
0.28,-4.73976e-08,1.1664000000000002e-06,8.443e-06,7.2035000000000006e-06,5.8869e-06
0.32,4.816959999999999e-08,3.4875000000000005e-06,2.0772e-05,2.9776e-05,1.5314e-05
0.36,-4.72538e-08,7.3993e-06,3.931e-05,0.000110588,3.1056e-05
0.4,4.65768e-08,1.2602e-05,6.2968e-05,0.00032758,4.5506e-05
0.44,-4.578579999999999e-08,2.104e-05,0.0001518,0.00073314,7.598e-05
0.48,4.482719999999999e-08,3.1244e-05,0.00014302,0.0012994,9.8594e-05
0.52,-3.37886e-08,4.434e-05,0.00019134,0.0019334,0.00017128
0.56,3.66502e-08,6.2086e-05,0.00019932,0.0025164,0.0003028
0.6,-3.3719999999999994e-08,8.6802e-05,0.00027754,0.0029432,0.00042626
0.64,1.55692e-08,0.0001166,0.00043836,0.0039494,0.00054522
0.68,-1.7054e-08,0.00015856,0.00069068,0.0040642,0.00070954
0.72,1.44534e-08,0.00021112,0.00104224,0.004397,0.00097296
0.76,4.1976e-09,0.0002748,0.0015188,0.00478,0.001364
0.8,-3.9799999999999997e-10,0.00035178,0.0021432,0.0048118,0.0018914
0.84,4.2058e-09,0.00044184,0.0029166,0.0053366,0.002559
0.88,-1.96118e-08,0.00054458,0.0038202,0.0059614,0.0033554
0.92,1.80944e-08,0.00066274,0.0048454,0.0066502,0.0042722
0.96,-1.97132e-08,0.0007945,0.0059802,0.0074386,0.0052924
1.0,4.105879999999999e-08,0.00096018,0.0072094,0.0083362,0.0064084
1.04,-3.885279999999999e-08,0.00111948,0.008516,0.0093418,0.007605
1.08,4.33126e-08,0.0012834,0.0098932,0.010443,0.0088716
1.12,-4.5834e-08,0.001459,0.0113268,0.011632,0.010193
1.16,4.5634e-08,0.001644,0.01281,0.012896,0.011572
1.2,-4.5739e-08,0.0018378,0.014342,0.014218,0.012994
1.24,4.84186e-08,0.0020366,0.015912,0.015602,0.014456
1.28,-4.71966e-08,0.0022438,0.017518,0.01703,0.015956
1.32,4.92872e-08,0.0024514,0.019156,0.0185,0.017488
1.36,-4.25194e-08,0.0026644,0.020828,0.020006,0.019052
1.4,4.49642e-08,0.002903,0.022522,0.021546,0.020638
1.44,-4.22062e-08,0.0031592,0.024236,0.023106,0.022244
1.48,3.04988e-08,0.0034106,0.02597,0.024698,0.023882
1.52,-3.1595999999999994e-08,0.0036658,0.02773,0.026312,0.02554
1.56,3.01792e-08,0.0039482,0.029506,0.027946,0.027216
1.6,-7.439599999999999e-09,0.0042382,0.0313,0.029596,0.02891
1.64,1.17234e-08,0.004536,0.033104,0.031266,0.030622
1.68,1.4059999999999998e-10,0.0048462,0.03492,0.032944,0.032342
1.72,-8.746999999999999e-09,0.00519,0.036766,0.034642,0.034104
1.76,2.01442e-08,0.005526,0.038754,0.036366,0.035852
1.8,-3.31398e-08,0.0058438,0.040628,0.038088,0.03762
1.84,4.33574e-08,0.0061856,0.042496,0.039818,0.039538
1.88,-4.49016e-08,0.0065632,0.044456,0.041556,0.04133
1.92,4.7719e-08,0.0069396,0.046338,0.043302,0.043254
1.96,-4.642999999999999e-08,0.007289,0.048232,0.045124,0.04507
2.0,4.8171e-08,0.00766,0.050124,0.046876,0.046892
