VINTA,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100002,-0.0080032,-0.100002,-0.1,-0.1
-1.96,-0.100002,-0.0077426,-0.100002,-0.100004,-0.100002
-1.92,-0.100002,-0.007436,-0.100002,-0.100002,-0.100002
-1.88,-0.100002,-0.007183,-0.100002,-0.100002,-0.100002
-1.84,-0.100002,-0.006899,-0.1,-0.1,-0.1
-1.8,-0.1,-0.0066402,-0.100002,-0.100002,-0.100002
-1.76,-0.100002,-0.0063814,-0.1,-0.1,-0.09838
-1.72,-0.100004,-0.006137,-0.100002,-0.100002,-0.095176
-1.68,-0.100002,-0.0058776,-0.1,-0.100002,-0.09195
-1.64,-0.1,-0.0056226,-0.100002,-0.1,-0.08826
-1.6,-0.100002,-0.0053606,-0.100002,-0.100002,-0.08499
-1.56,-0.100002,-0.0051254,-0.100002,-0.099174,-0.08204
-1.52,-0.1,-0.0048866,-0.100002,-0.095932,-0.078806
-1.48,-0.099566,-0.004646,-0.097228,-0.09268,-0.075552
-1.44,-0.097844,-0.0044106,-0.093614,-0.089396,-0.072326
-1.4,-0.09608,-0.0041772,-0.089978,-0.086106,-0.06906
-1.36,-0.094316,-0.0039438,-0.086328,-0.08279,-0.06582
-1.32,-0.092524,-0.0037154,-0.082664,-0.079434,-0.062564
-1.28,-0.090712,-0.0034922,-0.079,-0.076072,-0.059336
-1.24,-0.088886,-0.003268,-0.075334,-0.072664,-0.055956
-1.2,-0.087054,-0.0030472,-0.07166,-0.06927,-0.0526
-1.16,-0.085212,-0.002833,-0.06798,-0.065836,-0.04934
-1.12,-0.083356,-0.002621,-0.064274,-0.062394,-0.04613
-1.08,-0.081502,-0.0024122,-0.060596,-0.058938,-0.042914
-1.04,-0.07963,-0.0022102,-0.056916,-0.055486,-0.039762
-1.0,-0.077752,-0.0020106,-0.053246,-0.051816,-0.036608
-0.96,-0.07586,-0.001822,-0.049578,-0.04828,-0.032988
-0.92,-0.073952,-0.001643,-0.045928,-0.044866,-0.029318
-0.88,-0.072024,-0.001457,-0.042302,-0.041462,-0.026336
-0.84,-0.06965,-0.0012868,-0.038704,-0.038074,-0.023402
-0.8,-0.067718,-0.0011244,-0.035138,-0.034624,-0.020448
-0.76,-0.06578,-0.00097058,-0.031616,-0.031306,-0.017628
-0.72,-0.06383,-0.00084788,-0.028136,-0.02802,-0.01488
-0.68,-0.061886,-0.00070306,-0.024728,-0.024782,-0.012248
-0.64,-0.05994,-0.00057754,-0.0214,-0.021612,-0.0097634
-0.6,-0.057996,-0.00045914,-0.018166,-0.018522,-0.007482
-0.56,-0.05604,-0.00036216,-0.015058,-0.015528,-0.0051378
-0.52,-0.054082,-0.00027104,-0.012106,-0.012656,-0.0034696
-0.48,-0.052124,-0.0002003,-0.0093724,-0.00997,-0.002176
-0.44,-0.050166,-0.00013602,-0.0068998,-0.0075036,-0.0013012
-0.4,-0.0482,-8.270200000000002e-05,-0.0047688,-0.0053326,-0.00078058
-0.36,-0.046234,-5.6028e-05,-0.003062,-0.0035412,-0.00048628
-0.32,-0.044268,-3.5786e-05,-0.0018332,-0.0021972,-0.0003011
-0.28,-0.042294,-2.2618e-05,-0.0010676,-0.0013102,-0.00017336
-0.24,-0.04033,-1.2808e-05,-0.00064114,-0.00079398,-8.4054e-05
-0.2,-0.038368,-7.1026e-06,-0.00040056,-0.00050168,-3.378e-05
-0.16,-0.036402,-4.080800000000001e-06,-0.00024736,-0.000315,-1.3212e-05
-0.12,-0.034446,-2.1374e-06,-0.0001408,-0.0001811,-6.78e-06
-0.08,-0.032498,-1.2923e-06,-7.0412e-05,-8.740600000000001e-05,-5.1248000000000005e-06
-0.04,-0.030546,-6.8032e-07,-3.3522e-05,-3.328e-05,-4.630500000000001e-06
0.0,-0.028612,-3.3822e-07,-1.9442e-05,-1.0168e-05,-4.412200000000001e-06
0.04,-0.026698,-1.4738e-07,-1.5212e-05,-2.8095000000000004e-06,-4.3185e-06
0.08,-0.024786,-9.77878e-08,-1.4006e-05,-8.8222e-07,-4.2277e-06
0.12,-0.022894,-4.96796e-08,-1.3568e-05,-4.1668e-07,-4.0959e-06
0.16,-0.021022,-2.46076e-08,-1.3306e-05,-3.054e-07,-3.972600000000001e-06
0.2,-0.019162,-1.3592e-08,-1.3072e-05,-2.7306e-07,-3.8583e-06
0.24,-0.017328,-5.422799999999999e-09,-1.285e-05,-2.579e-07,-3.7346e-06
0.28,-0.015522,-1.8971e-09,-1.262e-05,-2.4552e-07,-3.5246000000000005e-06
0.32,-0.013752,2.855e-10,-1.2386e-05,-2.3384e-07,-3.4667e-06
0.36,-0.012024,4.374199999999998e-09,-1.2142e-05,-2.2208e-07,-3.3064e-06
0.4,-0.010286,1.08976e-08,-1.1892e-05,-2.0812e-07,-3.0185000000000004e-06
0.44,-0.0086334,1.8526e-08,-1.1628e-05,-1.973e-07,-2.4315000000000004e-06
0.48,-0.0071124,3.06348e-08,-1.1356e-05,-1.8084e-07,-1.4772e-07
