VNN,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-5.2997e-08,3.008e-10,4.611119999999999e-08,-0.0082578,-0.0074696
-1.96,5.57066e-08,8.506399999999997e-09,3.3352e-08,-0.0079404,-0.0069878
-1.92,-5.8543e-08,-2.08016e-08,8.816e-08,-0.0076302,-0.0065102
-1.88,5.890759999999999e-08,3.4698799999999994e-08,-8.625999999999998e-08,-0.00731,-0.0060434
-1.84,-5.8642e-08,-4.65988e-08,-2.72088e-08,-0.0069936,-0.0055818
-1.8,5.243939999999999e-08,4.76748e-08,-7.676e-08,-0.0066664,-0.0051304
-1.76,-4.2012e-08,-5.13482e-08,8.904e-08,-0.0063522,-0.0046916
-1.72,5.920279999999999e-08,5.113299999999999e-08,3.1640199999999995e-08,-0.0060364,-0.004265
-1.68,-5.63356e-08,-4.11144e-08,9.634e-08,-0.005726,-0.0038498
-1.64,4.86742e-08,3.59186e-08,-5.424e-08,-0.005415,-0.0034468
-1.6,-3.80318e-08,-3.71584e-08,-1.38588e-08,-0.0051062,-0.0030632
-1.56,6.0202e-08,2.6039e-08,-7.584e-08,-0.0047648,-0.0027
-1.52,-5.540279999999999e-08,-9.861e-09,-6.3902e-09,-0.0044622,-0.0023522
-1.48,4.6017e-08,-1.4389999999999999e-09,4.443e-09,-0.0041672,-0.0020244
-1.44,-1.7724799999999997e-08,1.11842e-08,1.2202e-07,-0.0038766,-0.001728
-1.4,-3.31154e-08,-2.36966e-08,3.07186e-08,-0.0035924,-0.0014578
-1.36,4.98054e-08,3.97082e-08,8.776e-08,-0.0033124,-0.0012072
-1.32,-5.616019999999999e-08,-4.7219e-08,-8.814e-08,-0.0030386,-0.00099512
-1.28,5.78048e-08,4.853759999999999e-08,-1.136e-08,-0.0027696,-0.00080834
-1.24,-5.905959999999999e-08,-4.9298199999999993e-08,6.06986e-08,-0.0025058,-0.00064426
-1.2,5.20348e-08,5.062279999999999e-08,3.11662e-08,-0.0022492,-0.00051596
-1.16,-5.61874e-08,-5.063799999999999e-08,8.732e-08,-0.001999,-0.00042102
-1.12,5.901e-08,5.08898e-08,-8.76e-08,-0.0017544,-0.00033768
-1.08,-5.933859999999999e-08,-5.180559999999999e-08,-1.802e-08,-0.0015168,-0.00026942
-1.04,5.67056e-08,5.156719999999999e-08,6.01356e-08,-0.0012876,-0.00022352
-1.0,-4.76192e-08,-5.09444e-08,3.2983e-08,-0.00107,-0.0001872
-0.96,3.9498e-08,4.87832e-08,1.041e-07,-0.00086644,-0.0001487
-0.92,-2.8126e-08,-5.01786e-08,2.248e-08,-0.00067996,-0.00011386
-0.88,2.42002e-08,5.143479999999999e-08,-5.87934e-08,-0.00051366,-8.6474e-05
-0.84,-5.9476e-09,-4.89588e-08,-1.7623599999999998e-08,-0.00036978,-6.0886e-05
-0.8,5.7917e-08,5.1068e-08,-1.3288e-07,-0.00025072,-4.0752e-05
-0.76,-5.905079999999999e-08,-5.10144e-08,4.154e-08,-0.0001584,-2.5564e-05
-0.72,5.30632e-08,3.68122e-08,2.0015999999999998e-09,-9.17e-05,-1.474e-05
-0.68,-5.676779999999999e-08,-2.40916e-08,7.728e-08,-4.86e-05,-7.6239e-06
-0.64,5.89658e-08,9.913199999999997e-09,1.91228e-08,-2.342e-05,-3.708100000000001e-06
-0.6,-5.933739999999999e-08,9.544999999999999e-09,1.1364e-07,-1.0396e-05,-1.7716e-06
-0.56,6.04932e-08,-2.11124e-08,-4.686e-08,-4.594e-06,-8.0734e-07
-0.52,-5.51194e-08,1.4787199999999998e-08,-2.06592e-08,-1.9210000000000003e-06,-4.9832e-07
-0.48,4.46072e-08,2.78492e-08,-1.0776e-07,-1.0422e-06,-8.44e-08
-0.44,-3.2813e-08,-1.1789999999999998e-08,-3.26336e-08,-7.3618e-07,-2.592e-07
-0.4,-2.2944e-08,4.0119999999999997e-10,-7.992e-08,-4.6864e-07,-1.4528e-07
-0.36,3.66536e-08,9.8538e-09,-1.6807e-08,-4.396e-07,-1.502e-07
-0.32,-5.46622e-08,-1.74936e-08,-8.662e-08,-3.961e-07,-2.6782e-07
-0.28,5.6039e-08,1.41012e-08,-3.51186e-08,-4.4178e-07,-4.37e-08
-0.24,-5.95462e-08,-3.24628e-08,-7.672e-08,-3.8146e-07,-1.5904e-07
-0.2,6.01914e-08,4.74e-08,-2.05884e-08,-3.677e-07,-1.891e-07
-0.16,-5.51724e-08,-4.67668e-08,-9.514e-08,-2.6934e-07,-1.027e-07
-0.12,4.53792e-08,5.04914e-08,4.966e-08,-2.4678e-07,-1.381e-07
-0.08,-3.37524e-08,-5.0835e-08,1.27452e-08,-2.2598e-07,-1.7646e-07
-0.04,5.961339999999999e-08,4.8855e-08,1.1618e-07,-2.0222e-07,-8.122e-08
0.0,-4.16728e-08,-3.19198e-08,-4.926e-08,-3.6028e-07,-1.1446e-07
0.04,2.86912e-08,1.7497599999999997e-08,5.5842e-09,-4.098e-07,-9.61e-08
0.08,-3.14184e-08,-3.2493999999999996e-09,1.1918799999999998e-08,-4.3756e-07,-3.698e-10
0.12,-3.30554e-08,-8.265e-09,1.0914e-07,-3.754e-07,-3.1555999999999995e-08
0.16,4.95992e-08,1.9415e-08,3.2179e-08,-2.414e-07,-8.3204e-09
0.2,-5.70764e-08,-3.27168e-08,7.958e-08,-1.5162e-07,2.63904e-08
0.24,5.943539999999999e-08,4.67256e-08,1.7686799999999997e-08,-1.412e-07,2.41522e-08
0.28,-6.02088e-08,-4.85694e-08,8.358e-08,2.5926e-07,3.74516e-08
0.32,5.500299999999999e-08,5.10308e-08,-4.834e-08,1.8012000000000002e-06,6.252259999999999e-08
0.36,-4.3669e-08,-5.0599e-08,-6.725399999999998e-09,7.578800000000001e-06,7.310819999999998e-08
