VNN,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-5.902899999999999e-08,-0.01342,-0.052364,-0.056858,-0.046008
-1.96,4.630639999999999e-08,-0.012988,-0.050206,-0.053592,-0.045194
-1.92,-4.88754e-08,-0.012576,-0.048648,-0.052842,-0.04664
-1.88,-2.34436e-08,-0.012164,-0.046992,-0.051204,-0.046594
-1.84,3.94878e-08,-0.011744,-0.045316,-0.049322,-0.04674
-1.8,-5.46756e-08,-0.01132,-0.04363,-0.047386,-0.045302
-1.76,5.635819999999999e-08,-0.010904,-0.041942,-0.045464,-0.043812
-1.72,-5.981899999999999e-08,-0.010474,-0.040258,-0.043532,-0.042132
-1.68,6.01804e-08,-0.01005,-0.038572,-0.041604,-0.040434
-1.64,-5.61056e-08,-0.0096302,-0.036892,-0.039662,-0.038684
-1.6,5.11134e-08,-0.0092002,-0.035204,-0.03776,-0.036938
-1.56,-4.04282e-08,-0.0087756,-0.033522,-0.035862,-0.035172
-1.52,6.039279999999999e-08,-0.0083492,-0.031832,-0.033958,-0.033406
-1.48,-5.5958e-08,-0.0079216,-0.030152,-0.032082,-0.031638
-1.44,5.09408e-08,-0.0074818,-0.02847,-0.030194,-0.029874
-1.4,-1.82628e-08,-0.0070614,-0.026806,-0.02834,-0.028114
-1.36,-3.6426e-08,-0.0066388,-0.025146,-0.026476,-0.026358
-1.32,5.102199999999999e-08,-0.0062248,-0.023484,-0.024632,-0.024612
-1.28,-5.59964e-08,-0.0058056,-0.021836,-0.022802,-0.022872
-1.24,5.58368e-08,-0.0053874,-0.020196,-0.020998,-0.021144
-1.2,-5.93256e-08,-0.0049728,-0.018572,-0.019218,-0.019434
-1.16,6.04698e-08,-0.0045572,-0.016964,-0.017476,-0.017742
-1.12,-5.953819999999999e-08,-0.0041534,-0.01538,-0.015774,-0.016066
-1.08,5.664899999999999e-08,-0.0037518,-0.013822,-0.014144,-0.014426
-1.04,-4.43524e-08,-0.0033544,-0.0123,-0.0126,-0.012818
-1.0,3.32178e-08,-0.0029602,-0.010814,-0.011172,-0.01126
-0.96,-1.5728799999999997e-08,-0.0025774,-0.0093882,-0.0099098,-0.0097566
-0.92,-3.48002e-08,-0.0022046,-0.0080096,-0.0088414,-0.0083072
-0.88,5.058879999999999e-08,-0.001845,-0.0066954,-0.008021,-0.0069322
-0.84,-5.58412e-08,-0.0015016,-0.005447,-0.0074264,-0.0056296
-0.8,5.38266e-08,-0.0011846,-0.0042754,-0.0069814,-0.0044102
-0.76,-5.63142e-08,-0.00090404,-0.00319,-0.0066036,-0.0032828
-0.72,5.594639999999999e-08,-0.00067828,-0.0022034,-0.0062504,-0.0022634
-0.68,-5.63764e-08,-0.00051544,-0.001348,-0.0059048,-0.001382
-0.64,5.98992e-08,-0.00040168,-0.00067728,-0.0055618,-0.00069344
-0.6,-5.95664e-08,-0.00031408,-0.00025796,-0.0052192,-0.00026346
-0.56,5.935319999999999e-08,-0.00023866,-7.8378e-05,-0.0048768,-7.9462e-05
-0.52,-5.863e-08,-0.00017068,-2.398e-05,-0.0045326,-2.358e-05
-0.48,6.02818e-08,-0.00011046,-8.8247e-06,-0.0041882,-8.0629e-06
-0.44,-5.75758e-08,-6.0862e-05,-3.996100000000001e-06,-0.0038428,-3.3237000000000005e-06
-0.4,5.977819999999999e-08,-2.6748e-05,-2.052e-06,-0.0034972,-1.5853e-06
-0.36,-5.979479999999999e-08,-9.6562e-06,-1.1335e-06,-0.0031502,-8.0226e-07
-0.32,5.906839999999999e-08,-2.9651e-06,-6.1938e-07,-0.0028026,-4.777e-07
-0.28,-5.907599999999999e-08,-5.8578e-07,-3.4424e-07,-0.002454,-2.7742e-07
-0.24,5.209099999999999e-08,2.9e-07,-2.2416e-07,-0.002105,-1.339e-07
-0.2,-5.638599999999999e-08,8.9714e-07,-8.71658e-08,-0.0017558,-8.30224e-08
-0.16,5.85442e-08,1.5163000000000002e-06,-1.94966e-08,-0.0014056,-4.78534e-08
-0.12,-5.89862e-08,2.6915000000000004e-06,4.31386e-08,-0.0010552,-2.06422e-08
-0.08,5.22806e-08,3.7743e-06,1.2116e-07,-0.0007043,-5.6206e-09
-0.04,-5.62038e-08,3.930500000000001e-06,2.2992e-07,-0.00035298,1.5171799999999998e-08
0.0,5.97362e-08,4.4855000000000005e-06,2.837e-07,-2.2692e-06,2.8017e-08
0.04,-5.59834e-08,5.0738e-06,3.4842e-07,0.00034902,4.06292e-08
0.08,4.883999999999999e-08,5.866700000000001e-06,3.9846e-07,0.00070056,5.58756e-08
0.12,-3.85962e-08,6.739700000000001e-06,4.4796e-07,0.00105228,7.832319999999999e-08
0.16,6.05688e-08,7.592000000000002e-06,4.7502e-07,0.0014034,1.1928e-07
0.2,-5.51438e-08,8.364600000000001e-06,5.0684e-07,0.001755,2.163e-07
0.24,4.510879999999999e-08,9.048e-06,5.5214e-07,0.0021064,3.831e-07
0.28,-5.8951999999999984e-09,9.6897e-06,6.5702e-07,0.0024576,5.563e-07
0.32,5.81564e-08,1.066e-05,7.857e-07,0.0028068,7.0004e-07
0.36,-5.91206e-08,1.6332000000000002e-05,9.6926e-07,0.0031562,5.8088e-07
0.4,5.223159999999999e-08,1.9858e-05,7.596e-07,0.0035042,9.4794e-07
0.44,-5.62924e-08,2.3078e-05,1.12764e-06,0.003852,1.0435e-06
0.48,5.8561e-08,2.6436e-05,1.3753000000000002e-06,0.0041988,1.6279e-06
0.52,-5.91934e-08,3.0496e-05,2.1753e-06,0.004545,2.3900000000000004e-06
0.56,5.3240999999999993e-08,3.4996e-05,3.9847e-06,0.0048898,4.216300000000001e-06
0.6,-5.640239999999999e-08,4.1596e-05,9.5826e-06,0.005234,9.9944e-06
0.64,5.935159999999999e-08,5.7258e-05,2.9506e-05,0.0055776,2.9228e-05
0.68,-5.94782e-08,0.000103134,9.617600000000002e-05,0.0059198,9.5984e-05
0.72,5.6634e-08,0.00021382,0.00028936,0.006261,0.00029182
0.76,-4.65822e-08,0.0004158,0.00067552,0.0066012,0.00068594
0.8,3.79458e-08,0.0006736,0.0012248,0.0069416,0.001249
0.84,-2.16996e-08,0.00096542,0.0018794,0.007282,0.0019192
0.88,-3.3717199999999994e-08,0.0012802,0.002598,0.007627,0.002656
0.92,5.09024e-08,0.0016082,0.003358,0.0079874,0.0034344
0.96,-5.637619999999999e-08,0.001947,0.0041448,0.0083828,0.0042408
1.0,5.675839999999999e-08,0.0022912,0.0049522,0.0088478,0.005069
1.04,-5.6490399999999993e-08,0.0026436,0.0057754,0.0094004,0.0059118
1.08,5.5918399999999993e-08,0.003,0.0066086,0.0100388,0.0067674
1.12,-5.88298e-08,0.0033614,0.0074484,0.010743,0.0076278
1.16,5.7799e-08,0.0037246,0.0082986,0.0115006,0.0084992
1.2,-5.72138e-08,0.004087,0.0091536,0.012304,0.0093762
1.24,5.9558e-08,0.0044572,0.0100142,0.013132,0.0102582
1.28,-5.91612e-08,0.0048244,0.0108774,0.013982,0.011144
