VNN,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.099792,-0.030152,-0.086884,-0.093018,-0.078966
-1.96,-0.097822,-0.029558,-0.085262,-0.091904,-0.0766
-1.92,-0.096058,-0.028962,-0.083396,-0.089656,-0.0742
-1.88,-0.094466,-0.028356,-0.081428,-0.087428,-0.071798
-1.84,-0.092856,-0.027718,-0.079364,-0.085294,-0.069488
-1.8,-0.091356,-0.027072,-0.077266,-0.083104,-0.067062
-1.76,-0.089778,-0.026446,-0.075126,-0.080588,-0.064636
-1.72,-0.088232,-0.025794,-0.072964,-0.078052,-0.062148
-1.68,-0.08683,-0.025132,-0.070786,-0.075318,-0.059792
-1.64,-0.085434,-0.024454,-0.068546,-0.072526,-0.057436
-1.6,-0.084034,-0.023784,-0.066268,-0.06981,-0.055048
-1.56,-0.082384,-0.023116,-0.06395,-0.067206,-0.052686
-1.52,-0.081024,-0.02243,-0.061628,-0.064566,-0.050364
-1.48,-0.079452,-0.021744,-0.05927,-0.0619,-0.048068
-1.44,-0.078174,-0.021052,-0.056888,-0.059222,-0.045796
-1.4,-0.0766,-0.020346,-0.054498,-0.056554,-0.043554
-1.36,-0.075262,-0.019626,-0.052146,-0.053902,-0.041322
-1.32,-0.073646,-0.01892,-0.049788,-0.05129,-0.039142
-1.28,-0.072268,-0.01821,-0.047462,-0.048728,-0.036988
-1.24,-0.070636,-0.017472,-0.045164,-0.046208,-0.034854
-1.2,-0.069312,-0.016746,-0.042898,-0.043676,-0.03273
-1.16,-0.067734,-0.016038,-0.040628,-0.041224,-0.03064
-1.12,-0.06634,-0.015274,-0.038388,-0.038798,-0.02858
-1.08,-0.064702,-0.014514,-0.036166,-0.036402,-0.026542
-1.04,-0.063266,-0.013772,-0.033942,-0.034016,-0.024526
-1.0,-0.061736,-0.013022,-0.03173,-0.031646,-0.022558
-0.96,-0.06028,-0.012262,-0.02955,-0.0293,-0.020612
-0.92,-0.058744,-0.011514,-0.027374,-0.027016,-0.018704
-0.88,-0.057304,-0.010752,-0.025202,-0.024748,-0.016834
-0.84,-0.055734,-0.010011,-0.02302,-0.02229,-0.01501
-0.8,-0.054276,-0.0092332,-0.020736,-0.019992,-0.013246
-0.76,-0.052788,-0.0084806,-0.01828,-0.017744,-0.011508
-0.72,-0.051304,-0.0077484,-0.014792,-0.015402,-0.0098788
-0.68,-0.049822,-0.0069976,-0.01293,-0.01338,-0.0083536
-0.64,-0.048404,-0.0062666,-0.011664,-0.011586,-0.0068886
-0.6,-0.046914,-0.005577,-0.010808,-0.010024,-0.005516
-0.56,-0.045534,-0.0048208,-0.010174,-0.0087954,-0.0042378
-0.52,-0.044126,-0.0041168,-0.0096336,-0.0089754,-0.0030576
-0.48,-0.042764,-0.0034366,-0.009121,-0.0085374,-0.002018
-0.44,-0.041372,-0.0027814,-0.0086222,-0.0080796,-0.001149
-0.4,-0.040114,-0.0021752,-0.008128,-0.007685,-0.00052248
-0.36,-0.038828,-0.0016334,-0.0076358,-0.0072328,-0.0001756
-0.32,-0.037628,-0.0011282,-0.0071478,-0.0067914,-5.586e-05
-0.28,-0.036442,-0.00078012,-0.0066614,-0.0071376,-1.9124e-05
-0.24,-0.035332,-0.0005531,-0.0061764,-0.0066022,-8.661500000000002e-06
-0.2,-0.034252,-0.00041898,-0.0056958,-0.0060698,-4.771400000000001e-06
-0.16,-0.03322,-0.0003222,-0.0052154,-0.0055396,-2.9491000000000003e-06
-0.12,-0.032248,-0.00024992,-0.0047388,-0.0050304,-1.9351000000000003e-06
-0.08,-0.031298,-0.00017472,-0.0042642,-0.004534,-1.2318000000000002e-06
-0.04,-0.03036,-0.00011818,-0.0037926,-0.0040494,-9.879e-07
0.0,-0.029442,-6.14e-05,-0.003325,-0.0035792,-7.0602e-07
0.04,-0.028532,-3.062e-05,-0.002859,-0.0031186,-8.906900000000001e-06
0.08,-0.027612,-1.4668e-05,-0.002397,-0.002679,-4.8474e-06
0.12,-0.026722,-6.7267e-06,-0.0019386,-0.0022474,-2.9483e-06
0.16,-0.025816,-2.8082000000000005e-06,-0.0014838,-0.0018188,-1.8507e-06
0.2,-0.024912,-7.5698e-07,-0.0010336,-0.001416,-1.1185000000000002e-06
0.24,-0.024006,5.2648e-07,-0.0005868,-0.0010208,-6.7576e-07
0.28,-0.023112,1.3471000000000002e-06,-0.00014428,-0.00063126,-3.6812e-07
0.32,-0.022216,2.1917e-06,0.00029318,-0.0002547,-1.2724e-07
0.36,-0.021316,2.8605000000000004e-06,0.00073434,0.00012444,-7.58478e-08
0.4,-0.020426,3.7524e-06,0.0011624,0.00049916,-2.9854199999999995e-08
0.44,-0.019528,4.462400000000001e-06,0.0015866,0.00087674,-9.880399999999998e-09
0.48,-0.018636,5.5879e-06,0.0020036,0.0012252,3.228e-10
0.52,-0.017742,6.6924000000000005e-06,0.0024164,0.0016034,1.6151199999999998e-08
0.56,-0.016856,7.744200000000001e-06,0.002822,0.001984,2.59152e-08
0.6,-0.015962,9.0117e-06,0.0032236,0.0023706,3.7876e-08
0.64,-0.015074,1.0114e-05,0.0036218,0.0027682,5.44818e-08
0.68,-0.014182,1.8332e-05,0.0040132,0.003158,8.14142e-08
0.72,-0.013292,2.4066e-05,0.0044012,0.003557,1.2888e-07
0.76,-0.012402,2.861e-05,0.0047848,0.0039624,2.0516e-07
0.8,-0.011512,3.4244e-05,0.0051666,0.0043668,3.2762e-07
0.84,-0.01062,4.0192e-05,0.0055432,0.0047878,5.0818e-07
0.88,-0.0097392,4.6994e-05,0.005922,0.0052164,8.0986e-07
0.92,-0.0088478,5.372e-05,0.0063034,0.0056484,1.3856e-06
0.96,-0.0079516,5.761e-05,0.0066866,0.0060772,2.6956e-06
1.0,-0.0070524,6.5154e-05,0.0070672,0.0065218,5.603500000000001e-06
1.04,-0.0061572,6.9626e-05,0.0074502,0.0069778,1.4374e-05
1.08,-0.0052668,7.6316e-05,0.0078328,0.007441,3.2284e-05
1.12,-0.0043622,7.702e-05,0.008213,0.0079082,6.152600000000001e-05
1.16,-0.003471,0.00016298,0.008593,0.008382,2.004e-05
1.2,-0.0025668,0.00037608,0.0089696,0.0088524,7.0454e-05
1.24,-0.0016578,0.00065284,0.0093496,0.0093308,0.00021008
1.28,-0.00075602,0.00101066,0.009731,0.0098106,0.00045974
1.32,0.0001487,0.0014104,0.0101312,0.0097484,0.0008117
1.36,0.00105938,0.001818,0.0105602,0.01083,0.0012334
1.4,0.0019728,0.0021816,0.0110524,0.011404,0.0016696
