VREF,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-3.1623999999999998e-09,-1.1921e-09,-0.00052036,-0.0017742,-0.00045094
-1.96,1.9849999999999997e-09,4.2916e-09,-0.00039964,-0.0015688,-0.00034912
-1.92,4.6508e-09,-1.9884e-09,-0.00030534,-0.001374,-0.00026822
-1.88,3.1765999999999996e-09,4.2367e-09,-0.0002326,-0.001191,-0.0002047
-1.84,1.8761999999999998e-09,-1.8025e-09,-0.00017636,-0.0010194,-0.00015522
-1.8,4.721999999999998e-09,3.7368e-09,-0.00013346,-0.00086102,-0.00011754
-1.76,2.8267999999999998e-09,-1.723e-09,-0.00010054,-0.00071596,-8.8856e-05
-1.72,3.8564e-09,3.1438e-09,-7.5918e-05,-0.0005842,-6.7066e-05
-1.68,3.2288e-09,-1.6309e-09,-5.7228e-05,-0.0004671,-5.1028e-05
-1.64,2.1448e-09,3.1722e-09,-4.3464e-05,-0.0003652,-3.8916e-05
-1.6,4.9513999999999984e-09,-1.6318e-09,-3.3088e-05,-0.00027848,-2.99e-05
-1.56,3.9284e-09,3.0498e-09,-2.522e-05,-0.00020706,-2.2934e-05
-1.52,2.5802e-09,-1.6057e-09,-1.9266e-05,-0.00015026,-1.7416e-05
-1.48,5.517e-09,5.885e-09,-1.4412e-05,-0.00010706,-1.2996e-05
-1.44,4.2676e-09,-2.056e-09,-1.0708e-05,-7.5422e-05,-9.7191e-06
-1.4,3.013e-09,5.3133e-09,-7.932700000000001e-06,-5.2894e-05,-6.9752000000000006e-06
-1.36,1.7597999999999999e-09,-1.9414e-09,-5.693900000000001e-06,-3.734e-05,-4.9977e-06
-1.32,4.5233999999999995e-09,4.6455e-09,-4.1629e-06,-2.6442e-05,-3.6081e-06
-1.28,3.4627999999999997e-09,-1.846e-09,-2.9756000000000004e-06,-1.864e-05,-2.5514000000000003e-06
-1.24,3.9515999999999995e-09,4.0445e-09,-2.0344000000000004e-06,-1.298e-05,-1.7277000000000002e-06
-1.2,2.5994e-09,-1.7329e-09,-1.5563000000000002e-06,-8.758000000000002e-06,-1.3002e-06
-1.16,5.4427999999999994e-09,3.3725e-09,-1.1394e-06,-5.8642000000000005e-06,-8.9258e-07
-1.12,4.201599999999999e-09,-1.6409e-09,-9.1548e-07,-3.825000000000001e-06,-6.5156e-07
-1.08,3.096999999999999e-09,3.1473e-09,-5.9854e-07,-2.4169e-06,-5.7348e-07
-1.04,2.0588e-09,-1.5873e-09,-3.5626e-07,-1.5549e-06,-3.1264e-07
-1.0,5.1288e-09,5.6987e-09,-3.2158e-07,-1.1119e-06,-2.192e-07
-0.96,4.104e-09,-2.0209e-09,-3.1434e-07,-7.0406e-07,-2.9064e-07
-0.92,2.9672e-09,5.1753e-09,-1.9484e-07,-5.1228e-07,-2.4564e-07
-0.88,5.7216e-09,-1.8868e-09,-1.409e-07,-3.3994e-07,-1.4462e-07
-0.84,4.525799999999999e-09,4.2989e-09,-1.7092e-07,-1.9456e-07,-3.677e-07
-0.8,3.2713999999999997e-09,-1.6962e-09,-1.166e-07,-1.5136e-07,-1.6524e-07
-0.76,1.9861999999999996e-09,3.1437e-09,-2.433e-07,-1.8838e-07,-2.5248e-07
-0.72,4.9094e-09,-1.6126e-09,-1.2952e-07,-1.5984e-07,-1.3004e-07
-0.68,3.9208e-09,3.1317e-09,-2.0138e-07,-3.822e-07,-2.727e-07
-0.64,1.2749999999999996e-09,-1.5987e-09,-1.1062e-07,-2.3944e-07,-2.1372e-07
-0.6,4.1116e-09,5.8524e-09,-1.5296e-07,-1.481e-07,-1.394e-07
-0.56,2.9451999999999997e-09,-2.064e-09,-8.620539999999999e-08,-3.9272e-07,-2.5696e-07
-0.52,1.8728e-09,5.2333e-09,-1.5246e-07,-2.1692e-07,-1.3166e-07
-0.48,2.7979999999999996e-09,-1.9183e-09,-7.64546e-08,-1.9248e-07,-2.4644e-07
-0.44,4.058e-09,4.4868e-09,-5.38742e-08,-1.432e-07,-1.1858e-07
-0.4,2.7314e-09,-1.8207e-09,-4.737219999999999e-08,-1.6202e-07,-1.892e-07
-0.36,5.533e-09,3.8039e-09,-1.4723199999999998e-08,-3.5014e-07,-1.0618e-07
-0.32,4.3278e-09,-1.6953e-09,-1.5629799999999997e-08,-1.6746e-07,-1.3128e-07
-0.28,3.0987999999999997e-09,3.2e-09,-2.87532e-08,-1.4358e-07,-8.1514e-08
-0.24,2.1037999999999997e-09,-1.6198e-09,-2.30344e-08,-1.4388e-07,-7.917739999999999e-08
-0.2,3.7802e-09,3.1966e-09,-1.4436e-08,-8.001939999999999e-08,-4.700859999999999e-08
-0.16,5.3645999999999994e-09,-1.6199e-09,-1.09009e-08,-4.09822e-08,-1.69216e-08
-0.12,4.2086e-09,3.0356e-09,-5.779e-09,-1.05752e-08,-9.8028e-09
-0.08,3.149599999999999e-09,-1.5845e-09,-1.6239e-09,-3.0864e-09,-3.3706e-09
-0.04,2.0774e-09,5.8391e-09,-1.1037e-09,-1.5663e-09,-1.0473e-09
0.0,4.301999999999999e-09,-2.1374e-09,-5.9828e-10,-7.1131e-10,-7.1043e-10
0.04,3.4745999999999996e-09,5.6802e-09,-5.852800000000001e-10,-6.5336e-10,-5.5271e-10
0.08,2.1781999999999998e-09,-2.0057e-09,-4.1357000000000005e-10,-4.5537000000000005e-10,-4.3982e-10
0.12,5.019199999999999e-09,5.052e-09,-4.3804e-10,-4.878200000000001e-10,-4.2199e-10
0.16,3.9826e-09,-1.9033e-09,-2.5248000000000004e-10,-3.2783000000000005e-10,-3.1891000000000004e-10
0.2,2.9169999999999997e-09,4.4398e-09,-2.098e-10,-3.4366000000000003e-10,-2.4789e-10
0.24,5.6687999999999985e-09,-1.7827e-09,4.6784e-10,-2.224e-11,-2.55e-11
0.28,4.4499999999999985e-09,3.8868e-09,1.3711e-09,1.9608e-10,5.870900000000001e-10
0.32,3.191e-09,-1.6534e-09,2.7972e-09,1.2655e-09,1.3136e-09
0.36,2.168e-09,2.9391e-09,6.3085e-09,3.1224e-09,4.3147e-09
0.4,8.039999999999998e-10,-1.586e-09,1.16572e-08,6.059e-09,6.2405e-09
0.44,3.4709999999999997e-09,5.9156e-09,1.7485599999999997e-08,1.04744e-08,1.17672e-08
0.48,2.1509999999999997e-09,-2.049e-09,3.27346e-08,2.07188e-08,2.32846e-08
0.52,5.0582e-09,5.1805e-09,4.27468e-08,3.15854e-08,3.15382e-08
0.56,3.8135999999999985e-09,-1.91e-09,7.922439999999999e-08,5.45894e-08,5.939379999999999e-08
0.6,5.1913999999999984e-09,4.5324e-09,9.5203e-08,9.15308e-08,8.00792e-08
0.64,4.2112e-09,-1.8126e-09,1.4594e-07,1.5212e-07,1.2838e-07
0.68,4.2864e-09,3.9553e-09,2.6174e-07,2.277e-07,2.1972e-07
0.72,5.635e-09,-1.7019e-09,3.3192e-07,3.2926e-07,3.0362e-07
0.76,2.7072e-09,3.2369e-09,4.622e-07,4.9298e-07,4.3614e-07
