VREF,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.100002,-0.0387,-0.1,-0.100008,-0.100002
-1.96,-0.100002,-0.038224,-0.1,-0.1,-0.100004
-1.92,-0.1,-0.03753,-0.100002,-0.100002,-0.100002
-1.88,-0.1,-0.036362,-0.100002,-0.100002,-0.099998
-1.84,-0.100002,-0.035184,-0.100002,-0.098634,-0.100002
-1.8,-0.100002,-0.034732,-0.100002,-0.097096,-0.09921
-1.76,-0.100002,-0.033888,-0.100002,-0.095472,-0.096958
-1.72,-0.100002,-0.032676,-0.1,-0.093788,-0.095588
-1.68,-0.100002,-0.031608,-0.100002,-0.09181,-0.093748
-1.64,-0.098788,-0.030568,-0.1,-0.090048,-0.091834
-1.6,-0.097004,-0.030136,-0.099834,-0.088358,-0.090044
-1.56,-0.095048,-0.028338,-0.09723,-0.086614,-0.087632
-1.52,-0.093224,-0.027176,-0.094628,-0.08491,-0.085714
-1.48,-0.091438,-0.025414,-0.091974,-0.08328,-0.083536
-1.44,-0.089518,-0.024658,-0.089292,-0.081192,-0.0813
-1.4,-0.087686,-0.024506,-0.086616,-0.075792,-0.079044
-1.36,-0.085754,-0.023482,-0.083902,-0.072976,-0.076768
-1.32,-0.083938,-0.022268,-0.081172,-0.071126,-0.074472
-1.28,-0.081918,-0.021896,-0.07845,-0.068804,-0.072164
-1.24,-0.080064,-0.021086,-0.075726,-0.066594,-0.06984
-1.2,-0.078238,-0.020422,-0.073006,-0.064308,-0.067514
-1.16,-0.07639,-0.019388,-0.070286,-0.062094,-0.065174
-1.12,-0.073666,-0.018658,-0.067564,-0.05997,-0.062834
-1.08,-0.071916,-0.017898,-0.064864,-0.057848,-0.060478
-1.04,-0.070002,-0.01665,-0.062168,-0.055732,-0.05812
-1.0,-0.068046,-0.015884,-0.05949,-0.053632,-0.055758
-0.96,-0.066,-0.01526,-0.056822,-0.051564,-0.05339
-0.92,-0.06409,-0.014636,-0.054182,-0.049516,-0.051018
-0.88,-0.062038,-0.014008,-0.051556,-0.047522,-0.04866
