VREF,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-2.3829999999999997e-09,-0.009978,-2.9536e-07,-0.041512,-0.041554
-1.96,1.2837999999999998e-09,-0.0096308,-2.8108e-07,-0.04102,-0.03958
-1.92,4.152e-09,-0.0093538,-3.6832e-07,-0.039556,-0.03817
-1.88,2.6999999999999998e-09,-0.009001,-2.7142e-07,-0.03809,-0.036778
-1.84,5.5833999999999996e-09,-0.0086312,-1.06e-07,-0.036816,-0.035598
-1.8,4.3909999999999994e-09,-0.0083178,-2.9606e-07,-0.035752,-0.034418
-1.76,3.191399999999999e-09,-0.0079046,-2.9244e-07,-0.034496,-0.033206
-1.72,1.889e-09,-0.0075268,-1.5018e-07,-0.033208,-0.031918
-1.68,4.9156e-09,-0.0071844,-1.3446e-07,-0.03186,-0.030624
-1.64,3.6707999999999998e-09,-0.0068306,-2.4118e-07,-0.03051,-0.029296
-1.6,2.5675999999999997e-09,-0.0064656,-2.327e-07,-0.029106,-0.02796
-1.56,5.312e-09,-0.006123,-1.2642e-07,-0.028168,-0.026612
-1.52,4.1403999999999995e-09,-0.0057548,-1.2114e-07,-0.026736,-0.02522
-1.48,3.0815999999999998e-09,-0.0053738,-2.2986e-07,-0.025252,-0.02382
-1.44,1.9327999999999998e-09,-0.0050144,-1.848e-07,-0.023738,-0.022396
-1.4,4.7849999999999995e-09,-0.0046532,-1.0474e-07,-0.022216,-0.020982
-1.36,3.4843999999999997e-09,-0.004326,-2.1464e-07,-0.020674,-0.019528
-1.32,6.102599999999998e-09,-0.0039848,-1.7464e-07,-0.01911,-0.018066
-1.28,5.197199999999999e-09,-0.003662,-7.322e-08,-0.017538,-0.016588
-1.24,5.3686e-09,-0.0033276,-1.7076e-07,-0.01595,-0.015104
-1.2,4.2146e-09,-0.0029952,-1.492e-07,-0.01436,-0.013604
-1.16,2.9914e-09,-0.0026342,-4.124e-08,-0.012762,-0.012096
-1.12,1.8632e-09,-0.0023462,-1.692e-07,-0.011154,-0.010578
-1.08,4.9251999999999995e-09,-0.0019598,-1.1884e-07,-0.0095516,-0.0090676
-1.04,3.6959999999999996e-09,-0.0016966,-1.348e-08,-0.007936,-0.007544
-1.0,2.6835999999999997e-09,-0.0014002,-1.515e-07,-0.00634,-0.0060372
-0.96,3.7404e-09,-0.0011234,-8.944e-08,-0.004799,-0.0045826
-0.92,2.4362e-09,-0.00085084,-1.5269999999999998e-07,-0.0033474,-0.0032076
-0.88,5.196e-09,-0.0006007,-9.89e-08,-0.0020576,-0.0019834
-0.84,3.9934e-09,-0.00037812,-9.648e-08,-0.0010274,-0.0010016
-0.8,2.9285999999999996e-09,-0.00019638,-2.9365999999999996e-09,-0.00038832,-0.00038386
-0.76,1.8471999999999998e-09,-7.742e-05,-2.6e-10,-0.00012,-0.00012046
-0.72,4.7156e-09,-2.2492e-05,-8.6872e-09,-3.9216e-05,-4.0148e-05
-0.68,3.4409999999999996e-09,-5.460600000000001e-06,2e-11,-1.461e-05,-1.5332e-05
-0.64,6.110199999999999e-09,-1.2126e-06,-1.35192e-08,-6.409000000000001e-06,-7.139100000000001e-06
-0.6,5.1338e-09,-2.7556e-07,-1.2e-10,-2.7569e-06,-3.1972000000000005e-06
-0.56,4.0217999999999995e-09,-6.424519999999999e-08,-8.261999999999998e-10,-1.1487e-06,-1.3856e-06
-0.52,2.7852e-09,-1.6885e-08,2e-10,-4.5028e-07,-5.4574e-07
-0.48,1.5638e-09,-5.5732e-09,-9.238e-10,-1.6805999999999998e-07,-2.0964e-07
-0.44,4.6538e-09,-2.5255e-09,-7.232619999999998e-08,-5.474059999999999e-08,-6.747599999999999e-08
-0.4,2.4823999999999996e-09,-1.5606e-09,-6.277419999999999e-08,-1.7947e-08,-2.20168e-08
-0.36,5.1437999999999995e-09,-1.1449e-09,-5.391e-08,-5.1872e-09,-6.1464e-09
-0.32,3.9658e-09,-9.3461e-10,-4.57416e-08,-1.928e-09,-2.2347e-09
-0.28,2.687e-09,-7.6127e-10,-4.10144e-08,-1.0005e-09,-1.0103e-09
-0.24,5.433599999999999e-09,-6.6714e-10,-3.73552e-08,-6.567200000000001e-10,-6.853200000000001e-10
-0.2,4.479399999999998e-09,-5.811800000000001e-10,5.1008e-09,-5.4637e-10,-5.175200000000001e-10
-0.16,3.3021999999999996e-09,-5.1915e-10,-1.5680599999999998e-08,-4.923500000000001e-10,-4.5467e-10
-0.12,6.048799999999998e-09,-4.4785e-10,9.5314e-09,-4.0602e-10,-4.0253000000000006e-10
-0.08,1.7253999999999999e-09,-3.8501000000000005e-10,-4.1827999999999984e-09,-3.6286e-10,-3.3071000000000004e-10
-0.04,2.0095999999999998e-09,-2.5803000000000004e-10,8.844999999999997e-09,-2.3166000000000003e-10,-2.3702e-10
0.0,3.1102e-09,-4.56e-12,2.17426e-08,-4.32e-12,1.613e-11
0.04,4.257e-09,6.4896e-10,2.49914e-08,6.048800000000001e-10,5.6624e-10
0.08,2.8665999999999996e-09,2.0025e-09,3.5381199999999995e-08,1.8298e-09,1.7379e-09
0.12,3.5871999999999998e-09,4.4332e-09,2.06954e-08,4.0327e-09,3.9693e-09
0.16,4.7957999999999995e-09,8.7244e-09,4.59458e-08,7.9104e-09,7.6125e-09
0.2,1.5496e-09,1.56146e-08,2.58626e-08,1.4218199999999998e-08,1.3678999999999998e-08
0.24,2.2706e-09,2.63284e-08,5.78154e-08,2.43952e-08,2.35132e-08
0.28,3.3932e-09,4.25102e-08,6.248719999999999e-08,4.13498e-08,3.82386e-08
0.32,4.749599999999999e-09,6.60152e-08,7.0517e-08,7.08394e-08,6.74176e-08
0.36,1.142e-09,1.00408e-07,7.05966e-08,1.1972e-07,1.1584e-07
0.4,4.2637999999999984e-09,1.5241999999999998e-07,8.312e-10,2.0118e-07,1.7852e-07
0.44,3.0045999999999997e-09,2.4422e-07,8.48812e-08,3.226e-07,2.8642e-07
0.48,1.9412e-09,4.3864e-07,8.201219999999999e-08,4.979e-07,4.6324e-07
0.52,4.7478e-09,8.065e-07,1.4833999999999999e-09,7.239e-07,6.9078e-07
0.56,3.4958e-09,6.0744e-07,-1e-10,1.0255e-06,9.7746e-07
0.6,2.2216e-09,1.09176e-06,1.07052e-08,9.288e-07,9.2834e-07
0.64,1.5335999999999997e-09,1.8291e-06,6.352e-08,1.805e-06,1.7808000000000002e-06
0.68,4.371e-09,4.706200000000001e-06,5.452e-08,5.6508e-06,4.7679000000000005e-06
0.72,4.56e-09,8.876300000000002e-06,1.0186e-07,2.2032e-05,1.0568e-05
0.76,3.5815999999999997e-09,1.6208e-05,9.112e-08,8.6434e-05,2.0218e-05
0.8,2.5421999999999998e-09,2.7504e-05,1.0042e-07,0.00027206,3.1192e-05
0.84,5.445199999999999e-09,3.9916e-05,1.4974e-07,0.00062722,4.5836e-05
0.88,4.3e-09,5.6154000000000005e-05,9.536e-08,0.00112904,6.4068e-05
0.92,3.1851999999999997e-09,7.749e-05,1.225e-07,0.001723,9.502e-05
0.96,1.7931999999999996e-09,0.00010622,1.3952e-07,0.0023674,0.00013758
1.0,4.665399999999998e-09,0.00014686,1.1148e-07,0.0030418,0.00019916
1.04,3.3129999999999996e-09,0.00020052,4.446e-08,0.003733,0.0003104
1.08,2.0081999999999997e-09,0.0002702,1.801e-07,0.0044332,0.0004982
1.12,4.7266e-09,0.00035748,1.4994e-07,0.0051346,0.00082932
1.16,3.6522e-09,0.00046608,1.4402e-07,0.0058406,0.0012876
1.2,6.202399999999998e-09,0.00059,4.118e-08,0.0065506,0.0018844
1.24,5.1366e-09,0.00070816,1.6198e-07,0.0072578,0.0026022
1.28,3.9517999999999995e-09,0.00086648,1.6046e-07,0.0079674,0.0034208
1.32,2.544e-09,0.00103366,7.152e-08,0.008685,0.0043242
1.36,5.5006e-09,0.0012444,2.0486e-07,0.0094138,0.0052972
1.4,4.363e-09,0.0014414,1.7142e-07,0.0101722,0.0063252
1.44,2.9421999999999996e-09,0.0016464,1.0256e-07,0.01097,0.0073966
1.48,1.9041999999999997e-09,0.0018822,2.889e-07,0.011828,0.0085196
1.52,5.4647999999999996e-09,0.0021002,2.0762e-07,0.012728,0.009656
1.56,1.4782e-09,0.0023316,1.2644e-07,0.01369,0.0108136
1.6,2.1131999999999997e-09,0.0025572,2.4516e-07,0.014704,0.01198
1.64,3.4557999999999996e-09,0.0027862,2.169e-07,0.015772,0.013172
1.68,3.9148e-09,0.003076,9.598e-08,0.016878,0.014366
1.72,4.8093999999999995e-09,0.0033212,1.8982e-07,0.018022,0.015566
1.76,1.8589999999999999e-09,0.0036592,3.068e-07,0.019192,0.01677
1.8,3.3021999999999996e-09,0.003751,3.372e-07,0.020386,0.017968
1.84,-2.96e-11,0.0042124,2.86e-07,0.021606,0.019176
1.88,6.0551999999999995e-09,0.0044068,4.122e-07,0.022828,0.02037
1.92,5.004e-09,0.0047396,3.7894e-07,0.02407,0.021564
1.96,3.6318e-09,0.0049154,4.4418e-07,0.025318,0.02274
2.0,2.3263999999999997e-09,0.0053992,6.072e-07,0.026616,0.023936
