VREF,IDD1,IDD2,IDD3,IDD4,IDD5
-2.0,-0.1,-0.060128,-0.093014,-0.099256,-0.065456
-1.96,-0.100002,-0.058834,-0.092098,-0.100002,-0.065932
-1.92,-0.1,-0.0572,-0.090748,-0.100002,-0.064446
-1.88,-0.1,-0.05568,-0.089092,-0.1,-0.063692
-1.84,-0.100002,-0.054038,-0.087256,-0.1,-0.061936
-1.8,-0.1,-0.052796,-0.08552,-0.099584,-0.05979
-1.76,-0.100002,-0.051676,-0.083718,-0.097088,-0.058468
-1.72,-0.100002,-0.050642,-0.081786,-0.094866,-0.056858
-1.68,-0.1,-0.049396,-0.079934,-0.092472,-0.053508
-1.64,-0.100002,-0.048248,-0.078044,-0.089774,-0.050774
-1.6,-0.100002,-0.047106,-0.076146,-0.087296,-0.050002
-1.56,-0.100002,-0.04587,-0.074246,-0.08462,-0.04786
-1.52,-0.100002,-0.044636,-0.072316,-0.081948,-0.044366
-1.48,-0.1,-0.043346,-0.070426,-0.079202,-0.044252
-1.44,-0.1,-0.042124,-0.068488,-0.076414,-0.041556
-1.4,-0.1,-0.04087,-0.066564,-0.073518,-0.039514
-1.36,-0.1,-0.039634,-0.064606,-0.07059,-0.037974
-1.32,-0.099046,-0.03837,-0.062668,-0.066308,-0.036512
-1.28,-0.096858,-0.037138,-0.060694,-0.063506,-0.03471
-1.24,-0.094892,-0.03586,-0.058692,-0.060526,-0.0328
-1.2,-0.092722,-0.034596,-0.05664,-0.057266,-0.030774
-1.16,-0.09078,-0.03339,-0.054728,-0.053794,-0.028938
-1.12,-0.088494,-0.03215,-0.052654,-0.05052,-0.027098
-1.08,-0.086384,-0.030932,-0.050526,-0.047226,-0.025072
-1.04,-0.08419,-0.02971,-0.048508,-0.043904,-0.022548
-1.0,-0.082064,-0.028516,-0.046508,-0.04056,-0.020532
-0.96,-0.079868,-0.027316,-0.044392,-0.037182,-0.019272
-0.92,-0.07766,-0.026124,-0.042088,-0.033762,-0.01753
-0.88,-0.07554,-0.024938,-0.040102,-0.030302,-0.01585
-0.84,-0.073344,-0.023754,-0.038128,-0.026764,-0.014092
-0.8,-0.07102,-0.02259,-0.036104,-0.023078,-0.01253
-0.76,-0.068866,-0.021364,-0.034004,-0.019142,-0.01097
-0.72,-0.066618,-0.020168,-0.032082,-0.015342,-0.0092822
-0.68,-0.064342,-0.01889,-0.03017,-0.011742,-0.0076076
-0.64,-0.062098,-0.017522,-0.028262,-0.008276,-0.0061228
-0.6,-0.059838,-0.016344,-0.026362,-0.0052576,-0.0043728
-0.56,-0.057564,-0.015022,-0.024504,-0.0027656,-0.0029466
-0.52,-0.055204,-0.01376,-0.021962,-0.0010968,-0.001875
-0.48,-0.052918,-0.012486,-0.020102,-0.00034024,-0.00094122
-0.44,-0.050582,-0.011302,-0.018172,-0.00011216,-0.00038472
-0.4,-0.04828,-0.009984,-0.016264,-4.847e-05,-0.00015052
-0.36,-0.045914,-0.0088134,-0.014436,-2.6418e-05,-7.7376e-05
-0.32,-0.043594,-0.0075558,-0.012688,-1.5258e-05,-5.0024e-05
-0.28,-0.041212,-0.0063952,-0.010992,-8.2632e-06,-3.5132e-05
-0.24,-0.038894,-0.0014596,-0.0093908,-4.0710000000000005e-06,-2.5824e-05
-0.2,-0.036538,-0.00029524,-0.0077212,-1.8547e-06,-1.9744e-05
-0.16,-0.034192,-6.9082e-05,-0.0062568,-7.417e-07,-1.6314e-05
-0.12,-0.031666,-1.6768e-05,-0.0049544,-2.8716e-07,-1.4578e-05
-0.08,-0.029336,-3.1493000000000005e-06,-0.003807,-9.956e-08,-1.3642e-05
-0.04,-0.02697,-6.9816e-07,-0.0028288,-2.86592e-08,-1.3002e-05
0.0,-0.024594,-1.725e-07,-0.0020474,-6.921e-09,-1.245e-05
0.04,-0.022196,-3.66828e-08,-0.0013922,-2.204e-09,-1.1948e-05
0.08,-0.019804,-1.13164e-08,-0.00091048,-1.0086e-09,-1.144e-05
0.12,-0.017358,-4.2524e-09,-0.0005766,-6.033100000000001e-10,-1.094e-05
0.16,-0.014908,-2.2006e-09,-0.0003279,-5.0746e-10,-1.0444e-05
0.2,-0.01239,-1.4784e-09,-0.00018418,-4.0727e-10,-9.941300000000001e-06
0.24,-0.0098726,-1.1671e-09,-0.00010814,-3.6314000000000005e-10,-9.439900000000001e-06
0.28,-0.0074288,-9.7086e-10,-6.9594e-05,-2.2452e-10,-8.9443e-06
0.32,-0.0051652,-7.811100000000001e-10,-4.7252e-05,4.900000000000001e-12,-8.4338e-06
0.36,-0.003128,-7.109100000000001e-10,-3.4038e-05,6.3209e-10,-7.884100000000001e-06
0.4,-0.0015536,-5.794600000000001e-10,-2.4722e-05,1.8399e-09,-7.3635e-06
0.44,-0.0005963,-5.5133e-10,-1.7718000000000002e-05,4.1368e-09,-6.829000000000001e-06
0.48,-0.0001956,-4.2262e-10,-1.2196e-05,7.9533e-09,-6.2361e-06
0.52,-7.3362e-05,-3.5391e-10,-8.0591e-06,1.41894e-08,-5.5589e-06
0.56,-3.6876e-05,-9.669e-11,-4.8188e-06,2.37644e-08,-4.735200000000001e-06
0.6,-1.9978e-05,4.3628e-10,-3.0502000000000005e-06,3.80504e-08,-3.7369e-06
0.64,-1.0902e-05,1.7116e-09,-2.2231000000000004e-06,5.847019999999999e-08,-2.7437e-06
0.68,-5.519000000000001e-06,3.9087e-09,-2.1273000000000004e-06,8.68198e-08,-2.0346000000000004e-06
0.72,-2.6408e-06,7.8964e-09,-2.8681e-06,1.2534e-07,-1.6336e-06
0.76,-1.2301e-06,1.42762e-08,-1.1223e-06,1.7642e-07,-1.3811000000000002e-06
0.8,-5.0774e-07,2.41602e-08,-1.6507e-06,2.4332e-07,-1.1933e-06
0.84,-2.015e-07,3.90356e-08,-4.1543e-06,3.2984e-07,-1.0181e-06
0.88,-6.6351e-08,6.04428e-08,-3.8132e-06,4.4194e-07,-8.170599999999999e-07
0.92,-2.14706e-08,9.02962e-08,-2.6082000000000003e-06,5.883e-07,-5.4168e-07
0.96,-5.1905e-09,1.3278e-07,-1.4026e-06,7.793399999999999e-07,-1.4832e-07
1.0,-1.6727e-09,1.8924e-07,-6.5854e-07,1.01958e-06,3.6196e-07
1.04,-7.4392e-10,2.5694e-07,-2.6358e-07,1.2905000000000002e-06,9.6648e-07
1.08,-5.2606e-10,3.54e-07,-7.26218e-08,1.6575000000000002e-06,1.6353000000000005e-06
1.12,-4.3892e-10,4.7208e-07,1.2794999999999998e-08,2.1166e-06,2.363e-06
1.16,-3.4727000000000003e-10,6.2142e-07,4.63788e-08,2.6721e-06,3.1738000000000004e-06
1.2,-3.1157000000000004e-10,8.0992e-07,6.09916e-08,3.3111000000000004e-06,4.0451000000000005e-06
1.24,-1.3965e-10,1.02312e-06,6.91026e-08,4.0416e-06,4.9711000000000006e-06
1.28,1.7392e-10,1.3085e-06,7.78184e-08,4.7756000000000005e-06,5.981300000000001e-06
1.32,1.01869e-09,1.6430000000000002e-06,8.802799999999999e-08,5.683500000000001e-06,7.102800000000001e-06
1.36,2.4746e-09,2.0395e-06,1.031762e-07,6.776700000000001e-06,8.3767e-06
1.4,5.2469e-09,2.4884e-06,1.2602e-07,7.9951e-06,9.984600000000001e-06
1.44,9.6635e-09,3.0088000000000003e-06,1.6508e-07,9.4161e-06,1.2694e-05
1.48,1.6865399999999998e-08,3.7022e-06,2.3748e-07,1.0544e-05,2.0744e-05
1.52,2.76866e-08,4.350800000000001e-06,3.3146e-07,1.4718e-05,5.2664e-05
1.56,4.3422e-08,5.2124e-06,4.1694e-07,2.7644e-05,0.00017144
1.6,6.63906e-08,6.1883000000000005e-06,5.073e-07,8.008e-05,0.00050614
1.64,9.7325e-08,7.4361e-06,6.246e-07,0.0002836,0.00110074
1.68,1.4e-07,9.262200000000001e-06,8.1516e-07,0.0009016,0.0019126
1.72,1.9882e-07,1.3154e-05,1.2917e-06,0.0021772,0.0028776
1.76,2.8284e-07,2.6398e-05,3.0755000000000005e-06,0.0040312,0.004029
1.8,4.4388e-07,8.058e-05,1.0786900000000002e-05,0.0062818,0.007218
1.84,8.989599999999999e-07,0.00027708,4.5346e-05,0.008824,0.009427
1.88,2.6654000000000003e-06,0.0007603,0.0001809,0.011552,0.011483
