.	Name	SkewName	N21	NL21	P21	PL21	NSA	CSL	PEQ	MEQ	PSA	N60	NL60	N60H	P60	PL60	P60H	NWEIB	PXIB	PXID	cell
model	.	.	nf	nfl	pf	pfl	nflsa	nfcsl	nfpeq	nfmeq	pflsa	nft	nflt	nft_hci	pft	pflt	pft_heip	nfth_hci	nfthp_hci	pft_heip2	mc
1	toxe	dtoxe	dtoxe_nf	dtoxe_nfl	dtoxe_pf	dtoxe_pfl	dtoxe_nflsa	dtoxe_nfcsl	dtoxe_nfpeq	dtoxe_nfmeq	dtoxe_pflsa	dtoxe_nft	dtoxe_nflt	dtoxe_nft_hci	dtoxe_pft	dtoxe_pflt	dtoxe_pft_heip	dtoxe_nfth_hci	dtoxe_nfthp_hci	dtoxe_pft_heip2	dtoxe_mc
2	toxp	dtoxp	dtoxp_nf	dtoxp_nfl	dtoxp_pf	dtoxp_pfl	dtoxp_nflsa	dtoxp_nfcsl	dtoxp_nfpeq	dtoxp_nfmeq	dtoxp_pflsa	dtoxp_nft	dtoxp_nflt	dtoxp_nft_hci	dtoxp_pft	dtoxp_pflt	dtoxp_pft_heip	dtoxp_nfth_hci	dtoxp_nfthp_hci	dtoxp_pft_heip2	dtoxp_mc
3	xl	dxl	dxl_nf	dxl_nfl	dxl_pf	dxl_pfl	dxl_nflsa	dxl_nfcsl	dxl_nfpeq	dxl_nfmeq	dxl_pflsa	dxl_nft	dxl_nflt	dxl_nft_hci	dxl_pft	dxl_pflt	dxl_pft_heip	dxl_nfth_hci	dxl_nfthp_hci	dxl_pft_heip2	dxl_mc
4	xw	dxw	dxw_nf	dxw_nfl	dxw_pf	dxw_pfl	dxw_nflsa	dxw_nfcsl	dxw_nfpeq	dxw_nfmeq	dxw_pflsa	dxw_nft	dxw_nflt	dxw_nft_hci	dxw_pft	dxw_pflt	dxw_pft_heip	dxw_nfth_hci	dxw_nfthp_hci	dxw_pft_heip2	dxw_mc
5	lvth0	dlvth0	dlvth0_nf	dlvth0_nfl	dlvth0_pf	dlvth0_pfl	dlvth0_nflsa	dlvth0_nfcsl	dlvth0_nfpeq	dlvth0_nfmeq	dlvth0_pflsa	dlvth0_nft	dlvth0_nflt	dlvth0_nft_hci	dlvth0_pft	dlvth0_pflt	dlvth0_pft_heip	dlvth0_nfth_hci	dlvth0_nfthp_hci	dlvth0_pft_heip2	dlvth0_mc
6	lu0	dlu0	dlu0_nf	dlu0_nfl	dlu0_pf	dlu0_pfl	dlu0_nflsa	dlu0_nfcsl	dlu0_nfpeq	dlu0_nfmeq	dlu0_pflsa	dlu0_nft	dlu0_nflt	dlu0_nft_hci	dlu0_pft	dlu0_pflt	dlu0_pft_heip	dlu0_nfth_hci	dlu0_nfthp_hci	dlu0_pft_heip2	dlu0_mc
7	vsat	dvsat	dvsat_nf	dvsat_nfl	dvsat_pf	dvsat_pfl	dvsat_nflsa	dvsat_nfcsl	dvsat_nfpeq	dvsat_nfmeq	dvsat_pflsa	dvsat_nft	dvsat_nflt	dvsat_nft_hci	dvsat_pft	dvsat_pflt	dvsat_pft_heip	dvsat_nfth_hci	dvsat_nfthp_hci	dvsat_pft_heip2	dvsat_mc
8	jysswgd	djysswgd	djysswgd_nf	djysswgd_nfl	djysswgd_pf	djysswgd_pfl	djysswgd_nflsa	djysswgd_nfcsl	djysswgd_nfpeq	djysswgd_nfmeq	djysswgd_pflsa	djysswgd_nft	djysswgd_nflt	djysswgd_nft_hci	djysswgd_pft	djysswgd_pflt	djysswgd_pft_heip	djysswgd_nfth_hci	djysswgd_nfthp_hci	djysswgd_pft_heip2	djysswgd_mc
9	cf	dcf	dcf_nf	dcf_nfl	dcf_pf	dcf_pfl	dcf_nflsa	dcf_nfcsl	dcf_nfpeq	dcf_nfmeq	dcf_pflsa	dcf_nft	dcf_nflt	dcf_nft_hci	dcf_pft	dcf_pflt	dcf_pft_heip	dcf_nfth_hci	dcf_nfthp_hci	dcf_pft_heip2	dcf_mc
